post_time,median
2015-04-07,0.0
2015-04-08,0.0
2015-04-09,1.0
2015-04-10,1.0
2015-04-11,1.0
2015-04-12,2.0
2015-04-13,2.0
2015-04-14,1.0
2015-04-15,1.0
2015-04-16,1.0
2015-04-17,1.0
2015-04-18,1.0
2015-04-19,1.0
2015-04-20,1.0
2015-04-21,1.0
2015-04-22,1.0
2015-04-23,2.0
2015-04-24,1.0
2015-04-25,1.0
2015-04-26,1.0
2015-04-27,2.0
2015-04-28,2.0
2015-04-29,2.0
2015-04-30,6.0
2015-05-01,2.0
2015-05-02,2.0
2015-05-03,3.0
2015-05-04,4.0
2015-05-05,3.0
2015-05-06,3.0
2015-05-07,4.0
2015-05-08,3.0
2015-05-09,3.0
2015-05-10,3.0
2015-05-11,4.0
2015-05-12,3.0
2015-05-13,3.0
2015-05-14,2.0
2015-05-15,3.0
2015-05-16,1.0
2015-05-17,4.0
2015-05-18,2.0
2015-05-19,3.0
2015-05-20,4.5
2015-05-21,3.0
2015-05-22,4.0
2015-05-23,5.0
2015-05-24,1.5
2015-05-25,6.5
2015-05-26,2.0
2015-05-27,3.0
2015-05-28,4.0
2015-05-29,3.0
2015-05-30,3.0
2015-05-31,3.0
2015-06-01,5.0
2015-06-02,3.0
2015-06-03,4.0
2015-06-04,3.0
2015-06-05,4.0
2015-06-06,3.5
2015-06-07,2.0
2015-06-08,3.0
2015-06-09,3.0
2015-06-10,4.0
2015-06-11,3.0
2015-06-12,3.0
2015-06-13,3.5
2015-06-14,3.0
2015-06-15,2.0
2015-06-16,3.5
2015-06-17,4.0
2015-06-18,4.0
2015-06-19,2.5
2015-06-20,4.0
2015-06-21,5.0
2015-06-22,3.0
2015-06-23,3.0
2015-06-24,3.0
2015-06-25,5.0
2015-06-26,5.0
2015-06-27,4.0
2015-06-28,4.0
2015-06-29,3.0
2015-06-30,4.0
2015-07-01,6.0
2015-07-02,4.5
2015-07-03,4.5
2015-07-04,2.0
2015-07-05,5.0
2015-07-06,5.0
2015-07-07,4.0
2015-07-08,2.0
2015-07-09,4.0
2015-07-10,4.0
2015-07-11,4.0
2015-07-12,4.0
2015-07-13,4.0
2015-07-14,3.0
2015-07-15,5.0
2015-07-16,4.0
2015-07-17,4.0
2015-07-18,2.0
2015-07-19,4.0
2015-07-20,6.0
2015-07-21,6.0
2015-07-22,4.5
2015-07-23,5.0
2015-07-24,5.0
2015-07-25,5.5
2015-07-26,5.0
2015-07-27,5.0
2015-07-28,5.0
2015-07-29,4.5
2015-07-30,5.0
2015-07-31,5.0
2015-08-01,4.0
2015-08-02,5.0
2015-08-03,5.0
2015-08-04,2.0
2015-08-05,3.5
2015-08-06,4.5
2015-08-07,2.0
2015-08-08,3.5
2015-08-09,4.0
2015-08-10,3.0
2015-08-11,6.0
2015-08-12,4.0
2015-08-13,5.0
2015-08-14,6.0
2015-08-15,5.5
2015-08-16,5.0
2015-08-17,4.0
2015-08-18,4.5
2015-08-19,5.5
2015-08-20,5.0
2015-08-21,4.0
2015-08-22,4.0
2015-08-23,4.0
2015-08-24,4.0
2015-08-25,5.0
2015-08-26,4.0
2015-08-27,3.0
2015-08-28,2.0
2015-08-29,2.0
2015-08-30,2.0
2015-08-31,3.0
2015-09-01,5.0
2015-09-02,4.0
2015-09-03,5.0
2015-09-04,3.5
2015-09-05,6.5
2015-09-06,4.0
2015-09-07,3.5
2015-09-08,4.0
2015-09-09,4.0
2015-09-10,2.5
2015-09-11,3.5
2015-09-12,3.0
2015-09-13,4.0
2015-09-14,7.0
2015-09-15,4.0
2015-09-16,4.0
2015-09-17,5.0
2015-09-18,5.0
2015-09-19,5.0
2015-09-20,4.0
2015-09-21,4.0
2015-09-22,3.0
2015-09-23,4.0
2015-09-24,3.0
2015-09-25,3.0
2015-09-26,3.5
2015-09-27,3.5
2015-09-28,2.0
2015-09-29,3.0
2015-09-30,4.0
2015-10-01,3.0
2015-10-02,4.0
2015-10-03,4.5
2015-10-04,3.0
2015-10-05,5.0
2015-10-06,3.0
2015-10-07,4.0
2015-10-08,4.0
2015-10-09,3.0
2015-10-10,3.0
2015-10-11,4.0
2015-10-12,2.0
2015-10-13,4.0
2015-10-14,3.0
2015-10-15,3.0
2015-10-16,4.0
2015-10-17,4.0
2015-10-18,3.0
2015-10-19,3.0
2015-10-20,3.0
2015-10-21,3.5
2015-10-22,5.5
2015-10-23,2.5
2015-10-24,3.0
2015-10-25,3.0
2015-10-26,3.0
2015-10-27,4.0
2015-10-28,3.0
2015-10-29,2.0
2015-10-30,3.0
2015-10-31,1.5
2015-11-01,2.0
2015-11-02,3.0
2015-11-03,2.0
2015-11-04,4.0
2015-11-05,4.0
2015-11-06,4.0
2015-11-07,4.0
2015-11-08,4.0
2015-11-09,4.0
2015-11-10,2.0
2015-11-11,4.0
2015-11-12,2.0
2015-11-13,3.0
2015-11-14,2.0
2015-11-15,2.0
2015-11-16,2.0
2015-11-17,2.0
2015-11-18,2.0
2015-11-19,2.0
2015-11-20,2.0
2015-11-21,3.0
2015-11-22,3.0
2015-11-23,2.0
2015-11-24,2.0
2015-11-25,3.0
2015-11-26,1.5
2015-11-27,4.0
2015-11-28,3.5
2015-11-29,2.0
2015-11-30,3.0
2015-12-01,1.0
2015-12-02,2.0
2015-12-03,3.0
2015-12-04,2.0
2015-12-05,2.0
2015-12-06,3.0
2015-12-07,3.0
2015-12-08,2.0
2015-12-09,3.0
2015-12-10,2.0
2015-12-11,3.0
2015-12-12,3.0
2015-12-13,5.0
2015-12-14,2.0
2015-12-15,3.0
2015-12-16,3.0
2015-12-17,4.0
2015-12-18,4.0
