post_time,median
2015-04-07,3.0
2015-04-08,3.0
2015-04-09,4.0
2015-04-10,7.0
2015-04-11,3.5
2015-04-12,6.5
2015-04-13,5.0
2015-04-14,3.0
2015-04-15,4.0
2015-04-16,4.0
2015-04-17,2.0
2015-04-18,5.0
2015-04-19,9.0
2015-04-20,5.0
2015-04-21,4.0
2015-04-22,3.5
2015-04-23,7.0
2015-04-24,4.0
2015-04-25,4.0
2015-04-26,3.0
2015-04-27,2.0
2015-04-28,2.0
2015-04-29,2.0
2015-04-30,44.5
2015-05-01,4.5
2015-05-02,3.0
2015-05-03,2.0
2015-05-04,3.0
2015-05-05,5.0
2015-05-06,5.0
2015-05-07,2.0
2015-05-08,3.5
2015-05-09,8.0
2015-05-10,6.5
2015-05-11,2.0
2015-05-12,3.0
2015-05-13,1.5
2015-05-14,2.0
2015-05-15,4.0
2015-05-16,3.0
2015-05-17,4.0
2015-05-18,1.0
2015-05-19,1.0
2015-05-20,6.0
2015-05-21,5.0
2015-05-22,3.0
2015-05-23,8.0
2015-05-24,9.5
2015-05-25,6.0
2015-05-26,3.0
2015-05-27,9.5
2015-05-28,8.0
2015-05-29,4.0
2015-05-30,3.5
2015-05-31,3.0
2015-06-01,5.5
2015-06-02,4.0
2015-06-03,6.0
2015-06-04,2.0
2015-06-05,1.0
2015-06-06,3.0
2015-06-07,2.0
2015-06-08,3.0
2015-06-09,2.0
2015-06-10,2.0
2015-06-11,4.0
2015-06-12,2.0
2015-06-13,2.0
2015-06-14,4.5
2015-06-15,2.0
2015-06-16,3.0
2015-06-17,3.0
2015-06-18,4.0
2015-06-19,4.5
2015-06-20,8.0
2015-06-21,3.0
2015-06-22,6.5
2015-06-23,5.0
2015-06-24,3.5
2015-06-25,6.0
2015-06-26,11.5
2015-06-27,5.0
2015-06-28,4.0
2015-06-29,3.0
2015-06-30,4.0
2015-07-01,4.0
2015-07-02,6.0
2015-07-03,7.5
2015-07-04,6.5
2015-07-05,12.0
2015-07-06,3.0
2015-07-07,5.0
2015-07-08,5.0
2015-07-09,5.5
2015-07-10,3.0
2015-07-11,7.0
2015-07-12,4.0
2015-07-13,6.0
2015-07-14,5.5
2015-07-15,3.5
2015-07-16,6.5
2015-07-17,10.0
2015-07-18,5.0
2015-07-19,3.0
2015-07-20,14.0
2015-07-21,3.0
2015-07-22,7.0
2015-07-23,8.0
2015-07-24,7.0
2015-07-25,8.0
2015-07-26,4.0
2015-07-27,8.0
2015-07-28,4.5
2015-07-29,7.5
2015-07-30,6.0
2015-07-31,6.0
2015-08-01,10.0
2015-08-02,8.0
2015-08-03,3.0
2015-08-04,6.0
2015-08-05,5.5
2015-08-06,1.5
