post_time,median
2015-04-30,3.0
2015-05-31,3.0
2015-06-30,4.0
2015-07-31,6.0
2015-08-31,4.0
2015-09-30,4.0
2015-10-31,3.0
2015-11-30,3.0
2015-12-31,3.0
2016-01-31,3.0
2016-02-29,2.0
2016-03-31,2.0
2016-04-30,2.0
2016-05-31,2.0
2016-06-30,2.0
2016-07-31,6.0
2016-08-31,3.0
2016-09-30,3.0
2016-10-31,3.0
2016-11-30,3.0
2016-12-31,3.0
2017-01-31,3.0
2017-02-28,3.0
2017-03-31,2.0
2017-04-30,2.0
2017-05-31,2.0
2017-06-30,3.0
2017-07-31,4.0
2017-08-31,3.0
2017-09-30,3.0
2017-10-31,4.0
2017-11-30,3.0
2017-12-31,3.0
2018-01-31,2.0
2018-02-28,1.0
2018-03-31,1.0
2018-04-30,1.0
2018-05-31,2.0
2018-06-30,2.0
2018-07-31,1.0
2018-08-31,2.0
2018-09-30,2.0
2018-10-31,2.0
2018-11-30,2.0
2018-12-31,1.5
2019-01-31,1.0
2019-02-28,4.0
2019-03-31,3.0
2019-04-30,4.0
2019-05-31,5.0
2019-06-30,4.0
2019-07-31,6.0
2019-08-31,9.0
2019-09-30,10.0
2019-10-31,10.5
2019-11-30,11.0
2019-12-31,12.0
2020-01-31,11.0
2020-02-29,13.0
2020-03-31,12.0
2020-04-30,11.0
2020-05-31,10.0
2020-06-30,9.0
2020-07-31,11.0
2020-08-31,10.0
2020-09-30,11.0
2020-10-31,7.0
2020-11-30,7.0
2020-12-31,14.5
2021-01-31,17.0
2021-02-28,19.0
2021-03-31,20.0
2021-04-30,23.0
2021-05-31,15.0
2021-06-30,15.0
2021-07-31,24.0
2021-08-31,18.0
2021-09-30,18.0
2021-10-31,18.0
2021-11-30,23.0
2021-12-31,34.5
2022-01-31,25.5
2022-02-28,25.0
2022-03-31,21.0
2022-04-30,20.0
2022-05-31,34.5
2022-06-30,35.0
2022-07-31,31.5
2022-08-31,33.0
2022-09-30,34.0
2022-10-31,35.0
2022-11-30,28.0
2022-12-31,25.0
2023-01-31,26.0
2023-02-28,15.0
2023-03-31,13.0
2023-04-30,16.0
2023-05-31,12.0
