post_time,count
2015-04-12,204
2015-04-19,214
2015-04-26,607
2015-05-03,621
2015-05-10,290
2015-05-17,147
2015-05-24,113
2015-05-31,131
2015-06-07,282
2015-06-14,172
2015-06-21,185
2015-06-28,297
2015-07-05,290
2015-07-12,188
2015-07-19,154
2015-07-26,215
2015-08-02,211
2015-08-09,178
2015-08-16,300
2015-08-23,313
2015-08-30,220
2015-09-06,238
2015-09-13,214
2015-09-20,346
2015-09-27,298
2015-10-04,285
2015-10-11,293
2015-10-18,324
2015-10-25,282
2015-11-01,298
2015-11-08,300
2015-11-15,304
2015-11-22,235
2015-11-29,273
2015-12-06,257
2015-12-13,176
2015-12-20,161
2015-12-27,171
2016-01-03,181
2016-01-10,233
2016-01-17,209
2016-01-24,244
2016-01-31,215
2016-02-07,247
2016-02-14,217
2016-02-21,278
2016-02-28,305
2016-03-06,253
2016-03-13,217
2016-03-20,188
2016-03-27,201
2016-04-03,240
2016-04-10,207
2016-04-17,183
2016-04-24,227
2016-05-01,174
2016-05-08,163
2016-05-15,139
2016-05-22,140
2016-05-29,140
2016-06-05,120
2016-06-12,98
2016-06-19,104
2016-06-26,78
2016-07-03,96
2016-07-10,117
2016-07-17,111
2016-07-24,146
2016-07-31,441
2016-08-07,218
2016-08-14,180
2016-08-21,141
2016-08-28,175
2016-09-04,208
2016-09-11,303
2016-09-18,257
2016-09-25,236
2016-10-02,256
2016-10-09,219
2016-10-16,232
2016-10-23,165
2016-10-30,218
2016-11-06,276
2016-11-13,181
2016-11-20,266
2016-11-27,278
2016-12-04,179
2016-12-11,202
2016-12-18,205
2016-12-25,163
2017-01-01,122
2017-01-08,233
2017-01-15,149
2017-01-22,159
2017-01-29,136
2017-02-05,178
2017-02-12,265
2017-02-19,245
2017-02-26,235
2017-03-05,213
2017-03-12,180
2017-03-19,184
2017-03-26,174
2017-04-02,175
2017-04-09,149
2017-04-16,166
2017-04-23,214
2017-04-30,246
2017-05-07,140
2017-05-14,129
2017-05-21,127
2017-05-28,139
2017-06-04,157
2017-06-11,134
2017-06-18,73
2017-06-25,106
2017-07-02,77
2017-07-09,105
2017-07-16,155
2017-07-23,170
2017-07-30,112
2017-08-06,129
2017-08-13,106
2017-08-20,132
2017-08-27,115
2017-09-03,174
2017-09-10,224
2017-09-17,142
2017-09-24,151
2017-10-01,178
2017-10-08,161
2017-10-15,108
2017-10-22,136
2017-10-29,158
2017-11-05,122
2017-11-12,121
2017-11-19,141
2017-11-26,158
2017-12-03,156
2017-12-10,159
2017-12-17,111
2017-12-24,102
2017-12-31,182
2018-01-07,130
2018-01-14,85
2018-01-21,129
2018-01-28,125
2018-02-04,139
2018-02-11,204
2018-02-18,201
2018-02-25,126
2018-03-04,110
2018-03-11,176
2018-03-18,165
2018-03-25,118
2018-04-01,98
2018-04-08,144
2018-04-15,135
2018-04-22,217
2018-04-29,145
2018-05-06,164
2018-05-13,138
2018-05-20,75
2018-05-27,73
2018-06-03,62
2018-06-10,114
2018-06-17,109
2018-06-24,121
2018-07-01,97
2018-07-08,90
2018-07-15,110
2018-07-22,113
2018-07-29,136
2018-08-05,149
2018-08-12,189
2018-08-19,203
2018-08-26,172
2018-09-02,168
2018-09-09,164
2018-09-16,190
2018-09-23,185
2018-09-30,221
2018-10-07,216
2018-10-14,213
2018-10-21,173
2018-10-28,182
2018-11-04,177
2018-11-11,162
2018-11-18,112
2018-11-25,174
2018-12-02,209
2018-12-09,207
2018-12-16,102
2018-12-23,141
2018-12-30,209
2019-01-06,156
2019-01-13,148
2019-01-20,176
2019-01-27,185
2019-02-03,210
2019-02-10,154
2019-02-17,219
2019-02-24,319
2019-03-03,309
2019-03-10,260
2019-03-17,244
2019-03-24,184
2019-03-31,192
2019-04-07,162
2019-04-14,174
2019-04-21,242
2019-04-28,174
2019-05-05,223
2019-05-12,165
2019-05-19,197
2019-05-26,123
2019-06-02,113
2019-06-09,195
2019-06-16,171
2019-06-23,205
2019-06-30,191
2019-07-07,205
2019-07-14,215
2019-07-21,251
2019-07-28,238
2019-08-04,218
2019-08-11,188
2019-08-18,178
2019-08-25,167
2019-09-01,190
2019-09-08,173
2019-09-15,158
2019-09-22,205
2019-09-29,171
2019-10-06,168
2019-10-13,167
2019-10-20,136
2019-10-27,140
2019-11-03,115
2019-11-10,136
2019-11-17,148
2019-11-24,172
2019-12-01,194
2019-12-08,120
2019-12-15,133
2019-12-22,127
2019-12-29,181
2020-01-05,109
2020-01-12,180
2020-01-19,92
2020-01-26,172
2020-02-02,171
2020-02-09,163
2020-02-16,199
2020-02-23,186
2020-03-01,228
2020-03-08,188
2020-03-15,276
2020-03-22,85
2020-03-29,404
2020-04-05,317
2020-04-12,341
2020-04-19,377
2020-04-26,305
2020-05-03,259
2020-05-10,256
2020-05-17,249
2020-05-24,244
2020-05-31,272
2020-06-07,297
2020-06-14,370
2020-06-21,266
2020-06-28,228
2020-07-05,191
2020-07-12,83
2020-07-19,133
2020-07-26,136
2020-08-02,149
2020-08-09,131
2020-08-16,157
2020-08-23,108
2020-08-30,89
2020-09-06,95
2020-09-13,100
2020-09-20,53
2020-09-27,53
2020-10-04,70
2020-10-11,87
2020-10-18,89
2020-10-25,85
2020-11-01,91
2020-11-08,125
2020-11-15,73
2020-11-22,71
2020-11-29,129
2020-12-06,87
2020-12-13,78
2020-12-20,66
2020-12-27,90
2021-01-03,134
2021-01-10,101
2021-01-17,109
2021-01-24,90
2021-01-31,69
2021-02-07,65
2021-02-14,190
2021-02-21,90
2021-02-28,13
2021-03-07,39
2021-03-14,8
2021-03-21,189
2021-03-28,83
2021-04-04,50
2021-04-11,102
2021-04-18,79
2021-04-25,125
2021-05-02,77
2021-05-09,26
2021-05-16,49
2021-05-23,72
2021-05-30,34
2021-06-06,25
2021-06-13,24
2021-06-20,23
2021-06-27,48
2021-07-04,47
2021-07-11,38
2021-07-18,31
2021-07-25,37
2021-08-01,41
2021-08-08,35
2021-08-15,35
2021-08-22,31
2021-08-29,111
2021-09-05,83
2021-09-12,31
2021-09-19,32
2021-09-26,20
2021-10-03,9
2021-10-10,10
2021-10-17,11
2021-10-24,10
2021-10-31,34
2021-11-07,30
2021-11-14,25
2021-11-21,13
2021-11-28,18
2021-12-05,21
2021-12-12,24
2021-12-19,24
2021-12-26,28
2022-01-02,43
2022-01-09,82
2022-01-16,76
2022-01-23,75
2022-01-30,80
2022-02-06,75
2022-02-13,64
2022-02-20,62
2022-02-27,59
2022-03-06,65
2022-03-13,69
2022-03-20,57
2022-03-27,73
2022-04-03,68
2022-04-10,71
2022-04-17,70
2022-04-24,60
2022-05-01,38
2022-05-08,69
2022-05-15,71
2022-05-22,55
2022-05-29,55
2022-06-05,73
2022-06-12,57
2022-06-19,28
