no,cid,text,image,pid,likes,comments,shares,post_time,scraped_at
1066,1357,"I admit, I am beginning to fall for a batch mate of mine in freshman Chemistry. He sounds harsh, normally difficult to talk to, but he is quite smart and personally, his kind of strange character is what I find fascinating in guys compared to the typical Singaporean.
I used to have an American boyfriend until he went back to Boston to do his undergrad studies, and a long-distance relationship didn't work up.
I know you read the Whispers page because you comment a lot. Just know there's someone who likes you even if people all find you weird. And I know you're single, your friend told me. :)
-
#1357: http://nuswhispers.com/confession/1357",,828257737244689,10,6,0,2015-04-27 15:12:22+08:00,2021-04-23 21:29:03+08:00
1198,1533,"#1357: I'm sorry to hear of the long-distance relationship failing. I am one of those who tried one after my boyfriend went over to Cambridge. It seemed to work out for one semester, but it got increasingly difficult to keep up.
Unfortunately for you, I think I know the guy you speak of personally. If I may be correct, he is indeed harsh, hard to talk to and strange. He may be smart but has so many faults that I don't know where to start from. I was so pissed with debating with him over something in a particular module before that I was left disgusted with his attitude.
Moreover, now that I am chasing someone close to him, he tries every way and mean to disturb me. I'm not saying he's bad, but you must be careful to not get the ""wrong impression"".
All the best for 03 and 04!
-
#1533: http://nuswhispers.com/confession/1533",,828707683866361,1,2,0,2015-04-28 11:38:19+08:00,2021-04-24 04:05:16+08:00
1226,1567,"#1357: (Americans know how to type Chinese too. To put it in a different way: thank you ex-girlfriend, for the tireless efforts at teaching me Chinese.)
对不起。我希望你会原谅我。我的华文不好，所以我只能用简单的话来表达我所要坦白的话。
我虽然在波士顿读书，但是我希望会回来新加坡见你。你追求幸福的愿望，我祝你好运。我还是忘不了你的体贴，温柔跟善良的个性。到了这个地步，我只能说我们的误会太深了。我们共同的朋友介绍了我这个""NUSWhispers""。
老实话：我这几个月睡不着，因为我对自己很自责。
祝你生活快乐吧，找得到生活中的白马王子吧。
-
#1567: http://nuswhispers.com/confession/1567",,828790077191455,4,2,0,2015-04-28 15:43:57+08:00,2021-04-24 04:04:28+08:00
1228,1569,"#1357 & #746: oh god no!! I think I know who you are talking about. You're mistaken, it's not who you think it is. I'm gonna ask him out after finals, wish me the best!!
-
#1569: http://nuswhispers.com/confession/1569",,828790103858119,1,5,0,2015-04-28 15:44:03+08:00,2021-04-24 04:04:28+08:00
1264,1622,"#1533: Ive known this guy for one sem. I believe we are all from the same programme. He is smart and isn't pushy about it unlike others in the programme who 'show off' what they know. In fact, he is usually very patient when asked for help..
-
#1622: http://nuswhispers.com/confession/1622",,828882690515527,1,1,0,2015-04-28 19:44:14+08:00,2021-04-24 04:06:32+08:00
1268,1628,"#1622: I agree with you. He's actually quite witty sometimes. I can see where that girl is coming from.
-
#1628: http://nuswhispers.com/confession/1628",,828894350514361,1,4,0,2015-04-28 20:14:25+08:00,2021-04-24 04:06:32+08:00
1293,1667,"(This confession is long, but if you want the summary: don't feel bad, 加油 for exams, think about life, read the bottom!)
I am a recent alumnus from FoS. I still remember NUS Confessions and I think NUSWhispers is awesome.
Admittedly, after reading social media, it's likely that one might not be very happy with myself. You might ask why. One could feel:
- envious because others have already got attached but one is left on the shelf.
- backward because others have A+ and A for their modules but one needs to be content with the B+.
- ill-prepared because others have already got life's journey worked out but not one.
But this is social media, friends. There may be trolls running around dissing you, or claiming some other friend is trying to square you up. There are friends of mine who probably posted confessions that turn out to be relationship wreckers more than actual confessions. Sometimes I don't even know if the anonymous CLB incidents were even legit --- I thought PGP was more secluded, or say... near the bus park.
I still remember, when NUS Confessions first started in 2012, it also had such elements. People ranting, confessing real and supposed acts of intimacy and well, frustration with modules. (History check: https://www.facebook.com/nusconfessions?fref=ts). It's a nice experiment with social anonymity: with anonymous postings, what do people make out of that? Apparently, pretty much everything under the sun. In all good fun, I believe it shows the nice side of NUS (with the exception of some trolls who jab a majority of posts). NUS students come together to diss trolls, call out rubbish behaviour confessed by some arrogant punk, celebrate the overcoming of the bell curve god. Sometimes, it shows the ugly side of us: dominating the walls, writing rubbish that no one benefits from reading, not even a good laugh. But these are far and few.
For people who feel pissed at what you may read, it's a good idea to stop comparing. Social media has always, and will be tinted. People always report the good stuff, hide away the bad stuff, and only on an anonymous platform may one see some of the not-so-nice stuff online. It's funny reading posts like #1653 (how to manipulate), #1648 (silly thoughts), #1639 (probably a shy jock), #1627 (sad but real advice), #1620 (self-apologetic), #1595 (untruth), #1583 (real feeling --- I was like this before), #1560 (trivial stuff making one smile), #1550 (advice from some probably damn old alumnus from SoC), #1531 (actually some debate over NUSSU, phew!), #1483 (desperado, I understand your pain), #1455 (blast to the past), #1449 (satirical), #1412 (serial replier), #1398 (nice guy explaining the grading), #1357 (awwww moment), #1348 (continue discussing about worth of a grad please!) and more (lazy to scroll). Darn, now I feel like I am testing the bot, which will tirelessly fish out all these confessions. Yay to computing.
If one takes a step back, actually we're a cool bunch of people. We joke about trying to overtake the next guy on the bell curve, but recognise we're still friends outside the exam hall. We whine, curse about the serial farting king, but certainly laugh it all off. For a university, this is pretty darn lively and warm culture.
Fast forward to me: currently I work at a bank (cannot say which one, otherwise my boss will tell me to do more work and not post confession!), and life IS stressful outside. Pay is sustenance but at times, one's sanity is called into question. Do we really want to work that long hour simply because we have a job to protect? Unfortunately we do. As a student, I could sometimes just say, heck, let's keep the work for tomorrow. Life can be crushing sometimes; people fight just for the next rung on the ladder, but the battles are much more brutal than those on the bell curve --- backstabbing is common. Consequences are aplenty: the careless folk can be easily sabotaged and manipulated. The workplace is harsh.
I miss NUS, even though some people say it's just a place to mug for 3/4/5 years and then bye. It's really short, come to think of it, considering that the average person now will have to work for 40 years odd.
Sigh, I feel so old now.
Ok, maybe the specific replies I have to some:
- To the employers who posted here, thank you for the time and effort. But I think the young should be given a chance to prove themselves. I think the typical Singaporean is demanding, but when called to the fore, will step up to do something good. NUSWhispers is an example: for a module, they go over and beyond.
- To the sexually depraved: go get a life. Free sex stories is it? Even if we read it, we don't really know if we should envy you or ermmm... think you're just trying to make us all jealous.
- To the CAP 2.0 folk: take heart. It is hard to get a job the traditional way, but there may be other ways to make it big in life. Do you have a skill outside academics? Hone it, and maybe it'll be your lifeline.
- To the chasing: all the best. It is hard, fraught with rejections, but hopefully you'll do well.
- To the chased: play a little hard to get, but don't drive your queue nuts!
- NUSWhispers: Thank you for posting this confession. It's probably the longest confession, but I hope it has been worth your time reading this.
(P.S. I wish I had better Chinese. It might be something not graded anymore, but bad Chinese really hurts chances at going to China.)
All the best for the final exams! It's quite silly to say may you be on the right side of the curve (since half will be left), but I should say, may all do well and prosper. ;)
-
#1667: http://nuswhispers.com/confession/1667",,828930947177368,40,2,1,2015-04-28 21:54:10+08:00,2021-04-24 04:04:25+08:00
1386,1807,"#1533: Taken note. Thanks. There's still time to find out more from his friends, I guess. Looking at the confessions and his recent posts, I'll think twice.
-
#1807: http://nuswhispers.com/confession/1807",,829315927138870,1,2,0,2015-04-29 15:36:26+08:00,2021-04-24 04:04:37+08:00
1405,1832,"#1807: I'm not sure why there are people pretending to be me to launch a smear campaign against my love interest. I waited for him outside ma1101r today and asked him..
-
#1832: http://nuswhispers.com/confession/1832",,829377577132705,1,4,0,2015-04-29 18:55:34+08:00,2021-04-24 04:04:23+08:00
1427,1871,"#1667 Shoutout to you, wish there are more people like you. I feel so old now too haha :)
#1776 While you cannot change the situation of everyone going together, you still can have fun and enjoy yourself during the trip by focusing on the good things and hanging out in smaller group of friends that you are closer with during the trip.
#1763 You can post on your facebook to find other friends or travel alone and explore Asia. If you have more budget you can go to Europe. Travelling solo is quite liberating, you will learn more things about yourself and the places that you go to :)
#1792 Unfortunately there is no right time to confess, you have to trust and go with your gut feeling. If he/she already likes you back, it does not matter even if you screw up during the confession.
#1790 You have a degree and NUS has taught you the ability to learn, I believe you will be able to find a job. Just go at your own pace and it is more important to find a right job that suits you instead of rushing into accepting an offer just because everyone else got a job already
#1829 The real reason hurts more but you should tell the real reason as it is better for both parties. The guy can learn from the reason why it did not work which will help him to avoid the mistake in future.
-
#1871: http://nuswhispers.com/confession/1871",,829471940456602,2,1,0,2015-04-29 22:57:12+08:00,2021-04-24 04:04:25+08:00
