root,nodes,nodes_count,edges,edges_count,longest_path,longest_path_length
28025,"28025,28036,28038,28039,28047,28050,28051,28052,28053,28058,28063,28064,28068,28070,28073,28075,28080,28106,28115,28185,28191",21,"[[28025,28036],[28025,28038],[28025,28039],[28025,28047],[28025,28050],[28025,28051],[28025,28052],[28025,28058],[28025,28063],[28025,28068],[28025,28075],[28025,28115],[28047,28051],[28047,28053],[28047,28058],[28047,28064],[28047,28070],[28047,28073],[28047,28075],[28047,28080],[28068,28106],[28115,28185],[28115,28191]]",23,"28115,28191",2
12968,"12968,13008,13028,13042,13106,13124,13130,13166,13180,13197,13217,13252,13260,13272",14,"[[12968,13008],[12968,13042],[12968,13106],[13008,13028],[13106,13124],[13106,13130],[13106,13180],[13106,13217],[13130,13166],[13130,13180],[13130,13217],[13130,13260],[13180,13197],[13180,13217],[13180,13252],[13217,13252],[13260,13272]]",17,"13106,13130,13180,13217,13252",5
2704,"2704,2735,2755,2765,2770,2787,2792,2807,2816,2831,2841,2909,2937",13,"[[2704,2735],[2704,2770],[2735,2755],[2735,2765],[2735,2770],[2755,2765],[2755,2787],[2765,2792],[2765,2807],[2792,2807],[2792,2909],[2807,2816],[2807,2909],[2816,2831],[2831,2841],[2909,2937]]",16,"2735,2755,2765,2792,2807,2816,2831,2841",8
31646,"31646,31684,31685,31697,31698,31699,31708,31710,31720,31727,31740,31759",12,"[[31646,31684],[31646,31685],[31646,31697],[31646,31698],[31646,31699],[31646,31710],[31646,31720],[31646,31727],[31646,31740],[31697,31708],[31697,31759],[31720,31727]]",12,"31720,31727",2
5961,"5961,5974,5976,5978,5985,5989,5994,6001,6009,6017,6034,6052",12,"[[5961,5974],[5961,5976],[5961,5978],[5961,5989],[5961,5994],[5961,6001],[5961,6009],[5961,6017],[5961,6034],[5974,5985],[5989,6001],[5994,6034],[6034,6052]]",13,"5994,6034,6052",3
32883,"32883,32906,32916,32946,32964,32981,32999,33000,33027,33038,33053",11,"[[32883,32906],[32883,32946],[32883,32964],[32883,33000],[32883,33027],[32906,32916],[32906,32964],[32946,32964],[32964,32981],[32964,32999],[33000,33027],[33027,33038],[33027,33053]]",13,"33000,33027,33053",3
13345,"13345,13357,13367,13375,13378,13387,13395,13404,13419,13422,13546",11,"[[13345,13357],[13345,13367],[13345,13375],[13345,13378],[13345,13387],[13345,13395],[13345,13404],[13345,13419],[13345,13422],[13345,13546],[13395,13404]]",11,"13395,13404",2
5557,"5557,5564,5566,5577,5579,5621,5641,5643,5647,5654,5656",11,"[[5557,5564],[5557,5566],[5557,5577],[5557,5579],[5557,5621],[5557,5643],[5557,5656],[5621,5641],[5621,5647],[5621,5654],[5621,5656]]",11,"5621,5656",2
1357,"1357,1533,1567,1569,1622,1628,1667,1807,1832,1871,2289",11,"[[1357,1533],[1357,1567],[1357,1569],[1357,1667],[1357,2289],[1533,1622],[1533,1807],[1569,2289],[1622,1628],[1667,1871],[1807,1832]]",11,"1533,1807,1832",3
61519,"61519,61551,61568,61580,61595,61610,61624,61648,61655,61676",10,"[[61519,61551],[61519,61568],[61519,61580],[61519,61595],[61519,61610],[61519,61676],[61595,61624],[61610,61648],[61624,61655]]",9,"61595,61624,61655",3
