no,cid,text,image,pid,likes,comments,shares,post_time,scraped_at
50703,85226,"Sorry I just need to rant.. Recently my boyfriend bought me a Louis Vuitton wallet which costs around $700 for my birthday. When I saw the wallet, I felt really upset and disappointed. Because earlier this year, my sister's bf got her a Chanel wallet which costs at least $1000 for her birthday. Chanel is so much nicer than LV. Let's be honest, LV is for poor people who want to look rich. And during this CB, her bf always order food from more popular restaurants like Crystal Jade and Paradise Dynasty for her. But my bf only orders food from cheap restaurants like Swensen's and Ichiban for me. Her bf even gives her $1000 a month for her own spending. But my bf only gives me $500 a month. I hate to admit but I really feel very jealous of my sister because her bf is willing to spend money on her despite earning just $4k a month. My bf earns at least $5k and yet he is so stingy with me. Sometimes I really feel like a loser.. why my sister can find such a good bf but I just cannot. Just because she is taller and slimmer, she can find a good bf.. it's so unfair. Sorry for the long rant.
-
#85226: https://www.nuswhispers.com/confession/85226",,3794696587267441,203,2626,3957,2020-05-26 17:54:54+08:00,2021-04-24 19:15:10+08:00
16613,24511,"Guy A
-Year 4 graduating Law student
-Drives a BMW
-Has direct ownership of his own apartment
-Well versed in all sorts of subject and knowledgeable
-Very generous( Brought me to a fine dining restaurant)
Guy B
-First year in NS
-Enrolling into Mechanical engineering after ord
-Always talk about boring and meaningless army stuffs
-Would only bring me to swensen's or ajisen on anniversaries
Guy A is a close male friend of mine in uni while Guy B is my current BF.
I used to think that my relationship is very stable before entering uni, however Guy A appeared in my life and made me reconsidered my original thoughts. Lately, I found out that I really love to engage in intelligent conversation with A, talking about all kinds of life issues and travelling experiences etc. On the other hand, my BF will only talk to me about boring and meaningless army stuffs that spark zero interest in me. He simply couldn't understand that I already had enough academic troubles on my plate. Worse of all, he cannot be there when I had emotional break downs . I'm glad Guy B was there to hug me to sleep when I needed emotional support the most. Although I'm a fan of swensen's and ajisen, that doesn't mean that I won't get sick of it. When I suggest to visit atas places for our anniversaries, my BF would always brush this topic aside by saying that we should save up for BTO, money is hard to earn blah blah blah...(Excuses). Sometimes I would rather stay at home then go out with him, there was once I cancelled a date on him and went to wave house with A. Compared to my BF, A is able to surprise me on every single outing.
Truth to be told, A did hinted to me that he had feelings for me but I don't want to promise him anything yet. As of now, I haven't cheated on my BF yet, I giving him one more year to change for the better.
-
#24511: https://nuswhispers.com/confession/24511",,1140862149317578,715,2137,3583,2016-09-04 15:41:06+08:00,2021-04-24 16:56:56+08:00
51354,86471,"Admins please don't filter this. My best friend's gf broke our friendship. I'm so upset. They've been together for 5 years, so what? I've known my best friend since last year, but I've always believed in 'bros before hoes' (ok I'm a girl but I believe in this case bros means friends).
Actually, the first time I saw my bestie, I fell in love with him. He's handsome and kind to everyone, so I tried getting closer to him in hopes that we can get together. But then after awhile I realised he had a gf so I thought ok, I just have to show him that I'm better than her then he will come to my side. I'm prettier than her, and we are both in nus while she's in some unknown uni. Thankfully he treated me as a close friend so he shared a lot about his gf to me and even the details of their dates, so I knew how to compete.
Then at the start of this year, HE TOLD ME HER BIRTHDAY IS ON THE SAME DAY AS ME SO HE CANT SPEND TIME WITH ME ON THAT DAY! They were gonna go to the zoo for the entire day. (This was before CB) i tried asking if I could tag along but he said no. Come on la. Gf only what, his best friend has the same bday as her doesn't mean he can neglect the best friend right. So I stopped texting him and gave him the cold shoulder. It worked and he told me ""let's have dinner together on your birthday instead?"". Ofc I said yes. He suggested amk hub food court. What the? But ok la, I said I wanted teppanyaki and he said sure. Finally I can feel like his gf for once.
The day came, and I realised his 'together' meant him, me and HIS GF. They got me a gift and said they shared price for it. Can't the gf find a gift to give me on her own? So low effort, share price. At the teppanyaki place I tried sitting between him and her but she moved to his other side. Cannot be apart for just awhile? I told him he should pay for dinner since it's our bday and he should treat us, but the gf offered to pay half of the total. A little sick of her efforts to please him at this point.
Then after dinner I asked if he wanted to walk me home, he said no because he and gf actually booked movie tickets and it was starting soon. So I asked him to buy me another ticket so I can join in but the gf interrupted and told me no very rudely. When she went toilet, he apologised to me and said they booked the couple seats last week so it's a little impossible to join. Who ask them book couple seats? They had one week to ask me and they didn't. I just left immediately. He tried to call me that night but I blocked him on every online platform.
After two days I unblocked him and sent him a long text about how his gf is too needy and he needs to spend more time with me, but the message was left on single tick. The next day I bumped into him in school and tried to say hi but he just walked off. Until now he isn't talking to me. 6 months already. I sent him a lot of texts but it's all one tick. I even tried texting his gf but same thing. I went to his house a few times but saw the gf shoes there so I left.
Is he overreacting? Am I overreacting? Is this friendship even worth it anymore?
-
#86471: https://www.nuswhispers.com/confession/86471",,3853856078018158,239,1774,4061,2020-06-10 11:33:22+08:00,2021-04-24 19:15:07+08:00
42009,66398,"Just ORD from the army last week with a LTA rank. I will be matriculating into NUS in Aug. I want to ask, how much does your former rank play in nus? Like for e.g. if you apply for some things they may ask of your past experiences. If I say that I was an officer in the army, how much of a benefit would I get over my peers?
Also, how is the culture like among peers in daily life depending on your former rank, for guys? For example if you were a men would you get looked down versus if you were an officer would your male friends show more respect to you? For e.g. if I were to apply for a CCA club president role, would people be more likely to vote for me if I say that I have more leadership experience in the army?
If the answer to all the above is “no”, can some fellow former officers who are already students advise what kind of other benefits can we expect to get in the university, including intangible ones, for those of us who were formerly officers?
-
#66398: https://www.nuswhispers.com/confession/66398",,2819740704763039,348,1493,1800,2019-07-22 06:40:03+08:00,2021-04-24 18:22:09+08:00
59713,105286,"Hi all, just wanted to let something off my chest. So… I have 4 siblings which are all brothers.( I am a guy btw) The 5 of us are very close since young and we always share things like usage of car, clothes etc.
We are all working adults now and 4 of my brothers can’t find their right one (they are middle age men now). I felt bad for them and asked my wife if she is willing to have sex with my brothers and have a child with each of them to boost their self esteem.
In which, she agreed. (With conditions like 100k for each child birth ) She then had sex with my oldest brother about 5 years ago. Which I have regretted this decision and really defeated every inch of my soul. I cried very badly outside their room that night. Since then she had sex with my 3 other brothers occasionally. I act like I am okay in front of them. But in fact it was killing me inside, each time they had sex.
Today, we each have one child. When I look at my brother’s child, I felt sadness and emptiness in my heart. I start to question myself “what if this child does better than my child”, “what if my wife likes this child better than our child, which cause an impact on our relationship”.
I start to think a lot since the start of the sex with my brothers, which really impacted my mental health a lot as I did not mention to them about my feelings as I do not wish to ruin our relationship, both brother and wife.
I started to have depression and have sucidal thoughts after one month my wife had sex with my oldest brother. Even though this is transactional, but I still felt really bad and felt that my self worth is worse than a bag full of dirt.
Today, when we go out as a family, me, my 4brothers, wife and 5 childrens. I felt very insecure and wish to die everyday. I do not know what is the point in living already. Btw the children all acknowledge me as the dad. As registered in the all their birth cert.
All in all, I do not know why I suggest such a stupid idea. And I really f regret it to the core of my soul.
Please advise how to cope with this… I don’t think I can tahan already
-
#105286: https://www.nuswhispers.com/confession/105286",,7937403712996687,221,1220,2020,2022-09-12 19:43:54+08:00,2022-12-09 18:36:16+08:00
43041,68697,"Recently, everytime my bf and I go out on dates, he's always glued to his phone. He's playing this game which I did not catch the title of, but I can hear words like ""first blood"", ""an ally has been slained"", ""enemy has slained Lord"" and ""your team has destroyed an enemy"". From the sound of it, it sounds like a very violent game. I am very concerned that my bf is playing games that involves killing people. More importantly, when I look at the character my bf is using, it's always a girl character that looks like a child. Is it an early sign of pedophilia? I feel that it is a red flag and I feel that I don't think he'll be a good father to my children. How do I let him know the reason I want to break up with him?
-
#68697: https://www.nuswhispers.com/confession/68697",,2917096071694168,320,1105,1142,2019-08-27 11:33:56+08:00,2021-04-24 18:24:45+08:00
51275,86352,"I'm starting to lose interest in this girl I met from Tinder after realising she only has 1k IG followers. So I am still confused as to whether I should even give her a chance.
So what happened was I matched with this girl on Tinder. She is my type, pretty, nice body, educated, decent job, outgoing personality. So we hit it off quite well and our convo moved from Tinder to texting. We would text daily, and sometimes even video call at night. I really enjoyed our convos and felt we had great chemistry.
After about 2 weeks, I decided to ask her for her IG. To my surprise, she only has 1,000+ IG followers! And she is following 800+ people. Means majority of her followers are just her friends. She barely has any fans and her IG is public some more.
Now, I am someone who has always pride myself on only dating influencers. I myself have around 10k followers. I've had 4 ex-girlfriends before, their IG following ranged from 10k to 80k.
Like it or not, your IG followers is a reflection of how attractive you are. Cos if you are hot, confirm will attract followers on IG. I myself am quite a catch, which is why I managed to get 10k followers even though I don't post very often also. So since I am considered the cream of the crop, I will also only want to date girls who are the cream of the crop. My friends have also always admired me for being able to date all these highly coveted girls.
So I must admit this new Tinder girl became less attractive in my eyes when I found out she only has 1k followers. I started to become a bit distant but the more cold I become, the more hot she become which makes me feel guilty like maybe I should give her a chance? Plus, my previous relationships all failed because when you are dating IG famous girls, you need to deal with a different set of issues like jealousy, insecurity, cheating etc.
But at the same time, I can totally picture my friends judging me for lowering my standards by dating such an average girl. I mean you go to pre-covid Orchard Road anyhow throw stone will probably hit some girl with only 1k followers. Plus I get invited to Media/PR events quite often. Can you imagine how embarrassing it will be if I bring this girl there with her 1k followers? I will also feel so embarrassed to tag her in my IG if we really end up together. Like my followers will prob go see her IG and realise I have really downgraded from 80k to 1k.
This tinder girl wants to meet after Phase 1 is lifted. Should I give her a chance knowing that I am definitely the more attractive one? Any advice from people who dated someone who is in a lower league and didn't regret it?
P.S: Please don't be hypocrites and troll this post. I'm sure all of you follow hot people on IG who have no idea you exist. My salary is quite average but I can assure you I get more girls sliding into my DMs than high earning investment bankers.
P.P.S: Please don't give me bs about inner beauty vs outer beauty. They are not mutually exclusive. Apart from my 3rd ex, my other 3 exes were super kind and nice girls.
-
#86352: https://www.nuswhispers.com/confession/86352",,3849819631755136,74,1078,1364,2020-06-09 11:50:04+08:00,2021-04-24 19:15:10+08:00
58767,103458,"I have been dating my bf for a while but there are some points that I just cannot shrug off.
The expectation is that a guy should be at least a head taller than his girlfriend, but this is something that can only happen in my dream. The reason is he is only 2cm taller and not even 175cm, meaning that it feels like he is a sister/pal to me rather than an oppa. He is way too short for a guy and it doesnt give me a strong sense of security. I estimate he is in the lower tier of height range perhaps somewhere between 1.70-1.73m.
In fact, I would like to ask my fella ladies out there who are willing to date shorter guys or even marry them. What do you see in them? Dont you regret it after a while or will make this an issue whenever you start quarreling? There are plenty of bigger fishes out there and I am now starting to regret it.
Before you commentors start bashing me, I will be fair and point out some of his merits along with my concerns.
1. Yes, he is pretty good looking and has a nice heart. He often shows care for cats/dogs and feed them but I find this trait less manly and somewhat gross. A real man should be more aggressive, not like a beta sissy that plays with small animals.
2. He often buys lunch for me and brings it to the secondary school where I am teaching. However, sometimes kaypoh students will come to me and ask ""Cher, your boyfriend ah? Legit? Why so short one?""- Not surprising since even my female students are taller than him. This is ridiculously embarassing. I even told my bf not to bring lunch to me but he doesnt get my point... He will just say "" If we are truly in love, we shouldnt care what others say""..... Yeah right you are not the teacher...
3. He will offer to carry the plastic bags whenever we go shopping. The problem is his legs are short so his hands are like in close proximity to the ground, resulting in some long plastic bags being dragged, even though I understand he doesnt mean it. This is pretty unsightly.
4. He is a mathematician and I remembered once he drew me a heart using math equations. This seems romantic to others but lame in my eyes. If he is sincere, he would have drawn the heart by hand, not indulge in these kinds of boring stuff. After all, how can all these math help him in his future prospect? I knew of a few friends already earning big bucks without knowledge of maths.
I do not not wish to elaborate any further because for every merit that I can think of, it is diluted by the negative aspects. They cant even offset his midget stature.
Unfortunately, all the good quality tall guys are already taken by the short girls, otherwise I would have ended this relationship earlier. I do not want my female besties to find out that I broke up, so I will just bear with it for a while.
My message to my fella sisters out there who are currently attached to the shorter guys. It is never too late to back out! Think of your future!
-
#103458: https://www.nuswhispers.com/confession/103458",,7363927357010995,119,1049,520,2022-05-14 07:38:17+08:00,2022-10-14 16:30:05+08:00
52430,88911,"My bf and I have a joint savings account. I'm a student while he's been working for two years so he's the only one contributing to the account.
A few months ago, a good friend of mine wanted to buy something expensive so she borrowed $700 from me. My personal savings account has very little money so I used money from the joint account to lend my friend.
My friend told me that she will return me the money by last month but she hasn't done so. I'm not surprised because she has a habit of forgetting to return money e.g. whenever we go out to eat, I would pay for the meal first but she would often forget to return me her portion of the bill. Although she is a mutual friend of me and my bf, my bf dislikes her because of this.
Today, my bf asked me if my friend has returned me the $700. When I told him that she hasn't returned, he asked me to remind her to return the money. I told him that it would be embarrassing to ask her to return the money. Thus, he said he can help me to ask her to return the money.
$700 is not a big amount so I don't understand why he is so determined to get the money back. Granted, that $700 comes from the joint account, which consist of his money. But since it is a joint account, the money inside also belongs to me. That gives me the right to do whatever I want with the joint account. If my friend really forget to return the money then so be it. I would just take it as I bought a $700 gift for my friend. No big deal.
I really hate that my bf is so calculating. Why would he even want to ask her to return the $700? It's not even a lot of money. I really hate guys who are calculating. Should I just dump him?
-
#88911: https://www.nuswhispers.com/confession/88911",,4011822715554826,101,945,1678,2020-07-16 01:17:41+08:00,2021-04-24 19:15:15+08:00
58649,103251,"I've been together with my boyfriend for 3 years. Last year he graduated and found a job that pays him $3.5k a month. To be honest I was shocked that his salary is quite low. Because some of my friends and cousins are earning much higher than him. I often encouraged him to find a better job. I also asked him to take up some courses to improve his chances. He already took up a few courses but he still couldn't find a better job.
Recently, I was bored and downloaded a dating app for fun. Surprisingly, I matched with a lot of guys who seem quite eligible. I even matched with a lawyer and an investment associate. I have been chatting with the investment associate for two weeks now. He would text me only a few times a day because he's a very busy guy. Yesterday was his birthday so he told me he celebrated his birthday with his family at home.
After his birthday celebration, he suddenly said he wants to see me. At around 3am, he snuck out of his house and drove to my house to see me. I went down to the carpark to meet him and was quite surprised to see that he drives a luxury car and he looks even better in real life. We chatted for 2 hours in his car. He then walked me to the lift and even kissed me on my cheek. Although we barely know each other, I actually feel quite happy that he kissed me. When he reached home, he texted me to say that he enjoyed talking to me and he would like to see me again.
He seems like a really nice guy. I know I shouldn't compare but my bf isn't even that nice. And my bf is unable to find a decent job so I'm worried about my future when we get married. But my bf and I have been together for 3 years so our relationship is very stable. I feel like if I break up with him now, 3 years of my life would be wasted. What should I do? Should I just stick to my bf because he is obviously a safer choice? Or should I continue to go out with the investment guy and then break up with my bf when the investment guy confess to me?
-
#103251: https://www.nuswhispers.com/confession/103251",,7308185179251880,165,876,315,2022-05-02 09:42:45+08:00,2022-08-05 16:32:40+08:00
