no,cid,text,image,pid,likes,comments,shares,post_time,scraped_at
59415,104714,"I'm with my girlfriend for 3 years. She's been bugging me to marry her and its really starting to stress me out. I didn't tell her I actually have a 6 figure savings accumulated from my deceased father's will on top of my own assets and let her think I'm a pauper. She even gave me money once when she thought my family finances was tight but I rejected it. A part of me decided she is the one after she did that.
My mother told me to never flaunt our wealth so as not to attract the wrong people so I guess I start to feel funny about money since young. We mostly go to hawkers and only visit restaurants when there is a special occasion like birthdays or Christmas. Our dates are usually very low costs. I like that when the weather permits, we have the habit of alighting earlier from the train or bus and spend more time walking together and talking to reach our destination.
I lied to her that we can't afford a flat yet and she showed hand me her savings and say she can and kept asking me not to waste her time in a joking way. Her family is pretty well to do. Her dad even gifted her a car when she got promoted but she sold it as she's not confident driving.
The problem I have with my gf may be insignificant to some couples. I don't really have any major red flags or issues about her. Even if she's not my gf, I would think of her as a great person to have around. I know other men will find her very eligible given her looks, personality and family background. My mother loves her and already considers her a daughter in law. But I have a but. I'm not ready. We are in our late 20s.
How do you become ready? I'm so in love with her but I just couldn't make myself get down on one knee and ask for her hand in marriage.
-
#104714: https://www.nuswhispers.com/confession/104714",,7743619645708429,207,452,158,2022-08-02 01:02:10+00:00,2022-11-03 09:43:19+00:00
59530,104917,"I'm currently dating a teacher for about 2 years, who is 3 years into the job (after PGDE). While we really love each other and are serious about one another, I'm a bit uncertain about our future together due to her workload and commitment to work.
Here is a sample of her average day:
Wake up at 540am
Leave house at 630am
Reach school by 710am
Teach classes till 130-2pm
CCA/ remedials/ meetings/ misc things till 530pm, leave school
Dabao, Reach home at 630pm
Eat dinner and chill to 8pm
Marking from 8 to 1130pm
Shower, etc, till 1230pm
Catch up on emails till 1am then sleep
So based on that, she works maybe 14-15 hours every weekday with just 4.5hrs of sleep and a good day every weekend just to catch up on work that couldn't be completed and lesson plans. Based on her salary, it's just ridiculous how much she has to work for that - Retail and F&B workers are better paid hourly than her.
I've been getting into fights with her and telling her that her lifestyle and is unsustainable as it'll lead to big burnouts and her health will suffer. On the flip end, she says that I'm not a teacher and I'd never understand her line of work.
Also, I realised that a lot of her teacher friends (female), are single well into late 30s and 40s - which I guess its due to their teaching lifestyle. On the flip end, most women I know from my line of work (private) are married by their late 30s.
I sincerely hope MOE can do something to lighten teacher's workloads. While that is wishful thinking, I'm wondering if I could get any advice on how to move forward...or move on.
Frankly I although I love her a lot, she had made it clear that her priority is to be a good teacher. So at the back of my mind, there is always this feeling that she loves teaching more than me.
Also, although we both agreed on having children, based on her workload, I don't see how we would be able to manage as I'm afraid she'll leave majority of the child rearing to me while she continues her passion. My job is way less tiring than hers and honestly I'm earning more than double of her - and in order for me to climb more, I need her to do her fair share of child rearing. I've mentioned to her that if we got married, I'd like for her to take a step back from her overloaded schedule and this was utterly shot down and more quarrels ensured.
So now I'm at a crossroads - should I push on and try to make things work, or try to move on to find someone who able to be more family oriented?
-
#104917: https://www.nuswhispers.com/confession/104917",,7811378618932531,432,437,276,2022-08-16 14:10:48+00:00,2022-11-16 11:07:52+00:00
59569,105012,"tldr; AITA when my bf half-cancels on our staycay to attend a friend’s wedding and i’m upset about it?
we booked a staycay in early aug for the last weekend of aug, and this week he just got invited to his friend’s wedding. also, he is unable to bring a +1 as the friend said there are not enough seats. he said that he’ll be going on saturday from 6pm onwards so i’ll be alone all the way until midnight-ish in the room. he said he’ll come back after that and spend the night with me.
Firstly, he accepted the friend’s invite so late minute, and that he did not care about how I’d feel being left alone in the room for half a day when this is supposed to be our staycay. It’s like damn sus for a close friend to send an invitation so last minute. & I don’t think he respects my time and treats me like an option. I’ve turned down my friends’ or family’s invites to go out on that particular weekend because we got our staycay booked. But I don’t think he understands that this is basic respect.
I won’t be upset at all if his friend invited him before we made plans and I won’t stop him from going at all. I just find it very disrespectful for half-canceling on me we agreed to spend the weekend together beforehand. He made it seem like I’m making mountains out of molehills as he’ll be coming back after that.
AITA for being mad about this? Should I be more understanding and cincai to wait in the room for him lol? Please advise. Thank you!
-
#105012: https://www.nuswhispers.com/confession/105012",,7842372972499762,80,228,20,2022-08-23 00:04:13+00:00,2022-11-21 20:00:10+00:00
59429,104746,"My father has a mistress on the side and the entire family knows about it. However, my mother advised me to keep quiet for the sake of maintaining the status quo and I reluctantly agree.
However, recently, the mistress developed a long-term medical condition and my father is spending alot of money to try to cure her. As a result, our family finances are badly affected, e.g. our june family vacation had to be cancelled and the COE on my car will not be renewed. Should I still keep quiet about the mistress or is it time for me to do something about it?
Also, another related question: Whenever the mistress is hospitalised, my father always likes to spend the night at the hospital with her. On the other hand, when my mum or I are hospitalized, my father never stays overnight with us. I want to ask: Is sex common when someone of the opposite gender stays the night in your hotel room? In other words, I want to know whether my father is staying overnight just for the s*x or if he loves his mistress more than my mum and me.
-
#104746: https://www.nuswhispers.com/confession/104746",,7757978834272510,89,193,22,2022-08-04 23:01:40+00:00,2022-11-03 09:43:23+00:00
59428,104740,"AITA for asking a NS man to stand in the MRT?
ok, so I posted this on AITA a while back but got ripped apart, prob cus of culture differences, so I’m posting here to have a more understanding viewpoint, please be kind and give your honest but fair opinions. :)
I’m from Singapore. In Singapore, all men aged 18-20, with some exceptions/delays, must do their duty and serve national service for 2 years.
A majority of these men live out on some of the islands surrounding Singapore, in camps, where they do jobs to aid in the defence or functions of our country.
These men used to live out there for the full 2 years, with some breaks in between, but now because ppl were complaining they come back into the city every weekend.
These men often use the public transport on Fridays and Sundays, as they book out of their camps on Friday nights, or evenings and return on Sundays.
I have bfs who’ve served NS, respectfully and dutifully, and my father did it too, when it was much harder, and he never complained.
A “tradition” or unspoken rule is that NS men do not sit down on public transport. First reason for this is that they are bearing the coats of arms of our country, second reason is that they’re meant to be serving our country and a lot of people believe they shouldn’t even be out and about in the first place.
The last reason is that they’re men in their physical prime, meaning they can easily be able to stand for a while.
In more recent times these men have been forgetting themselves, and have began to say they deserve to sit because they actually stand for this country. I think that is bullshit because they’re meant to be serving our country, not sitting on their lazy asses.
So I saw a man sitting on friday, full on decked out in army uniform, on his phone while many women and children and elderly were standing. I walked up to him and tapped him on his knee.
At first I was polite, trying to say there were people who needed his seat more, but he was being a baby saying his legs were sore and “dead”. I reasoned with him some more but eventually just demanded that he get up, citing all the reasons above.
People started staring and pulling out their phones, and I pointed out that he had his name on his chest, so he got up and just walked out of the train.
I told my friends about this, and most agreed that I did the right thing and he should’ve stood, but some of my male friends are refusing to talk to me now.
AITA?
-
#104740: https://www.nuswhispers.com/confession/104740",,7757953894275004,35,184,57,2022-08-04 22:52:26+00:00,2022-11-03 09:43:21+00:00
59588,105043,"AITA?
I was earning around 60k to 70k per annum for 10 years before quitting to be a sahm. My husband earns more than me. My husband and I paid half each during the initial payment for the house with a remaining loan of 200k. We have separate and joint accounts. He has taken over paying for almost all the expenses for both of us. Including giving me an allowance which I was able to save from it too. We are thrifty, we don't own a car.
During the course of our marriage, he had asked me twice if we can repay some of the home loan, using both our savings. I've obliged as I wanted to ease his burden. I've not need to spend from my own pocket as he's given me a supplementary card for all expenses and he also paylah whenever I pay for things. From kid to house stuff and even my own personal shopping, insurance and other smaller bills he would paylah me sometimes and will do it when I ask too. Basically he's paying for almost everything and I'm grateful for that. I'm also a simple person. I used to buy Chanels and Pradas but have since adjusted my spending habits since becoming a mom. I can live on 500 or less a month if I want to. I don't scrimp when it comes to food. I can buy things on sale but I also won't deprive my child of a new book or toy on birthdays or xmas when my child asks for it.
We won a decent amount not long ago and we used that to fully repay our condo. We are debt free since. We didn't tell anyone about it.
Recently his family member asked if we can invest an amount in their business. Promising huge returns. All along I'm not on good terms with them and I don't trust them either. They have been changing what they do all along. My husband would like us to contribute to show support. He say I got the spare cash, why not? I have a strong feeling their business will fail again and we won't get back single cent. My relatives said me and my husband are the only ones staying in condo, we should give others a chance to upgrade from hdbs. I think it's rubbish talk.
I don't want my husband to help them either. I have plans to work when my child gets older but whatever I have now, it's my own savings. I feel very annoyed his relatives act like I ought to help them. I'm not a big investor so I prefer to keep most of my money in banks. I do share and invest in the same stocks as my husband so even though my husband don't really know the exact amount that I have, he has a rough idea that I have more than 100k. I know its not a lot. But since I'm not working right now, it's my lifeline.
AITA for refusing to give his relatives a single cent and also stopping my husband from helping them?
-
#105043: https://www.nuswhispers.com/confession/105043",,7866036850133374,202,184,25,2022-08-28 00:03:46+00:00,2022-11-26 20:00:14+00:00
59453,104788,"Hi all, how do you convince your parents to let you go overseas/stayover with your bf?
I (24F) has been together with my bf for a year. We also met each other’s parents since the start of our rs. We do visit each other’s houses and hang out in our rooms with the doors closed. So if we wanted to have s*x, it would have happened alr. I had also been on exchange by myself. They are ok with me doing these things with my girl friends.
However, my parents wouldn’t allow me to have a stayover/overseas trip with my bf. Their concern is that I would have s*x with him if this happens. So in order to ‘protect me’, they won’t allow me to spend the night with him. How else, could I convince them to let me physically sleep next time him lol (btw, I reassured them in many ways alr, but to no avail). Thanks!!
-
#104788: https://www.nuswhispers.com/confession/104788",,7771372059599854,79,180,12,2022-08-07 23:31:54+00:00,2022-11-08 08:36:15+00:00
59611,105088,"Hi. I want to seek for you guys opinion.
I’m currently interning at a company and i broke something that belongs to the company. The boss is now telling me that he will -$100 from my salary which is already like 20% of it.
Yes the item that i broke is worth more than $100, but he didn’t even hesitate to say that the deduction will be $100 , seems like a common tactic he used for previous interns that also broke stuffs.
Just wondering what should i do ? and whether is it okay for companies to deduct our salary.
Should i speak to my intern liaison officer about it ?
It sucks to know that all the company cares is about $ and is already paying us slavery salary
-
#105088: https://www.nuswhispers.com/confession/105088",,7884820734921652,87,176,13,2022-08-31 23:08:59+00:00,2022-11-30 20:00:11+00:00
59496,104865,"TLDR: Found out fiancé and his fam are planning to get me pregnant
Admin pls don’t filter this, I don’t have anyone to turn to, not even my parents. Trying to keep this short, am in my mid 20s, fiancé in his mid 30s. I enjoy being with him alot. We’ve been tgt for long and l made it clear from the start that I only wanted a child at 30, which he agreed to. Why at such a late age is because I wanted to continue studying after Uni. At present, I’ve gotten my masters and am very contented with my job. Not long after I graduated, fiancé proposed and I noticed some changes. The topic of kids started becoming more frequent. From “see how cute xx’s babies are” to “what will u do if u suddenly got pregnant? You won’t abort the baby right?” Whenever his nephew and niece visited, his parents started joking that I should pop out a playmate for them soon.
A few weeks ago, fiancé drove out to get dinner while I stayed in his room to finish a report on his computer. It’s my fault, I opened his desktop WhatsApp out of curiosity, just wanting to see who he was texting. I totally take the blame at this part. Everything seemed fine until I saw my name mentioned by his dad. I clicked the convo, and it was them exchanging links on how to get a woman pregnant inconspicuously. His dad wrote that he’d done something similar with his mom and she never regretted having more kids than she originally intended so “(my name) will be thankful next time”
I tried to minimise interaction with his fam after that, but still kept things usual. They’ve treated me with a lot of love and kindness, even offering to buy a condo for us when we got engaged. When I brought this issue up with my mom, she echoed the same sentiments that I should have a child as early as possible. She didn’t think there was much to it since fiancé and his fam are generous and well to do, so I’d have a comfortable life. When I talked to my dad, he didn’t support their actions but also advised me it was “dangerous to wait too long”. Right now I’m extremely wary when having sex with fiancé, which he has been requesting more of, in case he tries to pull anything funny. Have hinted and reminded him that I’d like another 4/5 years in the corporate world before having a child, but he brushes it off, jokingly saying that he’s more than ready to be a dad and take care of us, and his family also want to help raise our kids.
I’m not sure how to feel about this situation. I’m furious that no one is taking me seriously or respects my wishes. But I’m also scared to appear demanding and overreacting, with how people are downplaying the issue. I definitely don’t want to lose my fiancé because I still love him. This issue aside, I’ve always viewed him as my ideal partner in life, from looks, personality, charm and intelligence. It’s just that because of our age difference, while he has scaled the corporate ladder and feels comfortable settling down, I’m only just starting out. I wish I could go back in time to stop myself from going through his messages. Am I being selfish for wanting more time before having a child?
-
#104865: https://www.nuswhispers.com/confession/104865",,7804736926263367,97,175,46,2022-08-15 05:15:34+00:00,2022-11-16 11:07:45+00:00
59511,104887,"I know I'm going to sound shallow and get roasted but I'm going to say it anyway.
Secretly I hate lazy and fat people. If you're lazy and not fat I won't find it as annoying. But I really cannot stand fat people. Those who are so fat that they need a motorized wheelchair to move around. I also hate fat youngsters. You got no excuse to eat till your face swell to double the size and look more pregnant than a woman.
I'm in my 30s and I find it ridiculous that some friends my age cannot control their weight. Please don't give the excuse about body type or medical when you have no health issues. I have friends who managed to look the same or even start to take care of themselves after having kids. So I don't believe its acceptable to look like a balloon after NS. Diet and exercise plays a huge part for sure. Not caring about these 2 elements just shows that you're lazy.
I have a cousin who was fit during his teenage years. NS improved his shape but he got fatter and fatter after that. Always eat junk food and smoke and drink. I was so shocked to see him recently as he haven't been updating his fb posts for years. He has ballooned to triple his size. His fiance is normal built I wonder how does he not crush her to death when they have sex or if he can even make it stand? His face is so swollen I don't even know where to look when I talk to him. He's literally panting and breathing very hard even while he's seated. Not like he's on a treadmill. And he's not even half way through his 20s.
I wouldn't be able to not do anything about it if I looked like him.
Waiting for fat people to slam me. But I'm stating a fact. If you let yourself get to such a stage and do nothing about it, be prepared to hear remarks from people.
-
#104887: https://www.nuswhispers.com/confession/104887",,7804748749595518,98,172,26,2022-08-15 05:19:17+00:00,2022-11-16 11:07:49+00:00
