no,cid,text,image,pid,likes,comments,shares,post_time,scraped_at
60259,106402,"I feel depressed because I was rejected by a girl on a personal level, most likely due to my financial background.
So I’m a guy, fresh into uni and new to relationships. Last semester I somehow get the courage to ask out this girl in the same year as me. Long story short, we hit off very well. We met up 5 times over a month, most times for an activity and not just a meal. On the 6th meeting, I sense the vibe is strong and I confess my feelings for her.
Up to this point I’m 100% confident she likes me back. But then to my utter surprise and horror, she says, “let’s just be friends, I’m not really into dating.”
I’m taken aback and I ask her why. She is surprisingly amiable and she takes some time to explain that it’s nothing to do with me but her, that she’s ‘just not into dating’ and doesn’t feel the need to get into a relationship. She also claimed that she honestly thought all those outings were just as friends and she didn’t know they were intended to be dates and apologised if she sent the wrong signals.
Regarding the “I just don’t want to date” line, I’ve heard countless times before that such rejections are actually personal. On NUSWhispers and also among my friends, there’s this saying: When a girl says she doesn’t want to date at all, she’s just trying to let you down easy, but actually she just doesn’t want to date YOU personally.
It's basically common knowledge.
Knowing the rejection was personal was so depressing. I suffered a mental breakdown over the next few days. It hurt like hell and got me agonising over what part of me is so bad. Some part of me must be so repulsive that I would get rejected on a personal level, especially with that cliché excuse of “I’m just not looking to date”. This excuse that covered up an unknown reason pained me to know that I had some personal problem that was so severe the girl must have deemed too hurtful to say out.
I agonised over why she didn’t like me. I narrowed it down to the 3 main common reasons: looks, education level, or financial status.
Now I know there could be other reasons, such as not feeling a romantic connection, incompatibility or mismatched personalities, which are completely possible and valid reasons for rejection, but I don’t think that’s the case here, otherwise the girl could have just told me she felt we didn’t click / were not compatible / I'm not her type; and such reasons are good and not hurtful at all. Furthermore we went out so frequently. Since she used the “just not into dating at all” excuse, she’s most likely lying to hide a deeper reason, and is trying to be nice because the real reason could be too hurtful for me to bear. So I think the reason is unlikely to be incompatibility or mismatched personalities, not least also because we shared a lot of similar hobbies like painting, music, etc. to name a few.
So such a hurtful reason has to be either looks, education level or financial status (I can’t think of any other reason too hurtful to say out).
I agonised for weeks after that, wondering what was wrong with me. It sure as hell cannot be education level as we were in the same year and taking the exact same course, down to the same minor. We both said we were aiming to continue doing a masters after our degree. As for looks... it’s very unlikely to be my looks as we went out multiple times. Also my friends all agree she was within my league in the looks department. And she was shorter than me.
So, that just left financial status.
As full time students who are not earning a steady income of our own yet, I once thought financial background didn’t matter much as long as I was still decently dressed and able to pay for dates. After all, we were in the same course, and it should be our future prospects that mattered more, right? Apparently, not in this case. I got the feeling she’s from a richer background than me and she probably realised it too. Because through our conversations, I found out she attended an expensive private high school, lives in the central area of a major city (she is a foreign student btw), and travelled to more Western countries than me. Doesn’t take a genius to figure out who is from a more well-off background. To clarify, I’m definitely not poor, I’m middle class. I don’t have student loans and both my parents work decent white collar jobs, but my background is definitely not as wealthy as hers.
And I’m pretty sure she knows I’m middle class because she asked what my parents were working as, and also asked what countries I’ve been to. And yes, I also paid for some of the ‘dates’ at decent eateries. But perhaps her financial standards were just too high.
Now I’m not saying that girls are gold diggers, but I heard that even in todays day and age, well-off women with their own money still want to date guys of equal or higher financial background compared to them, not because they are gold diggers and want the guy’s money, but simply because a higher financial status makes one look more successful and attractive overall.
So yeah, the girl most likely lied that she’s just not into dating to hide the hurtful truth of what she truly felt, that she thought my financial status was too low for her. Furthermore she is a foreign student from a country whose citizens have a reputation for being highly materialistic and judging others based on financial background. Deride me all you want for stereotyping or generalising, but like I mentioned earlier, rejection based on financial background seems most plausible. Furthermore, I have friends from that particular country who always specified that whenever girls from their country say “its not personal, I just don’t want to date in general”, the rejection is in fact personal and the other party is bullshitting.
So yeah, it has to be financial status. The only reason that is both personal and too hurtful to say out. Either that or there’s something else so repulsive about me that I’m hit with that cliche excuse.
And now I'm hurt like shit. Especially because of that girl's excuse.
Even if you don't agree with my assessment on it having been due to financial background, you can't deny that the rejection was personal towards me, and some part of me must have been so repulsive to the point she would use that 'not into dating at all' excuse. Either way, the rejection sure was personal. And the reason hurtful and terrible enough for the girl to use that cliche excuse.
So this happened months ago, but I still feel pained by it. Sucks to be rejected on a personal level, and judged for your financial background. My self esteem has been shattered and I am depressed. Trying to get this off my chest before the next semester…
-
#106402: https://www.nuswhispers.com/confession/106402",,8518641328206253,58,360,40,2023-01-09 15:44:39+08:00,2023-01-21 12:00:28+08:00
60718,107400,"My bf of 7years just graduated this year and is currently earning 4k a month. Throughout these years I have never once requested any big value gifts and the most expensive item he had gotten me was a ring and bag that cost around 700+ in total for anniversary.
Recently I chanced upon a Gucci bag which cost around 2k+ and I hinted to him that I really like it and asked if he could buy it for me for our next anniversary. He replied that he can’t as he is saving for a nice proposal ring which is expensive. So, I proposed to him to just get me the Gucci bag and I am fine with a normal ring i.e less than a thousand since proposal is just for the sake of showing to the elders and I am not really keen in proposal rings either. Moreover we will be wearing wedding bands after marriage and the proposal ring will most likely be kept inside the drawer for most of the time.
Just when I thought this was a good deal for him since he doesn’t have to spend as much, he flared up and raged at me, claiming that he will not buy me the Gucci bag as he wants to save his money for other stuffs. He said that it is his money and he shall decide what he spends his money on, and if I am really so desperate for the bag, I could leave him for another guy who is willing to get me such branded bags.
I know he is a little stingy with his money since the start and up till now, we are still splitting for dates even though he will mostly let me pay few dollars less. But is this a red flag about his character? I assume he lied and isn’t even intending to spend on an expensive ring. Otherwise, he would be more than happy to take on my idea of getting the bag I like and at the same time, he can save his money by spending less on the ring.
-
#107400: https://www.nuswhispers.com/confession/107400",,628449192642897,98,336,122,2023-05-28 11:16:26+08:00,2023-07-14 12:00:08+08:00
60356,106623,"I’m dating this guy for 3 months. It’s my first relationship.
When is the best time to ask about the guy’s salary and net worth? I really wanna ask the exact figure as financial security is important to me. I don’t want to ask too early as I don’t want to as money minded or gold digger. But I can’t drag too late either as I am dating to marry and I don’t want to find out late that he is earning way lower than me or not enough to support a family.
-
#106623: https://www.nuswhispers.com/confession/106623",,558092296345254,70,280,41,2023-02-03 10:11:13+08:00,2023-02-21 12:00:16+08:00
61077,108171,"Dear Prof Ben, please help me out.
I just got married not long ago and moved in with my husband. However after moving in together I found that my husband is an extremely disrespectful person. 
We work from home in the same study room and as someone who loves to chat, during the day I often initiate conversations with my husband but he's never paying attention to me. He's always deep in his work and even when I'm talking he is still looking at his computer and typing away. I have raised this issue multiple times to him and he says his work requires a lot of concentration and he can't respond to me immediately every time I talk to him. He says we can allocate time during the day to talk, like during lunch or tea breaks, but not when he's working. However, I'm someone who needs to get something off my chest right away so what he proposed is unacceptable to me.
I find such behavior so rude and am contemplating a divorce. We don't have a kid yet and the stakes are low now. Other than this ignoring behavior, he's actually a responsible husband. Should I go ahead with it?
-
#108171: https://www.nuswhispers.com/confession/108171",,718187930335689,77,269,52,2023-11-01 11:59:19+08:00,2023-11-17 12:00:31+08:00
61012,108012,"I just got married less than a few months ago. I accidentally saw some screenshots of a sexy influencer on my husband’s phone. I confronted him about it, and he apologised saying that it is habitual. I forgave him and reminded him that he is now married with a wife. For context, we’ve been together almost 10 years before we got married. 
Few days passed, and things went back to normal. But my gut feeling says no. I know it’s bad but i snooped his iphone gallery. I know i’m looking for trouble at this point but I just needed confirmation. The photos are no longer in his gallery, but it’s under the Hidden folder. My heart sank when i saw thousands and thousands of not only screenshots of sexy influencers, but also sneaky photos he took of his friends who are girls. Some butt pics, cleavage. Some of these girls, he went out with without my knowledge after I wished him goodnight, after cross checking the dates of these outings with our past messages. There were also photos of absolute strangers at the gym, on the plane which he sneakily took. While these photos were not recent (like within this year), it all happened within the course of our relationship.
I am very disappointed, hurt and disgusted. Now i am in a dilemma. Do i confront him about it even though it’s mainly in the past (except for the recent ones he screenshotted) and risk our marriage? Because I snooped around without his permission. Or do I close one eye and pretend everything is okay, but knowing he could likely do it again? It’s definitely going to cause trust issues between us both for both scenarios - i can’t trust him anymore with his predatory behaviour, and he can’t trust me coz of my snooping. How do i go forward?
-
#108012: https://www.nuswhispers.com/confession/108012",,701433972011085,65,231,55,2023-10-03 10:10:51+08:00,2023-11-01 12:00:09+08:00
61061,108105,"If I make 5k/month and my partner makes 25k/month, would it be fair to split all expenses 50-50? We are planning to get married next year and have many big expenses coming up eg wedding, renovations, honeymoon, car, kids etc. Partner insists we split all 50-50 but I disagree and am hoping to gain some perspective, no hate please.
-
#108105: https://www.nuswhispers.com/confession/108105",,710973611057121,76,227,34,2023-10-19 21:00:26+08:00,2023-11-17 12:00:32+08:00
60230,106343,"I am dating this guy from SIM, however my parents aren't convinced that it will last between us..
I would probably rate myself higher then him as I am Smart (I am a scholar) ,I come from a well to do family eg (we can afford to go on at least one holiday per year)
Looks Wise I think I am okay, I get loads of looks and many guys have confessed to me...
However this guy is different especially religion wise.
The odd thing is this guy I feel can do way better than me, he is always thinking 10 steps ahead and he always talks about how to help others or come out with solutions to help people and businesses
He's doing okay academically, he plans for a masters too ,and this makes me happy
However my parents think that he's not smart because his from SIM and they harbor many stereotypes, eg he will drink a lot ,when in fact he doesn't.
and they think he would cheat on me , funny when my mum already suspects my dad has cheated on her
How do convince them otherwise???
-
#106343: https://www.nuswhispers.com/confession/106343",,8485235628213490,120,213,27,2023-01-02 07:38:51+08:00,2023-01-16 12:00:48+08:00
60782,107547,"When you break up with your rich gf to be with a pretty one and it ended up ruining your life.
My first gf was in nus. She comes from a rich family. I know exactly the type of guy she like so I became exactly that to get her. It was great when we're dating. She would surprise me with dates of staycations, fancy restaurants, movie nights. I would offer to pay but she would decline as she knows I'm still giving part time tuition to supplement my allowance as I'm also studying.
Tbh I'm not that into her but I kept it going as I really enjoyed the company and the lifestyle. I come from a humble background but have always aspired to make it big when I graduate.
Then this new girl entered my life. She's the hottest girl I've ever met irl. She also happen to be newly single and all the guys were swooning and wanting to get her attention. I was lucky enough to have common friends with her and got introduced.
Fate was on my side, my old gf had an argument with me and I used the chance to break up with her. I did my best to make it seem that it was coincidental. When I couldn't wait any longer I openly pursued the new girl.
I admit I was aggressive in chasing her as I knew she had other suitors. Things didn't work out as well as I thought once we are officially together.
We argued everyday. It was mostly because I suspect she was still talking to other guys. I can't help myself and would get angry when she has other guys around her when in school. Why can't she just hang out with the girls?! I hate her best guy friend who's known her since she was in secondary school. Why must they still keep in contact? Aren't I enough?
I bought a diamond ring for her to wear which she did but I still think it's not enough. We still argue everyday. I'm so bloody angry with her. Why can't she just not give me reasons to doubt her?!
I made so many arrangements with her. Set up bank account together with her. We leave personal belongings in each other's place. I mostly want her to leave her things at my place because it's easier for her to stay over at my place as her family are not nice.
I have lost count the number of times we argue, break up, I buy flowers to win her back. I admit I let my insecurity get the better of me sometimes. But it's her fault. She's too pretty and she did nothing to assure me that she won't cheat on me.
When she started her internship I knew she would stray one day and I was right. I caught her walking with a male colleague out of the office building. When I confronted her she told him to quickly leave. If they were platonic, why won't she introduce me?! She said I'm embarrassing her. I snatched her phone and left and she didn't even chase after me. Isn't this a sign of guilt?
She said its over so many times until I don't believe her anymore. I always am able to coax her back to me. But not anymore after this. I suspect she's seeing someone who works with her. That is the only explanation.
I destroyed everything of hers that she left at my place and she closed out the bank account that we shared and dared to tell me she was the only one putting money in so the money is all hers. What about the amount of money I spent on her?! That diamond ring isn't cheap! She had the cheek to change her numbers and even got her family to hang up on me. I made sure she remember everything that happened is her fault. She ruined me. I will never forgive her!
Pretty girls are over rated. She doesn't even have much money and yet acted like I'm the money greedy one. Wait till I earn 100k per annum, I'm sure she will regret leaving me!
-
#107547: https://www.nuswhispers.com/confession/107547",,647695667384916,70,213,152,2023-06-29 12:38:32+08:00,2023-07-17 12:00:49+08:00
60413,106739,"Sayonara Singapore.
I came to Singapore 15 years ago, thinking of making Singapore my home, as it came on top choices compared to other countries, such as US, Australia and Canada. I have studied here and meet my wife here and had my baby here, however Singapore had a different plan. I am a PR for more than 10 years and they are not ready to give my wife a PR even though she has studied here and been here almost same time as me and they rejected application my wife's and my child's PR. So HDB is out of choice. We both make a combined income of 10k+ but more and more money is squeezed out of us. Looks like Singapore Values free money from China and Hong Kong than integrating locally trained people.
At present our house house hold expenditure is more than 80% of our income and our life style is just average, so you can earn and have a decent life in Singapore. But we feel we are just Surviving here and not really living. We are not evening talking about luxury here like car, condo etc. Just a basic life. And it's same for my Singapore friends but slightly better because of HDB. In general, Singapore is becoming a advanced society with surviving people.
What I see from Govt plan is either you are super rich or under 3k family income rest all will just be rich on paper but poor in real life. All my class mates (locals) have already left Singapore and I didn't listen to their advice to pack up 10 years ago. Now, I am Surviving. When I tell about these things , most locals will complain you can go back where you came from, but if we keep having such mentalities Singapore will become next Japan.
Right now, govt is happy to collect millions from foreigners ABSB and giving $300 CDC vouchers to keeps locals mouth shut. So, till govt doesn't prioritise welfare of people, Sg will be millionaires zombie land.
-
#106739: https://www.nuswhispers.com/confession/106739",,568124432008707,403,212,72,2023-02-17 12:28:33+08:00,2023-02-28 12:00:16+08:00
60734,107434,"Hi there! I'm a 23yo female this year and I have recently started working after graduation in a pretty well paying job. Things are looking up for me and I also have a hunch that my boyfriend is going to propose soon because he has been probing me alot about ring preferences alot in the recent months. TBH he doesn't really have any red flags and has alot of green flags: he's kind, caring, family-oriented and gentlemanly. Sxx is also very good and it helps that we both have high libido. Career-wise he is also doing very well too. I genuinely do see a future with him and want to start a family with him.
HOWEVER theres just 1 thing... He is 10 years older than me and we've been dating for about 10 years as well. And if you did the math... Well yeah, I think you'd get it. It kinda was child grooming? I'll admit we starting having sex really early on into the relationship (less than a year) and we have been active throughout. We also haven't been using any protection but in his defence, it was a mutual decision.
Honestly I'm torn after doing some self-reflection.On one hand, i really love him and want to have a family. On the other I find it hard to come to peace with the past. I find it kinda messed up. I'm afraid that others will know about the past and whether it will affect my ability to be a good mother to my children. I would say yes in a heart beat if he asked me for marriage a few months ago but now I'm not sure. Please advice this troubled girl!
-
#107434: https://www.nuswhispers.com/confession/107434",,634011938753289,88,211,120,2023-06-06 16:27:03+08:00,2023-07-14 12:00:12+08:00
