no,cid,text,image,pid,likes,comments,shares,post_time,scraped_at
60534,106967,"Exactly 1 year ago, I wrote a confession here. I shared about dating a guy who earned so much less than me, and I had concerns with that. At that time in the comment section, I got bashed a lot.
Anyway I took the feedback, I went ahead and agreed to be his gf. Today, we have broken up for 4 months. The reason for breaking is (again) because he earned too little, and therefore his mindset was too different from mine when it comes to financial goals and spending. I also find it was too hard to feel happy when I had to keep hearing him complaining about paying for dates (to clarify, most of the time we split 50/50, sometimes I treated him but when it was his turn, the complaints came out). On top of this, with a humble financial background also comes very uneducated behaviors (for example, being mean to family members or cruel to animals). Not saying it is the case for all who earns less, just saying it’s a common risk.
Hence, for those girls who feel alright dating down, good for you. I can’t. I’m not demanding to be treated like princess here. Thinking back on how I was bashed and advised to not be materialistic 1 year ago, I just feel bitter. How women are often looked down on even for asking for just a little bit of fairness in relationships.
Recently, I’ve started dating someone who earns more. It feels good that he is classy and willingly picks up the bill most of the time (although I still insist to pay for some to maintain 50/50). So I’m not in for materialism but pointing out the financial capabilities speak something.
-
#106967: https://www.nuswhispers.com/confession/106967",,593013232853160,289,127,26,2023-03-30 07:29:29+08:00,2023-04-04 12:00:05+08:00
60515,106933,"My advice to guys thinking of settling down and getting married - don't! You will regret it.
I too once thought I found the love of my life. That we will live happily ever after. I was so in love all the advice I've heard before fell on deaf ears. Don't repeat my mistakes!
Someone once told me that the biggest reason marriages fail is because women think that men will change after marriages but they don't. Men think that women wouldn't change, but they do.
And boy do they change... Within a few years, I can barely remember the woman I loved. And I'm not just talking appearance - it's the personality changes that scare me. Even her family commented that she is so different.
The once caring, gentle girl who was the light of my life is now my nightmare. Everything I do or don't do is wrong. Everything I say or don't say is wrong. Every wrong step she will dig up things from ages ago and stack them up.
Other than the 3 kids we have and love dearly, we are worse than roommates. Every time I thought we made progress, something trivial will trigger her and it's worse than ever.
So think twice, thrice, and 100 times before you jump the gun.
-
#106933: https://www.nuswhispers.com/confession/106933",,590258026462014,203,146,53,2023-03-25 00:31:12+08:00,2023-04-03 12:00:20+08:00
60484,106878,"Hello,
NUS SoC alumni here. TL;DR started a startup, declined an acquisition offer last year and the business is growing. This is not about the startup, this is a tribute to my parents.
When we decided to not get acquired last year at the last minute, we had run out of money. It was a gut decision and we did not have backup options for fundraise. I felt it was right and my parents supported me. My dad said I should not think about anything below $100Mn.
Since we were not profitable and I was hearing NOs from investors, I was worried about how to pay salaries. My parents stepped in and gave me some cash which helped support the team. All this while, they have been paying my living expenses (I stopped taking salary of course). They paid me to fly in the region to meet customers.
I had a dispute with my flatmate and they paid for my rental when he decided to make me pay for renovation etc. upfront. They told me to stand up for myself and not get bullied. They transferred me the money and got one of their friends to bring some cash for me next week to help with living expenses.
My brother is in SF and works for FAANG, so all my groceries and grab are on his card. My parents would not let him pay for my rent etc. and he is free to live his life. He lives in a luxury apartment with a cat and does not have to worry. He can spend all his time and focus on his work.
The thing is that my mom is a housewife and my dad is a salaried employee in a developing country. They already used some of the savings to get me to NUS. I had a full scholarship at NTU but I really wanted to go to NOC, so they let me go to NUS. I never could qualify for NOC (rejected 4 times) and my parents never mentioned it once. My dad stayed with me for 15 days when I first came to Singapore thirteen years ago because I was only 15 and made sure everything was okay.
They supported me in continuing to live out my entrepreneurial dream. I got slightly disillusioned in between and gave some interviews to FAANG and had one very good offer. When I shared this with them, they would just tell me to do what I want. And I could not convince myself to take up a job because it would prevent me from having a shot at being somebody who history remembers.
I did not know earlier but know now that they actually sold off their property and took loans to pay for me. I would never have known had I not chanced upon the opened post on our dining room table while I was home. I have no idea what I did in my last life to deserve such parents. I do not. And I do not know what the future will be. We are profitable and growing now but I still do not take a salary. We have a lead investor etc. and I likely will be able to pay myself a little bit in the coming months.
I am not sure if I will ever be able to repay them. I screwed up so many times in university life and even while doing the startup - slacking off, doing random things like picking up chess, not showing up to meetings on time etc.. They would scold me a little for all of this but would never ever tell me money is a problem. I never had that burden and if I knew about what they have done, I would have taken up a job. My mom always asks me if I am eating and exercising right, never about how much I am spending.
If you see someone trying to be successful on their own, don't just think of their work or preseverance. The real MVPs might be their parents. They would never get the glory. And they would never ask for something in return. I love my mom and dad so much, and I will still be pulling their leg or not calling them. They would not want me to know and that is how it shall be.
-
#106878: https://www.nuswhispers.com/confession/106878",,582046370616513,144,18,14,2023-03-10 22:07:36+08:00,2023-03-20 12:00:11+08:00
60471,106848,"Am currently dating a girlfriend who is pretty wealth-off while I come from a humble family where both my parents work hard to get me to university and to where I am today as a graduate. I am very grateful to them for slogging hard while taking care of me.
So has been with my gf for a couple of years and she has been complaining in front of me about my parents poor financial planning, resulting in not able to sponsor wedding or flat but I just comfort her every time and she has also accept the fact.
So one fine day, we were sharing with my family about our financial planning and some miscommunication occurred and my gf, in the heat of the convo, tell my parents she doesn’t want to be like them to be poor after working their whole life… my parents handled it really well and stop the convo and went out for their dinner.
I think it’s fine if we complain in front of me but to say in front of my parents, I think that’s a little rude to be doing to the elderly generation.
-
#106848: https://www.nuswhispers.com/confession/106848",,577250207762796,136,150,22,2023-03-02 23:37:53+08:00,2023-03-13 12:00:19+08:00
60473,106851,"Do not go into the Big 4 audit/tax if you are an accounting student. Please, just let the partnership die.
Honestly, the only saving grace is the guaranteed promotion annually if you don't fuck up.
But is it worth it? Because factor that in, the pay is still miserable and the hours are still shitty. So why join Big 4 for the guaranteed promotion?
Not to mention:
The pay is low, and the hours are long. You have to work on weekends, be it whether you are forced by the manager/partner, or that you are so afraid that you cannot complete your work on time because of the ridiculous deadline with the growing shortage of staff that you turn your computer on to catch up on saturdays/sundays. I had worked 14 hours a day for 6-7 days a week for the last 6 months.
You will have no time for your family and friends. You will have to miss gatherings.
You will suffer badly from a lack of sleep. Your health will deteriorate. Your temper will grow and you will become impatient as well.
All this and for what? Honestly, if 9-9-6 is bad, Big 4 is worse and should be illegal.
-
#106851: https://www.nuswhispers.com/confession/106851",,577250411096109,134,55,27,2023-03-02 23:38:17+08:00,2023-03-17 12:00:10+08:00
60533,106964,"As a girl, if im going out with a hunky and handsome and rich guy, then i will offer to spilt the bill. Coz i need to demonstrate that im good catch.
However if im going out with an average looking guy or average income guy, then i will prefer him to take the bill. Coz they would need to show more sincerity
Im cognizant of the fact that i only have 10-15 years of youth till abt 35 to find a gd mate. It is important for me maximise my gains.
Childcare is expensive, housing is expensive. Everything is expensive. Im not being materialistic, im just being practical
-
#106964: https://www.nuswhispers.com/confession/106964",,593013029519847,120,183,84,2023-03-30 07:28:54+08:00,2023-04-04 12:00:05+08:00
60490,106890,"Parents that cant afford to have children should not have children
Here’s a little background about myself and my family:
We are a family of 4 and earn just enough to not qualify for any financial aid, however we are also in debt.
My sibling and i are matriculating into nus this year.
I have watched my parents work so hard to bring the both of us up and I am very grateful for that. Recently, I decided to find out how much does it take to raise a child in Singapore and after factoring my parents’ income and the cost of living in Singapore, i was devastated. We literally scrapped through every month with little to no savings. I feel like such a burden to my parents, stopping them from living their lives. They were really living just to support me and my sister.
Now having found a full time job whilst waiting for my matriculation, I’m really glad that I’m able to give my parents allowance to make up for their support while bringing us up. However i am worried that they will be pressured when i have to quit working and start studying this coming August.
Hence i feel that if a couple can’t afford to have children, they shouldn’t have kids. When the child finds out about how hard their parents have to work to bring them up, it really takes a toll on their mental health.
-
#106890: https://www.nuswhispers.com/confession/106890",,582047363949747,94,38,8,2023-03-10 22:09:45+08:00,2023-03-21 12:00:13+08:00
60520,106951,"My last 2 ex gfs did not want children. We broke up for completely unrelated reasons.
Today my current gf told me she might never want children.
I am amazed at the consistency of child preferences of women I date. Is it becoming more prevalant these days or is there some other reason for this pattern? Might I be attracting a certain sort of woman and why? My gf's reason is her fear of having children will affect her career progression and her indignance about the unfairness that men do not have to give birth. My exes did not want children for fear of damaging their figure.
I am not opposed to not having children but my status quo is want to have children as I like them and that is also the usual path in life. I understand the benefits of not having children but I am not completely convinced.
-
#106951: https://www.nuswhispers.com/confession/106951",,591546112999872,83,174,23,2023-03-27 11:49:30+08:00,2023-04-04 12:00:05+08:00
60535,106963,"Regarding housing, my gf told me she doesn’t want to live in an HDB. But I may not be able to afford a 2 mil three bedder condo. Luckily she doesn’t mind a 1.5 mil two bedder condo. Not all girls are materialistic, it is just how you negotiate.
-
#106963: https://www.nuswhispers.com/confession/106963",,593013362853147,73,157,35,2023-03-30 07:29:42+08:00,2023-04-04 12:00:05+08:00
60480,106870,"Should I break up with him?
I have changed the story substantially to protect my identity but the advice will apply to my situation.
I met a guy during my first year. He was in his first year of medical school and I was in my first year of accounting. We hit it off right away. We shared similar tastes in food, in movies, in hobbies, we even took the same third-lang in secondary school. We've been dating for more than 8 years now. We don't fight, we always spend time together. Everything is better than I have ever imagined when it's just the two of us.
Recently we've been talking about marriage. It would have been a no-brainer for me to marry him were it not for this weird philosophy that he has about our responsibilities as spouses. He believes strongly that he is marrying me and not my family and likewise I am marrying him and not his family. According to him, I will be exempted of all my obligations to his family if I so want to be, and he should be given the same privilege. This, apparently, isn't just his idea. His whole family thinks this way, even his parents. His mom sat me down once to tell me that while I am always welcome, I will not be expected to do anything and she hopes I don't expect her son to do the same. One detail. Both his parents are doctors and they own and run a specialist clinic together. My dad is a taxi driver and my mom is a homemaker.
My mom and dad have been giving me pressure to soldier on with the marriage and they have indicated to me that they plan to ask for an obscene 5-figure amount in dowry and more than half of the banquet seats. His parents have also spoken to me and they said they will not be participating in any tradition, and all costs for the marriage will be borne 50/50. It's probably worth noting that my boyfriend's family do not celebrate any festivals (not Christmas, not CNY) and they are passionate atheists. I am pretty indifferent about my family's traditions but I don't know if I'm willing to get into a fight with my parents over what will come across as blatant disrespect. I also feel uneasy that my boyfriend does not believe in helping out with my duties to my family. One reason I want to marry is the fact that there are many challenges in life that are just easier to take on with help, most of these challenges involve my responsibilities to my family. I have a brother who is unfortunately autistic, and another brother who has a juvenile record and recently got a baby but refuses to work. He had this baby with a girl out of wedlock and now all of them are living in my parents' three-bedroom apartment. Most of the money I earn helps pay for all the problems that keep happening in my family. I don't like that I can't catch a break either. But it doesn't feel right to renegade on my family even when they are clearly suffocating.
I was fortunate enough to have had financial aid through the very elite schools that I grew up in. My friends are all from upper middle class families and I have spoken to them. Apparently they were quite uniform in their inability to support me on this issue because they also believe that it would be difficult for them to want to marry someone if they didn't first have assurances that their lives wouldn't be made more difficult post-marriage. In other words, most of them took the side of my boyfriend.
Am I the weird one to be expecting my future husband to share my burdens, however heavy they are? If I go through with this, I'm afraid of how ugly things can get with my boyfriend's family being of a completely different culture to mine. But if I do not, I don't know there is a guy out there that exists that I get along with while still being willing to support me.
-
#106870: https://www.nuswhispers.com/confession/106870",,579981367489680,68,131,38,2023-03-07 11:31:25+08:00,2023-03-15 12:00:20+08:00
