no,cid,text,image,pid,likes,comments,shares,post_time,scraped_at
60303,106522,"In the non tech, non finance sector, Grad about eight years ago. Finally hit 200k as annual compensation last year. Although each mth iras tax me close to 2k, I finally achieved my 15 years dream of being able to afford fish for economy rice /cai png.
I recall in JC. I could only afford the 90cents white rice with a single fried egg and some cabbage for lunch.
So those of you that have to save and scrimp on food , your day of luxury food (fish for mixed rice) will come eventually. With a nus education and hardwork everything is possible.
-
#106522: https://www.nuswhispers.com/confession/106522",,8576649585738760,267,65,25,2023-01-20 21:39:06+08:00,2023-02-03 12:00:25+08:00
60291,106474,"I built a dashboard for analyzing NUSWhispers facebook posts at https://NUSWhispers.fyi
I used to read NUSWhispers when I was in NUS. I recall during my first year in NUS, the posts were numbered less than 10k and I'm impressed by how much it has grown up to today. It's fascinating that a student project can get so much attention. So as a curious computing kid, I started building this dashboard. The data and code is open source. I worked on it intermittently for 2 years only when I felt like it. Along the way, I got to learn some React and python data tools. Why do I do this? I honestly don't know haha, just felt like completing it as my side project. I did set buying a road bike as a goal to motivate myself to complete this project. Now I can finally buy that bike!
Admins, if you're reading this, I know this is not your usual confessions kinda post, but just felt right sharing it on the very platform this project is made for. I understand if you decide not to post it on facebook. Feel free to also check it out :D
-
#106474: https://www.nuswhispers.com/confession/106474",,8554801231256929,237,16,29,2023-01-16 15:39:55+08:00,2023-01-30 12:00:27+08:00
60296,106497,"I was just 17 years old when my life fell apart. It all started with my first boyfriend. He was my age, and we had been dating for a few months. I thought he was the one, but I was wrong. He got me pregnant twice and I had to get abortions both times. It was a difficult and painful experience, but I thought it was all worth it for love.
My second boyfriend was 9 years older than me. I thought he would be more mature and responsible, but he ended up being just as bad as my first boyfriend. He was controlling and manipulative, and I couldn't get away from him fast enough.
My third boyfriend was only 5 years older than me, but he was the worst of them all. He played me like a fool and left me feeling used and worthless.
I was so focused on my relationships that I neglected everything else in my life. I used to vape and smoke a lot, and it affected my studies. I did very badly for my O levels, only getting 39 points. It was a far cry from the 213 points I got for my PSLE. I was in Secondary 5 when I took my O levels, and everything went downhill from there.
I was a Chinese girl and I thought I was fairly good-looking, but it didn't seem to matter. I thought that love would be the answer to everything, but it only brought me pain and misery. I couldn't help but feel like my life was ruined. I felt like I had nothing left to live for.
I used to be such a hopeful and optimistic person, but after all that had happened to me, I couldn't see the point in anything anymore. I felt like I was just a shell of my former self, and I didn't know how to move on.
I couldn't help but blame myself for everything that had happened. I thought maybe if I had made different choices, things would have turned out differently. But it was too late for that now. I was stuck in a cycle of regret and self-loathing, and I didn't know how to break free from it.
I wish I had known then what I know now. I wish I had realized that love isn't always enough, and that you have to take care of yourself first and foremost. But it's too late for me now, and I'm left to pick up the pieces of my shattered life.
-
#106497: https://www.nuswhispers.com/confession/106497",,8561045643965821,157,184,40,2023-01-17 21:25:35+08:00,2023-02-03 12:00:18+08:00
60289,106483,"Cny is coming and honestly although it’s supposed to be a festival where families gather together it’s very dreadful for me.
As compared to my older brother who is more cheerful, smart, popular and handsome. I am the exact opposite (quiet and awkward). So I grew up with my aunties comparing both my brother and I , with many criticisms directed at me.. not as handsome, not as smart, why so short. As my patents always told me that it’s important to maintain harmony I always put up with all these criticisms.
Last year before cny bro and I both got attached and his gf is a model so she’s really good looking in society standard. My gf on the other hand is more of the normal looking in society standards (ofc to me in my heart she’s the best and prettiest). As we just started dating last year I did not bring her back for cny.. (she felt that it was too soon), my bro on the other hand brought his gf back and got many praises .. Woww gf pretty, rich etc
This year I plan to bring my gf back but overheard one of my relative telling my mother : “eh this year your small son bringing gf back.. how is she like? Prettier than bigger son gf? I want to compare leh..”
As I grew up being compared to my elder bro, I know the feeling of being compared .. it’s really very hurtful and I do not want my gf to be subjected to that treatment . I know my gf will be very hurt as well .. As such I’m wondering in order to protect her should I just not bring her to cny this year as well?
any advice?
I really hate those relatives during cny.. it’s a festival meant for everyone to gather not gossip.
-
#106483: https://www.nuswhispers.com/confession/106483",,8554501474620238,97,103,20,2023-01-16 14:02:41+08:00,2023-01-25 12:00:51+08:00
60293,106486,"My boyfriend of one year has a female bestfriend. They know each other in uni and she's a foreigner. I know they used to sleep around with others when they were both single. Always getting drunk with each other, but insist that they have never slept together before. I can't be sure because I find her rather attractive. He was helping her to move out from the school hall to her new place. That took almost a whole day and he slept over at her new place. That happened a year back when we just got together. I trust that it was purely to help out a friend without family here in SG. His bestfriend got attached recently too to a local guy. Four of us would hang out once in a while, most recently to USS. It all seems normal when we are out. Yesterday he asked if he could invite her to his family reunion dinner this year. Because she is not going home for CNY this year and he doesn't want her to be alone. I am thinking why wouldn't she go to her boyfriend's place instead? I am not sure how to react and how to feel. Do I have reasons to doubt?
-
#106486: https://www.nuswhispers.com/confession/106486",,8560424934027892,82,56,13,2023-01-17 18:42:50+08:00,2023-01-30 12:00:32+08:00
60301,106518,"My mum is emotionally abusive. When I was younger, she used to make sarcastic remarks whenever I look into the mirror. From then on, I never dared to look into the mirror and felt like I was really ugly. I was fascinated when I started noticing that girls actually used or stared at the mirror in the toilet to doll themselves up. I felt ashamed whenever I look at myself in the mirror. Now I just take a quick glance to ensure there's no food stuck in my teeth.
When I showed her care and concern, such as asking what she wanted to eat, she will scream and shout at me outside. I felt so embarrassed.
I kept wondering what have I done. I started avoiding her and moved out. People around me, such as my previously boss, immediately said I should move back home and that I should be filial when I told him I've moved out.
She intentionally picks up fights at home, knocking on my door while I'm still asleep. She starts vacuum the floor when I am in virtual calls, or watches television really loudly when I'm focused on my work.
Wish there was someone to confide in. Inherently I want to be a filial daughter, help support her, take care of her. But the mental and emotional disturbance is too much, hence I moved out. But in places such as Singapore, moving out seems to be a taboo or a big deal.
Married couples shouldn't have children if they didn't plan for one. I feel unwanted. I wish I wasn't born. Please don't have children if you don't have the capacity to show love.
-
#106518: https://www.nuswhispers.com/confession/106518",,8576648225738896,74,27,11,2023-01-20 21:38:48+08:00,2023-02-03 12:00:21+08:00
60290,106484,"Do you have friends that like just suddenly have an exponential growth stage out of nowhere?
This guy I knew in sec school was the definition of stupid and lazy, didn't do homework, didn't do any studying, pulled his own weight in projects but that was it. Ended up not doing so well for O levels for my school's standards, and went to some obscure neighborhood JC. He was one of those people you either loved or hated and basically that was the class verdict on him, half of them liked him and half of us didn't at all.
So like obviously I don't think about him the next few years because I'm also in JC and then army and then Uni, so like I heard about him during army from a couple of my friends and it seemed that he didn't do well enough to make it into local uni. And yeah that was it for a long time.
Then today I meet a junior who tells me that his (my junior's) classmate is in the same... idk lab group? (sry marketing major, don't understand science organization) as this friend of mine. And apparently he graduated (somehow) from NUS with a FCH.
Is that even fair? How did he even get in? You all know how hard it is to get As in uni and this guy can get As reliably? If he was in marketing or arts or something that wasn't obviously so science I'd question it less but this is like... engineering and sciences. He wasn't even good at science and didn't even pass math.
He's not even from a branded JC leh, and you see all these branded JC kids finding it hard to get FCH then this guy casually can't even make it in JC and secondary but all of a sudden FCH. I don't get it lol it's not like he worked hard during uni.
-
#106484: https://www.nuswhispers.com/confession/106484",,8554501971286855,64,204,25,2023-01-16 14:02:52+08:00,2023-01-25 12:00:47+08:00
60287,106473,"Kudos to 106453, screw the selfish parents.
For all the young adults who have similar type of parents. Your parents are adults too and have been adults far longer than us, if they don't contribute their fair share in the relationship emotionally, physically then it's time to cut them out. It's not our responsibility to make sure they can retire
It doesn't makes any sense that I work my ass off 9-5 + OT, contribute the fillial money($1.2k out of $4k), just to go home where my only interaction with my parents is being scolded for not doing enough chores when I have always done my fair share. Even worse is scolded by a fulltime housewife... who do a max 3hours of chores a day then slack off for the rest of the day finishing a TV series every two to three days. I even confronted them about their behavior but they wouldn't listen with the entitled snobbish attitudes. It was too ridiculous for me..so I left immediately when I got married and got my HDB and never paid or contacted them ever again.
So much happier now.
-
#106473: https://www.nuswhispers.com/confession/106473",,8554491714621214,58,46,6,2023-01-16 13:59:36+08:00,2023-01-25 12:00:53+08:00
60305,106524,"I can’t stand my boyfriend’s friends, and while it hasn’t always been like this, it’s becoming increasing uncomfortable knowing that they’re going to be in his life (and inadvertently mine).
we’ve been together for 6 years, coming 7 and for the earlier parts of the rs we got along well, until i realised that they’ve been actively using each other to lie to their gfs and cheat on them. a couple of his attached/married friends even made advanced on me which I’ve rejected and told him. I thought he would stand up for me but he hasn’t.
As much as I want to believe that my bf isn’t like them (birds of the same feather flock together), I can’t because he’s already cheated on me several times and while I’ve chosen to forgive him, I’ve asked that he distance himself from them and that we discuss meeting them together when we’re in a better place rs wise but I think he’s been meeting them behind my back and lying about it and I don’t know what to think of it.
-
#106524: https://www.nuswhispers.com/confession/106524",,8576650639071988,50,103,14,2023-01-20 21:39:22+08:00,2023-02-03 12:00:29+08:00
60295,106492,"Just want to say, my parents also treat me like shit. But I tahan now cos i already have plans to take REALLL good care of them, make sure their health is tiptop condition, feed them only the blandest and healthiest stuff, make them 长命百岁 but 生不如死 in their final years. Muahahahaha
-
#106492: https://www.nuswhispers.com/confession/106492",,8561042600632792,46,58,6,2023-01-17 21:24:51+08:00,2023-01-31 12:00:22+08:00
