no,cid,text,image,pid,likes,comments,shares,post_time,scraped_at
58626,103214,"I dated a poor guy. We were both from NUS, graduated so in love and very much I n debt. Blame that on the student loans we had to take. Our dates were mostly hunting for cheap and good hawker food, cooking at home, going shopping in neighbourhood markets, streaming movies online and cuddling. We didn't celebrate anniversaries, partly because he couldn't afford and always refused to have me pay for everything, but mostly as we didn't bother to remember the dates. For everyday we were together in the past years was special and I would not trade my days with him for any gold or diamonds. I love my poor boyfriend, except now that he has becomed my debt-free/start-up owner/decent income earner/still extremely hot fiancée. We still don't celebrate anniversaries, and we still go hunting for cheap deals. He still opens the door for me, pulls out chairs and tells me he loves me everyday. We just bought our first home together in a pretty condo (missed the HDB income ceiling by a few thousands) and are expecting our first baby in a few months time. Girls, believe in your men. They might struggle at times but if you love them unconditionally, they would do anything to give you the happy endings you deserve
-
#103214: https://www.nuswhispers.com/confession/103214",,7294728450597553,1258,88,231,2022-04-29 00:42:57+00:00,2022-08-05 08:32:36+00:00
57726,101466,"My boyfriend and I were holding hands while strolling around fortcanning today. He isn't the most comfortable with holding hands in public because society can still be homophobic at times, but I really appreciate that he still does it anyway when he feels like it.
Anyway we were walking up a flight of stairs and a lady and her 4/5 year old child walking down. My first instinct was 'should I let go of his hand' because some parents think their child can catch the gay by seeing two guys hold hands or whatever. But to our surprised she actually smiled and gave us a thumbs up. My boyfriend was so touched afterwards and it really brightened our day. So shout out to that lady I hope you're reading this and hope your son grows up to be amazing like you.
-
#101466: https://www.nuswhispers.com/confession/101466",,6825602324176837,1032,20,44,2022-01-23 23:58:45+00:00,2022-05-23 10:00:18+00:00
58998,103920,"A father said to his daughter, ""You just graduated, this is a car I bought a while ago... It is a few years old. But before I give it, take it to a car dealer in the city and sell it , see how much they offer.”
The girl came back to her father and said: ""They offered 1000 euros because it looks very old""
The father said: Hold it and take it to the 2nd hand car dealer.
The girl returns to her father and says: ""The pawn shop offered 100 euros because it is a very old car and lots of investments are needed to drive it again""
The father asked his daughter to join a passionate car club with experts and show them the car.
The girl drove the car to the passionate car club, turned and said to her father: “Some people in the club offered me 100,000 euros because it is a rare car that is in good condition, with great capabilities and super difficult to find.”
Then the father said, ""I wanted to let you know that you are not worth anything if you are not in the right place.""
If you are not appreciated, do not be angry, that means you are in the wrong place. ""Don't stay in a place where no one sees your value.
-
#103920: https://www.nuswhispers.com/confession/103920",,7497612990309097,830,39,160,2022-06-10 01:37:20+00:00,2022-10-22 09:54:41+00:00
58965,103843,"To OP #103823 I was like you 25 years ago and truly understand what is like living paycheck to paycheck.
I gave up my poly study at year 2 and work as a teller cos I couldn’t bear my younger brothers being affected my my family situation and they couldn’t concentrate on their studies. So I chose to work to support my parents and siblings.
No one will understand how it is like when your friends need not bat an eyelid on Starbucks but you have to refund EZ-Link card to use the money to buy dinner for the family cos your payday is on the next day and will credit in midnight.
My husband (back then still boyfriend) never once say anything or complain. But he was equally poor???? staying in an one-room rented flat. We saved every single cent, dates were usually at hawkers or foodcourt. We held our wedding dinner at a Chinese restaurant and even ‘earn’ back our dinner cost with money for overseas honeymoon.
Now with 2 kids and staying comfortably in a 4-room HDB flat, combined income still below $10k, we never once feel ‘inferior’ as compared to our peers. We are ‘debt free’ as our cpf have surplus to cover the housing loan monthly. We have no car, no condo, restaurant meals seldom exceeded $80 for fam of 4 but we are contented.
Our nights are spent chasing dramas on the bed, no drinking at pubs, no cafe hopping as all these are $$$$ and $$$. Kids during their free time, play bubble guns at the corridor, Nintendo switch and mobile games. All these activities really no need much money but still keep us occupied.
Guess god ‘compensate’ my hard life by giving me a good husband albeit we are defined as ‘poor’ in today’s context. So the question you really have to ask yourself is whether u love your boyfriend and if he is the right person who you can depend on for the next 30 years. Some may have the rich boyfriend/hubby but still unhappiness over 3rd party or debt issues.
Life is short, don’t think so much if he is really good.
-
#103843: https://www.nuswhispers.com/confession/103843",,7482815848455478,823,34,123,2022-06-06 23:23:27+00:00,2022-10-22 09:54:38+00:00
59036,104015,"This is my mid-career switch experience from teaching to software engineering. If you are thinking of doing the same, I hope my post would help you in some ways. Long story ahead.
I graduated from NIE with a bachelor in arts degree and was bonded to MOE for four years. During my four years of teaching, I gave my all and was performing above average. However, I always knew I wanted to try something else besides teaching. At that time, I didn't know what the alternative was but I just couldn't see myself in teaching for the rest of my life. Towards the end of my four years bond, I wrote my resume and applied to various job adverts on LinkedIn. I was lucky as one of the companies replied me. While I didn't have the necessary skills they needed, I promoted myself as someone willing to learn and keened to work for the company. I was prepared to take a pay cut as I knew I was starting from scratch again. I settled for a 40% pay cut for this new job.
Unfortunately, things didn't work out well for me as I found the job to be rather mundane. I knew I wouldn't get anywhere with the skills from this job and decided to cut loss by ending my employment with the company at the end of my probation period.
The good thing that came out of this was I realized I wanted to work in an environment where there would be minimal face-to-face interaction and it should be stimulating enough for me. During that period, SkillsFuture was encouraging people to join the IT industry and they were promoting this professional conversion programme for mid-career switchers to train them in IT programming. I decided to go for it. At the same time, I made use of my $500 skillsfuture credit to purchase programming courses on Udemy and continued with my learning at home.
To be honest, the courses provided by the training institute were insufficient. I was expected to learn OOP, MVC programming in 5 days, which was just impossible for someone like me without any programming background. But I was determined to figure it out. So when I was not in class, I would be following my Udemy instructor and learning on my own. The entire conversion programme took around 6 months. I updated my resume with a few mini projects I did and began my job search process. In total, I applied to close to 100 job applications and only heard back from 4 of them. I still remember the agony I went through to this day. You must understand teachers have it easy when it comes to getting a job. Our jobs were handed to us even before we graduated. We didn't have to go through this excruciating job searching process and I was jobless for more than half a year. All the self-doubt, anxiousness and negative thoughts were just eating me up every night. While waiting to hear back from the companies, I practised my interviewing skills, did leetcode, continued with my Udemy courses and prayed. I also gave part-time tuition during this period to help with my daily expenses.
After being unemployed for more than 7 months, my breakthrough came. My friend referred me to their company's HR internally. I was given an opportunity to do an online technical test which I passed and was subsequently interviewed by the project manager and MD. What helped was the mini projects I did and knowing the basics of OOP. They extended an offer to me and this ended my 8 months drought. I was drawing a fresh grad pay. It was 20% higher than my last drawn pay. While it was still lower than what I was last drawing in teaching, the opportunity to work and learn in this industry was more important than the salary. I knew I had to be humble and learn from my colleagues who were all younger than me.
The learning curve was steep but I enjoyed every part of it. I'm coming to 3 years in this industry and in these 3 years, I attained two cloud solutions architect associate certifications and was promoted to a senior position. I burnt many nights and weekends away studying and upskilling myself in new technologies.
Looking back, leaving teaching was a leap of faith. With a degree in arts and four years of work experience only in teaching, it was really difficult to find something comparable in the commercial sector. To those who are thinking of leaving teaching or even joining the IT industry, I would advise that you try out those programming courses on Udemy first during after office hours and weekends. It'll minimally take you 3 months to figure out what you are doing. But you must persevere. Rewatch the videos until you get it. Figure out if this is for you. Most of the udemy courses will teach you by building projects. Make changes to those projects and customize them so that you can show them in your resume. If you plan to go for the diplomas or certifications provided by higher-level institutes, make sure you have enough savings to do so. Even if you don't plan to, you should also make sure you have enough savings for your expenses in case you need to settle for a pay cut. Those in teaching, at least leave after you've collected your 4 years connect plan.
I got headhunted by another company during this recent tech hiring spree with a happy increment. I'm now drawing a salary higher than what I would be getting if I were to stay in teaching. Most importantly, I'm doing something I can see myself doing till my retirement. Was it scary? You bet. But I grew so much in these three years when I chose to leave my comfort zone and I'm glad I made that decision 4 years ago. Oh, and not to forget the benefits of working from home.
To those who choose to stay in teaching, I have nothing but admiration for all of you. The working hours are tough and there is no such thing as work-life balance. You are a teacher to your students 24/7. Thank you! To those who need a way out, maybe this could be an option for you to consider. All the best!
-
#104015: https://www.nuswhispers.com/confession/104015",,7515351331868596,803,48,102,2022-06-13 23:12:31+00:00,2022-10-22 09:54:45+00:00
58807,103530,"tl;dr: I cheated with my female colleague and I feel very bad about it. What made it worse was that my wife witnessed the cheating…
I'm happily married with a wonderful wife with two kids. I work in marketing in an FMCG company and I'm constantly surrounded by younger female colleagues. Ngl, many of them are very attractive but I'm a faithful man who thinks with his bigger head.
However my life recently turned upside down. There's this female colleague who recently joined, let's call her G. G is in her late twenties and has a face and figure many women would die for and many men would go for. I was so surprised to find out that she was single (she gave me that information without me asking). G would constantly ask me for advice dealing with work matters and invite me to go lunch together with her batch. Sometimes we go for lunches and it's just the two of us. G would constantly ask me what I was doing over the weekend and tell me what her plans were. She was actively using dating apps but none of the guys were up to her standards. She would often flirt with me (I think?) Like when we are alone she would playfully brush my arms and sometimes bump into me (too often for it to be by accident). She’d also tell me about her experiences with her dates and how they're not good, and I'm so much better. I always felt a weird sensation whenever I hear that from her. It’s a nice feeling to be validated, but I’m married and it feels wrong.
One fateful day, as my wife had to use the car that day, she came to my office to pick me up. As I was walking away from the office with my wife, G somehow appeared out of nowhere and said hi to us and was extremely friendly towards my wife. G and my wife started chatting as if they were besties and they somehow ended up organizing a games night at my place that weekend. G said she’d bring her date over.
Fast forward to that day, G came with her date. Not sure why but I felt a tinge of jealousy seeing him. We decided to play some card games and I ended up partnering with G. This is when things went down. G was secretly texting me the cards she had in her hand and signaled me to read my phone. I got the hint and was trying to discreetly look at my phone. However, my wife caught me doing that and snatched my phone away and she saw the message from G. She acted like it was ok but after G and date left, she was so furious that I cheated with G during the games and my wife refuses to talk to me now.
How can I appease my wife?
-
#103530: https://www.nuswhispers.com/confession/103530",,7383007208436343,790,447,1104,2022-05-17 23:51:55+00:00,2022-10-17 21:23:37+00:00
58625,103217,"I am a freshmen in NUS. My father works as a roadside cleaner while my mother cleans houses. I have never been ashamed to tell my friends what my parents do for a living for it is after all an honest living regardless of the job scope. In fact, I am grateful for my parents for despite their low incomes they have never failed to provide for both my sisters and I. At first glance, you would never assume that I came from a low-income family because I carry an iPhone and dress decently from labels like H&M and Zara. Yes it is difficult, having to take on part-time jobs (currently taking on 2 part-time jobs) all my life but I do not complain for my parents are my motivation to continue to push through the demands of both school and work. Being in NUS means the world for me as it brings me one step closer to earning a stable income and ridding my family from poverty. I guess through this post, I hope to inspire others out there who are having a hard time now. Find your motivation. Find that light at the end of the tunnel, the rainbow after a storm and before you know it, giving up would never be an option. Nobody said that this was easy but it definitely helps to have a support system so strong you never feel alone.
-
#103217: https://www.nuswhispers.com/confession/103217",,7294721653931566,720,32,34,2022-04-29 00:40:27+00:00,2022-08-05 08:32:37+00:00
59022,103976,"Recently, i went on a date w this guy from a dating app.
We decided to have a small picnic at the beach, he told me not to bring anything except for myself as he will settle the food and i thought, ""aw how sweet"". and you know i was expecting picnics food like sandwiches, snacks, drinks? i was also expecting a cute picnic first date but i got a shock when he appeared, he brought only 4 full boxes of durians and 2 bottles of water.
We managed to finish the durians, (the durians were so good)
And I'm no longer single.
I guess you could say, I'm a durian lover.
What an interesting first date i ever had in my entire life.
-
#103976: https://www.nuswhispers.com/confession/103976",,7511068165630246,688,128,249,2022-06-13 00:02:53+00:00,2022-10-22 09:54:44+00:00
59017,103962,"To #103947
I'm a stay home mum in my mid 30s, my husband's income is about $12k, which I consider substantial. Being pragmatic and frugal by nature allows us to sustain this single income lifestyle where I can stay home w the kid. We don't need alot of things to be happy and so don't see a need to chase material things that add to stress.
We currently stay in a 3rm HDB and are moving to 5rm since baby #2 is coming in Oct, so we need more bedrooms.
At the start of our house hunting journey, I honestly felt like you too! Because our income was not low, we didn't qualify for subsidy.
We're also not well off enough to afford private housing comfortably without stressing about monthly instalments. Private housing is out of the qn for us in the foreseeable years because I don't want to put extra stress on my husband and we also see no need to stay private. I think it's the inside of the house that matters, not the outside, since we spend most of the time at home, not in the function room or swimming pool.
When choosing our new 5rm resale flat, our key considerations were location, to be close to extended family. But that meant we had to continue to stay in mature estate where HDB prices are crazy. 5rm or EA flats around the area is at least $700-$800k onwards..
Both of us didn't want to pay this much for a 99yr lease. As we are also skeptical how much we'll be able to sell it for in future.
So to combat this, we looked at older units and low floor. It helped that my husband prefers low floor, and I liked that older units are bigger.
After more than 15 viewings, and months scrolling on propertyguru, we finally found a flat from 1970s, 5rm, mature estate, low floor, at less than $600k, with a greenery view at the balcony.
I think it's entirely possible to find something comfortable within your budget so that u don't have to postpone plans just to save up for that ideal property at sky high prices.. You just have to go for many many viewings, so that u can find something that's acceptable to both of u.
If you would like advice, don't let housing or lack of push back your marriage plans. My big regret is not having kids earlier. I had my first baby at 33. Second one is coming in a few months at 35. I feel tired and old already.. But we still want to try for baby #3, as my husband and I are both only children so we know it gets lonely.
My husband and I got married in our late 20s. At that time he was still studying, but we didn't want to wait for BTO and too broke to buy resale. So we rented a 1 bedroom condo at $1.5k per month, which was very affordable. But that was the rental market years ago, i don't know what it is like now. Maybe u can consider renting a cheap / affordable place in the meantime to start settling down.. After 1yr rental, my husband graduated and we bought our first 3rm resale flat and have stayed here till now.
We also didn't have a lavish wedding/ proposal / diamond ring. We don't see the need for all these. So it also helped to save money and put it into longer term things..
However, I do have to agree with u about renovation costs! Now that I'm embarking on the reno journey myself, prices are crazy.
Because our new flat is so old, we really can't keep anything. It needs a complete redo of floor tiles, electrical, lighting, toilets, kitchen.. Really everything. We're not even looking at elaborate carpentry or anything very fancy, our 3 quotes have come back ranging from $75k- $120k. And this is just renovation cost, not including appliances, aircon and furniture!
I find this really unbelievable. I'm still persevering to find more reasonable quotes. I will not spend $100k on reno, it's crazy. I think $60k is probably our max, but we haven't found that yet, still working on it...
Good luck to you on your house hunting. Don't give up on HDB, not everything is $1mil.. $1mil is usually for penthouse unit but do you really need that to be happy? Take time to find, you'll surely find something you both like.
Also, your first house likely won't be your last. So don't need to go all the way to $1mil immediately. Because it's the first time you will be staying on your own, there's alot of things you will need to experience to know if you will actually like it.. So no need to max out on your first home yet.
Like for us, we were so noob choosing our first hdb, we only went to view in the night after work. So we didn't know it was so dark. It doesn't have natural light coming in as it is blocked by opposite block and is a corridor unit so I even have to turn on lights in the day!
But we'll chalk it down to first timer mistake. So for all our subsequent houses, we know clearly what we want / can live with and what we absolutely cannot and we're able to make better decisions..
One last thought, maybe don't go private la, i imagine it must be very stressful to carry such a big loan on your shoulders at this early stage, esp if u say both of you have not much savings yet . But that's just me.
-
#103962: https://www.nuswhispers.com/confession/103962",,7506386172765112,604,62,66,2022-06-11 22:55:16+00:00,2022-10-22 09:54:43+00:00
58900,103714,"I fell for a Siam bu.
Before u guys judge me, please hear me out. I often frequent Thai disco / Siam Diu as a means to de-stress. I find that the loud music and spinning lights help take the stress away from my work.
Like any other visit, I sat at my usual spot when a petite silhouette from afar caught my attention. Her round eyes, sharp nose, and elongated legs is what many would consider ""attractive"". Not to mention that her long and silky hair that is constantly brushing against her shoulder line; any man would subconsciously gravitate toward her and I was no exception.
I could not help but to glance in her direction without making it too obvious. I got caught eventually and we exchanged eye contact for a good 10 seconds. She understood the assignment and came over for a chat. As we began sharing more about each other, I realized that we have many things in common. We immediately clicked as though we had known each other right from the beginning. She introduced herself as ""Moon.""
At that moment, I felt as though I had found my soulmate. Talking to Moon made me forget about my fatigue from work. It was as though time had stopped. Deep down, I was sincerely hoping that the conversation could last forever. Time flew quickly, and before I knew it, the place was closing for the night. We exchanged contact and parted ways.
The next day, my phone rang. On answering, I was greeted by a familiar voice. It was Moon. My face lit up knowing that I could connect with her again. We agreed to meet up at a Thai restaurant called NaNa at Golden mille.
NaNa restaurant is a famous Thai restaurant in SG. Moon claimed to be a frequent patron of the place as their food tasted close to home. She even use the opportunity to teach me the name of the dishes in Thai. Halfway through our meal, she was rudely interrupted by a phone call which led her to leaving the restaurant. She claimed that she had something urgent to attend to, and needed to excuse herself. She sounded anxious.
Feeling concerned, I quickly paid the tab and followed her. I was soon led to one of the floor exits where I found her seated on the stairs and sobbing uncontrollably. I approached her to check on her. My presence caught her off guard and, almost immediately, she apologized for leaving me alone in the restaurant. She then went on to explain what happened. Turns out, her mom was terminally ill, and needed money for her operation. Sympathizing with her plight, I agreed to help her out without much hesitation.
As I was about to get up and make the withdrawal. She grabbed my hand and pulled me towards her. She gave me a peck on my cheek to express her gratitude. Things got heated up and we made love in a public space. Despite the shabby location, the sex was good and memorable. The day ended on a good note with her settling her family matters with my financial support.
That incident pulled us closer as we started hanging out more. Despite numerous warnings from my friends and family about her intention, I chose to believe her as I felt that the society perception towards hostress is based on stereotypes. Things, however, did get dubious when she started asking for more money...
P.S I realized the story is getting too lengthy and I apologized. I'll split the story and post the part two if the post hits 200 likes
-
#103714: https://www.nuswhispers.com/confession/103714",,7449352511801812,581,431,254,2022-05-30 23:43:22+00:00,2022-10-18 02:28:17+00:00
