no,cid,text,image,pid,likes,comments,shares,post_time,scraped_at
44460,71670,"Today, I felt my heart properly break for the first time. The course I’m studying has quite a heavy workload so I haven’t been going home for the past three weeks. My father came to visit me today. He is rarely ever free and today is one of those days that he could make time.
My father is close to 70 years old and he is still not retired. He works as a cleaner at a country club during the day and holds another cleaning job at the community centre near my house at night. For some reason, he had half a day off today and he said he wanted to tour my hall. He came over and after showing him my room, we decided to get dinner at the Kopitiam at Kent Ridge MRT.
I know my father doesn’t have money so I offered to pay for his dinner. Guess what? The silly man ordered the cheapest thing he could find - fishball noodles. There was a lady (very well dressed, looks to be at least middle-class) infront of us in the queue and she left her chilli on the counter then walked away somewhere. My father didn’t see it and thought that that was an extra sauce so he just took it and put in on our tray. When the lady returned, she said very sarcastically that someone took her chilli while glancing up and down at my father. He immediately apologised and explained to her that we were not aware and that she could have her chilli back but she replied “你动过的我才不要。肮脏死”, which loosely translates into “I don’t want what you’ve touched. You’re dirty to death”.
This was when I realised that my father was still in his uniform. I almost screamed at this lady seeing as she was clearly younger than my father and was being rude. However, my father held me back and simply apologised again. He said that he’s used to it and it suddenly hit me that this is what he does all on a day to day basis. He apologises and lets people walk over him. He is invisible. I always knew my dad worked hard and is always at the mercy of others but seeing it with my own two eyes was an entirely different experience. I couldn’t even hold back my emotions and start tearing uncontrollably while we were eating. I had to lie that I was tearing because I got chilli in my eye but the truth is I was heartbroken by how my dad has to swallow his pride all the time.
I can’t wait for the day when I can tell him to stop working and stop apologising for everything. All my dad ever did was love and dote on me but everyone else has just been so awful to him. Dear rich people, what did we ever do wrong to you?
-
#71670: https://www.nuswhispers.com/confession/71670",,3084049174998856,5243,818,6195,2019-10-25 15:51:42+08:00,2021-04-24 17:27:07+08:00
51354,86471,"Admins please don't filter this. My best friend's gf broke our friendship. I'm so upset. They've been together for 5 years, so what? I've known my best friend since last year, but I've always believed in 'bros before hoes' (ok I'm a girl but I believe in this case bros means friends).
Actually, the first time I saw my bestie, I fell in love with him. He's handsome and kind to everyone, so I tried getting closer to him in hopes that we can get together. But then after awhile I realised he had a gf so I thought ok, I just have to show him that I'm better than her then he will come to my side. I'm prettier than her, and we are both in nus while she's in some unknown uni. Thankfully he treated me as a close friend so he shared a lot about his gf to me and even the details of their dates, so I knew how to compete.
Then at the start of this year, HE TOLD ME HER BIRTHDAY IS ON THE SAME DAY AS ME SO HE CANT SPEND TIME WITH ME ON THAT DAY! They were gonna go to the zoo for the entire day. (This was before CB) i tried asking if I could tag along but he said no. Come on la. Gf only what, his best friend has the same bday as her doesn't mean he can neglect the best friend right. So I stopped texting him and gave him the cold shoulder. It worked and he told me ""let's have dinner together on your birthday instead?"". Ofc I said yes. He suggested amk hub food court. What the? But ok la, I said I wanted teppanyaki and he said sure. Finally I can feel like his gf for once.
The day came, and I realised his 'together' meant him, me and HIS GF. They got me a gift and said they shared price for it. Can't the gf find a gift to give me on her own? So low effort, share price. At the teppanyaki place I tried sitting between him and her but she moved to his other side. Cannot be apart for just awhile? I told him he should pay for dinner since it's our bday and he should treat us, but the gf offered to pay half of the total. A little sick of her efforts to please him at this point.
Then after dinner I asked if he wanted to walk me home, he said no because he and gf actually booked movie tickets and it was starting soon. So I asked him to buy me another ticket so I can join in but the gf interrupted and told me no very rudely. When she went toilet, he apologised to me and said they booked the couple seats last week so it's a little impossible to join. Who ask them book couple seats? They had one week to ask me and they didn't. I just left immediately. He tried to call me that night but I blocked him on every online platform.
After two days I unblocked him and sent him a long text about how his gf is too needy and he needs to spend more time with me, but the message was left on single tick. The next day I bumped into him in school and tried to say hi but he just walked off. Until now he isn't talking to me. 6 months already. I sent him a lot of texts but it's all one tick. I even tried texting his gf but same thing. I went to his house a few times but saw the gf shoes there so I left.
Is he overreacting? Am I overreacting? Is this friendship even worth it anymore?
-
#86471: https://www.nuswhispers.com/confession/86471",,3853856078018158,239,1774,4061,2020-06-10 11:33:22+08:00,2021-04-24 19:15:07+08:00
50703,85226,"Sorry I just need to rant.. Recently my boyfriend bought me a Louis Vuitton wallet which costs around $700 for my birthday. When I saw the wallet, I felt really upset and disappointed. Because earlier this year, my sister's bf got her a Chanel wallet which costs at least $1000 for her birthday. Chanel is so much nicer than LV. Let's be honest, LV is for poor people who want to look rich. And during this CB, her bf always order food from more popular restaurants like Crystal Jade and Paradise Dynasty for her. But my bf only orders food from cheap restaurants like Swensen's and Ichiban for me. Her bf even gives her $1000 a month for her own spending. But my bf only gives me $500 a month. I hate to admit but I really feel very jealous of my sister because her bf is willing to spend money on her despite earning just $4k a month. My bf earns at least $5k and yet he is so stingy with me. Sometimes I really feel like a loser.. why my sister can find such a good bf but I just cannot. Just because she is taller and slimmer, she can find a good bf.. it's so unfair. Sorry for the long rant.
-
#85226: https://www.nuswhispers.com/confession/85226",,3794696587267441,203,2626,3957,2020-05-26 17:54:54+08:00,2021-04-24 19:15:10+08:00
16613,24511,"Guy A
-Year 4 graduating Law student
-Drives a BMW
-Has direct ownership of his own apartment
-Well versed in all sorts of subject and knowledgeable
-Very generous( Brought me to a fine dining restaurant)
Guy B
-First year in NS
-Enrolling into Mechanical engineering after ord
-Always talk about boring and meaningless army stuffs
-Would only bring me to swensen's or ajisen on anniversaries
Guy A is a close male friend of mine in uni while Guy B is my current BF.
I used to think that my relationship is very stable before entering uni, however Guy A appeared in my life and made me reconsidered my original thoughts. Lately, I found out that I really love to engage in intelligent conversation with A, talking about all kinds of life issues and travelling experiences etc. On the other hand, my BF will only talk to me about boring and meaningless army stuffs that spark zero interest in me. He simply couldn't understand that I already had enough academic troubles on my plate. Worse of all, he cannot be there when I had emotional break downs . I'm glad Guy B was there to hug me to sleep when I needed emotional support the most. Although I'm a fan of swensen's and ajisen, that doesn't mean that I won't get sick of it. When I suggest to visit atas places for our anniversaries, my BF would always brush this topic aside by saying that we should save up for BTO, money is hard to earn blah blah blah...(Excuses). Sometimes I would rather stay at home then go out with him, there was once I cancelled a date on him and went to wave house with A. Compared to my BF, A is able to surprise me on every single outing.
Truth to be told, A did hinted to me that he had feelings for me but I don't want to promise him anything yet. As of now, I haven't cheated on my BF yet, I giving him one more year to change for the better.
-
#24511: https://nuswhispers.com/confession/24511",,1140862149317578,715,2137,3583,2016-09-04 15:41:06+08:00,2021-04-24 16:56:56+08:00
52365,88747,"One day i found an absolutely perfect guy, flawless and handsome on tinder and hence we went on a date at genki sushi. We ordered our food and waited for the sushi to come, daintily chatting and finding out more about each other. When the “sushi train” arrived, we collected the sushi and i pressed the button, sending the train back. Afterwards, he abruptly stood up and left me alone at the place. I was completely flabbergasted and confused, asking him for the reason for his sudden departure on the day. He replied “ you did not say bye bye to the sushi train “
Can i have any advice on how to improve my dating skills? I honestly have no idea what i did wrong
-
#88747: https://www.nuswhispers.com/confession/88747",,3999754460094985,275,646,2432,2020-07-13 11:12:46+08:00,2021-04-24 19:15:22+08:00
59713,105286,"Hi all, just wanted to let something off my chest. So… I have 4 siblings which are all brothers.( I am a guy btw) The 5 of us are very close since young and we always share things like usage of car, clothes etc.
We are all working adults now and 4 of my brothers can’t find their right one (they are middle age men now). I felt bad for them and asked my wife if she is willing to have sex with my brothers and have a child with each of them to boost their self esteem.
In which, she agreed. (With conditions like 100k for each child birth ) She then had sex with my oldest brother about 5 years ago. Which I have regretted this decision and really defeated every inch of my soul. I cried very badly outside their room that night. Since then she had sex with my 3 other brothers occasionally. I act like I am okay in front of them. But in fact it was killing me inside, each time they had sex.
Today, we each have one child. When I look at my brother’s child, I felt sadness and emptiness in my heart. I start to question myself “what if this child does better than my child”, “what if my wife likes this child better than our child, which cause an impact on our relationship”.
I start to think a lot since the start of the sex with my brothers, which really impacted my mental health a lot as I did not mention to them about my feelings as I do not wish to ruin our relationship, both brother and wife.
I started to have depression and have sucidal thoughts after one month my wife had sex with my oldest brother. Even though this is transactional, but I still felt really bad and felt that my self worth is worse than a bag full of dirt.
Today, when we go out as a family, me, my 4brothers, wife and 5 childrens. I felt very insecure and wish to die everyday. I do not know what is the point in living already. Btw the children all acknowledge me as the dad. As registered in the all their birth cert.
All in all, I do not know why I suggest such a stupid idea. And I really f regret it to the core of my soul.
Please advise how to cope with this… I don’t think I can tahan already
-
#105286: https://www.nuswhispers.com/confession/105286",,7937403712996687,221,1220,2020,2022-09-12 19:43:54+08:00,2022-12-13 12:00:07+08:00
42009,66398,"Just ORD from the army last week with a LTA rank. I will be matriculating into NUS in Aug. I want to ask, how much does your former rank play in nus? Like for e.g. if you apply for some things they may ask of your past experiences. If I say that I was an officer in the army, how much of a benefit would I get over my peers?
Also, how is the culture like among peers in daily life depending on your former rank, for guys? For example if you were a men would you get looked down versus if you were an officer would your male friends show more respect to you? For e.g. if I were to apply for a CCA club president role, would people be more likely to vote for me if I say that I have more leadership experience in the army?
If the answer to all the above is “no”, can some fellow former officers who are already students advise what kind of other benefits can we expect to get in the university, including intangible ones, for those of us who were formerly officers?
-
#66398: https://www.nuswhispers.com/confession/66398",,2819740704763039,348,1493,1800,2019-07-22 06:40:03+08:00,2021-04-24 18:22:09+08:00
41748,65932,"Hi everyone, I’m currently serving NS but I’ve been accepted to NUS so i hope it’s okay if i post my experience on toxic masculinity here. (Don’t worry it’s not an army-bashing post)
My parents, like most love me very much. They would always check up on my studies, ask if i need money when going out and gave their 110% to support me when enlisting (i.e calling me at night, picking me up from Pasir Ris, buying me snacks for the week). However, they had a shortcoming which only manifested itself after i POP-ed - Elitism.
I didn’t perform very well for my BMT which meant that i got a posting in a non-combat vocation, specifically a logistics quartermaster. So incase you weren’t aware, there are the 4 perceived “Hero” vocations that are seen as the most elite in the eyes of my parents - Guards, CDO, OCS(Not rly a vocation but status symbol nonetheless , NDU). When my parents were always going on about how I have to go to a “Hero” vocation and were absolutely crestfallen when they had heard about my posting. Connections were called and requests were written to various places (All behind my back).
And when those efforts proved fruitless, it was when i realised how toxic they could be when it came to my masculinity. I was berated for being in a 姑娘 vocation which was meant for “useless” people. They encouraged me to lie during family gatherings to avoid embarrassment. I had stopped receiving emotional support from them (Calls, rides, a simple “how was your day”). On days were i had offs or half days, i would be greeted with a “why are you home so early” rather than a welcome home. They would compare me with my cousins and ask why I was not able to live up to the standards of the family.
One time they said that i would not get any inheritance from them because a “姑娘” does not need money as she is not the breadwinner of the family. That last one really hit close to home as i have never, nor will i ever ask and pry about money let alone family inheritance so for them to think that I was eyeing their money was really heartbreaking to me.
They recently informed me that they won’t be attending my specialist graduation parade which was really what drove me to craft this post. Mum, Dad I love you both and should the time come, I would die for you. Is that not enough to constitute what a “man” should be.
Anyway I’m not here to ask for advice, I’m dealing with it on my own. I just wanted to let future parents know what I’m going through and should you have a son in the near future, I hope you guys won’t adopt the same mindset as my parents. It really hurts.
-
#65932: https://www.nuswhispers.com/confession/65932",,2798800186857091,1087,662,1743,2019-07-14 10:28:56+08:00,2021-04-24 17:26:17+08:00
52430,88911,"My bf and I have a joint savings account. I'm a student while he's been working for two years so he's the only one contributing to the account.
A few months ago, a good friend of mine wanted to buy something expensive so she borrowed $700 from me. My personal savings account has very little money so I used money from the joint account to lend my friend.
My friend told me that she will return me the money by last month but she hasn't done so. I'm not surprised because she has a habit of forgetting to return money e.g. whenever we go out to eat, I would pay for the meal first but she would often forget to return me her portion of the bill. Although she is a mutual friend of me and my bf, my bf dislikes her because of this.
Today, my bf asked me if my friend has returned me the $700. When I told him that she hasn't returned, he asked me to remind her to return the money. I told him that it would be embarrassing to ask her to return the money. Thus, he said he can help me to ask her to return the money.
$700 is not a big amount so I don't understand why he is so determined to get the money back. Granted, that $700 comes from the joint account, which consist of his money. But since it is a joint account, the money inside also belongs to me. That gives me the right to do whatever I want with the joint account. If my friend really forget to return the money then so be it. I would just take it as I bought a $700 gift for my friend. No big deal.
I really hate that my bf is so calculating. Why would he even want to ask her to return the $700? It's not even a lot of money. I really hate guys who are calculating. Should I just dump him?
-
#88911: https://www.nuswhispers.com/confession/88911",,4011822715554826,101,945,1678,2020-07-16 01:17:41+08:00,2021-04-24 19:15:15+08:00
55603,95616,"I am 20 and my bf is 22 and he is currently in NS which means he earns barely enough to support me.
Whenever I request to eat something that is apparently not very comfortable to his wallet (not sure what that means), he will always insist we eat at a nearby foodcourt or hawker?
Firstly, places like that are usually very dirty and hot like why would I even consider dining there? The food's good but he brought me out for a date so I shouldn't even be expecting him to request us to eat there? Like it's a date and I barely get to see him because he only books out on the weekend.
Secondly, I prefer food that looks pretty so I can take Instagram worthy pictures of it and have my bragging rights?
Lastly, I don't want to be seen dressed up in a very cute dress while at a hawker? That doesn't look pretty to me anymore.
Even when eating out at a mall, I was obviously craving for pasta and of course I wanted Hoshino, but he could only offer to dine in at Saizeriya because it was cheaper for him. Wtf? I will never step foot into that restaurant knowing that is where all the poor people go to when they want to eat pasta and try to pretend they are atas, BECAUSE WESTERN IS EXPENSIVE. Eventually we did ended up in Hoshino, but he didn't order his food because mine was already $13 which is double of what is offered at Saizeriya in terms of price. Whatever, at least I got to eat what I wanted :). He then went home and cook Maggie for himself? How broke can anyone be? Don't get a girlfriend if you can't afford it, especially when you're in NS.
I need some advice and or suggestions to open up my bf's wallet like stop being stingy...
-
#95616: https://www.nuswhispers.com/confession/95616",,5103945359675884,129,867,1665,2021-03-07 16:41:54+08:00,2021-04-24 19:16:01+08:00
