post_time,median
2015-04-12,5.0
2015-04-19,4.0
2015-04-26,4.0
2015-05-03,2.0
2015-05-10,4.0
2015-05-17,2.5
2015-05-24,3.0
2015-05-31,4.0
2015-06-07,3.0
2015-06-14,3.0
2015-06-21,3.0
2015-06-28,6.0
2015-07-05,5.0
2015-07-12,5.0
2015-07-19,5.0
2015-07-26,7.0
2015-08-02,7.0
2015-08-09,4.0
2015-08-16,5.0
2015-08-23,4.0
2015-08-30,3.0
2015-09-06,5.0
2015-09-13,6.0
2015-09-20,4.0
2015-09-27,3.0
2015-10-04,3.0
2015-10-11,3.0
2015-10-18,2.0
2015-10-25,2.0
2015-11-01,4.0
2015-11-08,4.0
2015-11-15,4.0
2015-11-22,3.0
2015-11-29,2.0
2015-12-06,3.0
2015-12-13,3.0
2015-12-20,2.0
2015-12-27,3.0
2016-01-03,2.0
2016-01-10,3.0
2016-01-17,3.0
2016-01-24,3.0
2016-01-31,2.0
2016-02-07,2.0
2016-02-14,2.0
2016-02-21,2.0
2016-02-28,2.0
2016-03-06,2.0
2016-03-13,2.0
2016-03-20,2.0
2016-03-27,1.0
2016-04-03,2.0
2016-04-10,2.0
2016-04-17,2.0
2016-04-24,3.0
2016-05-01,3.0
2016-05-08,2.0
2016-05-15,1.5
2016-05-22,2.0
2016-05-29,1.0
2016-06-05,2.0
2016-06-12,2.0
2016-06-19,3.0
2016-06-26,3.0
2016-07-03,1.0
2016-07-10,2.0
2016-07-17,4.0
2016-07-24,4.0
2016-07-31,10.0
2016-08-07,3.0
2016-08-14,3.0
2016-08-21,4.0
2016-08-28,4.0
2016-09-04,2.0
2016-09-11,5.0
2016-09-18,4.0
2016-09-25,3.0
2016-10-02,3.0
2016-10-09,2.5
2016-10-16,2.0
2016-10-23,4.0
2016-10-30,3.0
2016-11-06,3.0
2016-11-13,3.0
2016-11-20,3.0
2016-11-27,3.0
2016-12-04,4.0
2016-12-11,3.0
2016-12-18,2.0
2016-12-25,3.0
2017-01-01,3.0
2017-01-08,3.0
2017-01-15,2.0
2017-01-22,3.0
2017-01-29,4.0
2017-02-05,2.0
2017-02-12,3.0
2017-02-19,2.0
2017-02-26,3.0
2017-03-05,2.0
2017-03-12,2.0
2017-03-19,2.0
2017-03-26,2.0
2017-04-02,2.0
2017-04-09,2.0
2017-04-16,2.0
2017-04-23,2.0
2017-04-30,3.0
2017-05-07,3.0
2017-05-14,2.0
2017-05-21,3.0
2017-05-28,2.0
2017-06-04,3.0
2017-06-11,2.0
2017-06-18,3.0
2017-06-25,3.5
2017-07-02,4.0
2017-07-09,3.0
2017-07-16,3.0
2017-07-23,4.0
2017-07-30,5.0
2017-08-06,4.0
2017-08-13,3.0
2017-08-20,3.0
2017-08-27,3.0
2017-09-03,3.0
2017-09-10,4.0
2017-09-17,3.0
2017-09-24,4.0
2017-10-01,4.0
2017-10-08,3.0
2017-10-15,4.0
2017-10-22,4.0
2017-10-29,3.0
2017-11-05,4.0
2017-11-12,3.0
2017-11-19,2.0
2017-11-26,4.0
2017-12-03,4.0
2017-12-10,3.0
2017-12-17,3.0
2017-12-24,3.0
2017-12-31,2.0
2018-01-07,1.0
2018-01-14,2.0
2018-01-21,2.0
2018-01-28,2.0
2018-02-04,1.0
2018-02-11,3.0
2018-02-18,1.0
2018-02-25,1.0
2018-03-04,1.0
2018-03-11,2.0
2018-03-18,1.0
2018-03-25,1.0
2018-04-01,1.0
2018-04-08,1.0
2018-04-15,1.0
2018-04-22,1.0
2018-04-29,1.0
2018-05-06,2.0
2018-05-13,2.0
2018-05-20,1.0
2018-05-27,2.0
2018-06-03,3.0
2018-06-10,1.0
2018-06-17,2.0
2018-06-24,2.0
2018-07-01,2.0
2018-07-08,1.0
2018-07-15,2.0
2018-07-22,1.0
2018-07-29,1.0
2018-08-05,1.0
2018-08-12,1.0
2018-08-19,2.0
2018-08-26,2.0
2018-09-02,2.0
2018-09-09,2.0
2018-09-16,2.0
2018-09-23,1.0
2018-09-30,2.0
2018-10-07,2.0
2018-10-14,2.0
2018-10-21,2.0
2018-10-28,2.0
2018-11-04,2.0
2018-11-11,2.0
2018-11-18,2.0
2018-11-25,2.0
2018-12-02,3.0
2018-12-09,2.0
2018-12-16,2.0
2018-12-23,2.0
2018-12-30,1.0
2019-01-06,1.0
2019-01-13,1.0
2019-01-20,2.0
2019-01-27,2.0
2019-02-03,3.0
2019-02-10,4.0
2019-02-17,5.0
2019-02-24,4.0
2019-03-03,4.0
2019-03-10,3.0
2019-03-17,2.0
2019-03-24,3.0
2019-03-31,3.0
2019-04-07,3.0
2019-04-14,4.0
2019-04-21,3.0
2019-04-28,8.0
2019-05-05,4.0
2019-05-12,4.0
2019-05-19,5.0
2019-05-26,8.0
2019-06-02,5.0
2019-06-09,3.0
2019-06-16,5.0
2019-06-23,4.0
2019-06-30,5.0
2019-07-07,6.0
2019-07-14,6.0
2019-07-21,6.5
2019-07-28,5.0
2019-08-04,8.0
2019-08-11,10.0
2019-08-18,9.0
2019-08-25,8.0
2019-09-01,10.0
2019-09-08,11.0
2019-09-15,8.0
2019-09-22,10.0
2019-09-29,10.0
2019-10-06,10.0
2019-10-13,11.5
2019-10-20,11.0
2019-10-27,8.0
2019-11-03,13.0
2019-11-10,8.0
2019-11-17,13.0
2019-11-24,10.0
2019-12-01,11.0
2019-12-08,12.0
2019-12-15,13.0
2019-12-22,13.0
2019-12-29,10.0
2020-01-05,9.0
2020-01-12,11.0
2020-01-19,12.0
2020-01-26,9.5
2020-02-02,13.0
2020-02-09,15.0
2020-02-16,14.0
2020-02-23,14.0
2020-03-01,9.0
2020-03-08,11.0
2020-03-15,10.0
2020-03-22,10.0
2020-03-29,17.0
2020-04-05,10.0
2020-04-12,11.0
2020-04-19,9.0
2020-04-26,13.0
2020-05-03,12.0
2020-05-10,10.5
2020-05-17,8.0
2020-05-24,9.0
2020-05-31,11.0
2020-06-07,8.0
2020-06-14,7.0
2020-06-21,9.0
2020-06-28,11.0
2020-07-05,10.0
2020-07-12,11.0
2020-07-19,12.0
2020-07-26,10.0
2020-08-02,11.0
2020-08-09,10.0
2020-08-16,8.0
2020-08-23,11.0
2020-08-30,11.0
2020-09-06,10.0
2020-09-13,11.0
2020-09-20,12.0
2020-09-27,12.0
2020-10-04,8.0
2020-10-11,6.0
2020-10-18,7.0
2020-10-25,6.0
2020-11-01,9.0
2020-11-08,6.0
2020-11-15,9.0
2020-11-22,6.5
2020-11-29,7.0
2020-12-06,8.0
2020-12-13,25.0
2020-12-20,17.0
2020-12-27,20.0
2021-01-03,12.0
2021-01-10,24.0
2021-01-17,15.5
2021-01-24,15.0
2021-01-31,18.0
2021-02-07,23.0
2021-02-14,17.0
2021-02-21,20.0
2021-02-28,24.0
2021-03-07,22.0
2021-03-14,42.5
2021-03-21,17.0
2021-03-28,20.0
2021-04-04,27.0
2021-04-11,24.0
2021-04-18,24.0
2021-04-25,17.5
2021-05-02,25.0
2021-05-09,17.0
2021-05-16,13.0
2021-05-23,14.5
2021-05-30,18.0
2021-06-06,5.5
2021-06-13,8.0
2021-06-20,12.0
2021-06-27,19.0
2021-07-04,24.0
2021-07-11,23.0
2021-07-18,33.0
2021-07-25,19.0
2021-08-01,34.0
2021-08-08,35.0
2021-08-15,35.0
2021-08-22,29.0
2021-08-29,7.0
2021-09-05,24.0
2021-09-12,14.0
2021-09-19,16.0
2021-09-26,21.5
2021-10-03,28.0
2021-10-10,17.5
2021-10-17,2.0
