no,cid,text,image,pid,likes,comments,shares,post_time,scraped_at
1905,2704,"Many people seem to be supporting gay rights on this page but the fact of the matter is, the overwhelming majority of singaporeans and nus students do not support this but are too afraid to voice out for fear of attack by a loud minority. Whether it's right or wrong, singapore is not ready for this.
-
#2704: http://nuswhispers.com/confession/2704",,834555199948276,0,9,0,2015-05-09 21:34:01+08:00,2021-04-24 05:19:03+08:00
1932,2735,"Regarding #2704, I agree with the OP. The comments claim a lack of evidence but the evidence is in the fact that the laws still exist as they are based on the majority's social expectations. And let's not bring religion into this. I'm an atheist and I'm against it simply because it doesn't seem natural and serves no purpose from an evolutionary stand point. This doesn't mean I dislike homosexuals. I like people for their character. But it doesn't mean I support their lifestyle.
-
#2735: http://nuswhispers.com/confession/2735",,834956619908134,0,8,0,2015-05-10 22:06:22+08:00,2021-04-24 05:19:04+08:00
1949,2755,"To #2735, ah, the typical argument from ignorance. ""It doesn't seem natural and serves no purpose evolutionary speaking"" that is your claim, and just because it seems that way does not mean it is that way. And you make it sound as if atheism is a religion. I'm an atheist, yet I support their lifestyle.
And even if it isn't natural, or serve no purpose, what makes it so that the lifestyle should not be supported? Is it natural to wear clothes? Is it natural to kick around some ball, and worse, watch a bunch of people kicking one ball? Do all these serve any direct evolutionary purpose?
-
#2755: http://www.nuswhispers.com/confession/2755",,835291753207954,2,5,0,2015-05-11 17:26:29+08:00,2021-04-24 05:19:05+08:00
1957,2765,"#2755 To add on (I'm not the OP of that message). The implication of evolutionary purpose would mean doing things that increase likelihood of passing on one's genes to the next generation. Consider the following scenario: Your parents are being trapped in a fire along with strangers. You save your parents first. Based on #2735's logic, we should save the strangers since they are more likely to pass on our genes than our parents (who have already passed on theirs). Generally, most of us save our parents. This doesn't show an evolutionary purpose. Using the evolutionary account doesn't explain fully the reasons behind an action, there is a need to factor in human relations. Otherwise, we would start saving strangers.
-
#2765: http://www.nuswhispers.com/confession/2765",,835366986533764,0,2,0,2015-05-11 22:01:30+08:00,2021-04-24 05:26:34+08:00
1962,2770,"This post is with reference to #2704, #2735 and #2678.
Some people are saying that Singapore is largely a conservative society, as evidenced by the Singapore law. But is Singapore still a largely conservative society? Do the current laws reflect what the majority of Singaporeans think?
I am straight, and most, if not all, of the people I know who are also straight are very open to the idea of homosexuality.
I am not an expert in the Singapore justice system, but just think about this question: who decides what laws to pass? Do Singaporeans vote on what laws to pass, or does the decision lie in the hands of a few ministers.
Take the recent liquor law as an example. The law was passed based on the majority of a focus group of 40+ people and a couple of hundred surveys agreeing to law being passed. Where did they get the sample from and who did they ask? They sure did not ask for my opinion and neither they ask the other 5 million Singaporeans, including you. How are the results representative of what he majority of Singaporeans think? Were the results rigged?
My point is: could it be that the truly conservative people are the ministers (who are most likely be from the older generation) who enacted the law?
And most Singaporeans are open to the idea of homosexuality, but this 'fact' is hidden behind the facade of the law that may not be representative of what the majority of Singaporeans truly feel?
I am not trying to say which is the truth, but would just like for us to be critical and not take what we are told at face value. I am sure those who are educated will know that what the government or news reports tell us may or may not be the truth.
Peace out.
-
#2770: http://www.nuswhispers.com/confession/2770",,835588186511644,5,5,0,2015-05-12 10:01:29+08:00,2021-04-24 05:26:33+08:00
1974,2787,"to OP of #2755. Read a book on theory of evolution or ask your friends who study bio or look for a bio prof. The gene is the unit of selection. Not a particular particular bloodline.
To the atheist OP who argued against homosexuality based on this you serve either a neutral or negative evolutionary purpose to many other bloodlines also. So should you jump down the building?
-
#2787: http://www.nuswhispers.com/confession/2787",,835691043168025,1,2,0,2015-05-12 17:01:30+08:00,2021-04-24 05:26:35+08:00
1979,2792,"To #2765 er no, the evolutionary account states the opposite, that we are more likely to save our parents because they have OUR genes. You and your parents share genes, that is why (by evolutionary terms) you would save your parents. Its called kin selection/altruism. Your cells (or genes or whatever) do not in some sense ""detect"" that your parents have already passed on their genes and stop the desire to save them. And when genes get passed on, your parents do not ""lose"" genes, since copies are passed down. Who is to say that your parents would not pass on more genes after you?
Please read up on evolution before you claim something like that.
-
#2792: http://www.nuswhispers.com/confession/2792",,835727559831040,1,1,0,2015-05-12 19:01:31+08:00,2021-04-24 05:26:33+08:00
1992,2807,"#2792 I'm the one who wrote #2765. The evolutionary argument is not sufficient to explain why we choose to save our parents. Assuming our parents are 50 +/ 60+, how likely are they going to pass down the genes (apart from us)? Not very likely, comparing to saving a stranger who we may have a relation with and pass down OUR own genes. Saving our parents therefore takes MORE than evolutionary explanation, otherwise we should save other people instead.
FYI, I discussed this with my psychology professor during the semester.
-
#2807: http://nuswhispers.com/confession/2807",,835846899819106,1,5,0,2015-05-13 01:45:34+08:00,2021-04-24 05:26:36+08:00
1995,2816,"This will be my last reply to this series of evolutionary ""debate"" (getting a bit long here). To OP of #2807 I'm sorry but maybe asking the right professor would be more apt -- a biology professor?
Look up reciprocal altruism, or read Richard Dawkins' The Selfish Gene. Basically, genes that promote altruistic behavior, especially towards that of close ones (parents, friends) or people who helped you are gradually passed down across generations and are naturally selected. Its pretty obvious - helping someone who has helped you before is beneficial in establishing a helpful mutual relationship. Saving your parents is more beneficial than a stranger because well, they are your parents! They raise you up, they provide care and nurture. But saving a stranger does not guarantee that he/she will help you back, or what if the stranger is evil? Most of the time, saving your parents provides more survival benefits, to put it crudely. Through a long period of natural selection, people with genes that generally favored helping their parents will tend to fare better than those who help strangers (you can think of many examples on your own why this would be the case)
You mentioned ""saving a stranger who we may have a relation with and pass down our genes"". What are you talking about? Someone whom you have a relation with is NOT a stranger. ""pass down our genes""? So you mean you share more genes with a stranger than your parents?
-
#2816: http://nuswhispers.com/confession/2816",,836043856466077,3,1,0,2015-05-13 15:09:14+08:00,2021-04-24 05:26:36+08:00
2006,2831,"To add on to #2816: If you really want to look at it from an evolutionary standpoint (and not a moralistic POV), you would save your parents because your offspring with your mother (yes I know it is morally wrong but hypothetically) will on average have 50 [your own genes] + (0.5 x 50) [since 50% of your mother genes are also your genes] = 75% genetic similarity; compared to an offspring with a complete stranger that will harbour only 50% of your genes.
Also, to those who are invoking the theory of evolution by NATURAL SELECTION to argue for or against LGBTQ issues, please note: In order to use natural selection as an explanation, there has to be a unit of selection (in this case a gay gene). Since so many opponents of LGBT have claimed that homosexuality is not natural (read: not genetic), it does not make sense to have an evolutionary argument. If homosexuality is as they said acquired, it should not be passed on to the next generation because of epigenetic reprogramming. Whether LGBTQ should have equal rights is completely up to debate (by the way I'm gay); the point of this is to tell you guys: if you guys want to use evolution to back up your arguments use the proper terms. I (metaphorically) get cancer every time I read badly-substantiated arguments.
*ps There was a book to explain homosexuality from a evolutionary standpoint and I thought it was fantastic. Go read it if you can (since its summer vacation).
Peace.
-
#2831: http://www.nuswhispers.com/confession/2831",,836152446455218,2,2,0,2015-05-13 22:01:32+08:00,2021-04-24 05:26:37+08:00
