no,cid,text,image,pid,likes,comments,shares,post_time,scraped_at
3960,5557,"I received the rejection from CS3216. Entering my final year too so I will never get another chance to apply for CS3216.
I'm pissed, I'm really pissed. I read Prof Ben Leong's essay on the strict selection criteria of CS3216/CS3217 and he openly admitted the elitist nature of these classes. To be frank, Prof Ben's elitist premise of these classes may seems righteous and reasonable, is very flawed and similar to income inequality, further perpetuates the divide between good and not-so-good programmers.
Every student who wants to take these classes should be be given the opportunity. In terms of outcome, if they do badly, well they do badly and face the music. We preach about equality of educational opportunity in Singapore but when it comes to walking the walk, SoC is not doing it. We all pay equal school fees don't we? Why are we denied equal access to quality modules?
On the argument that other students may suffer and their protection, isn't this already happening with the standard modules that most SoC students take? In the working world and other mods, sometimes we get the wrong group mates and we have to live with it. If they are really as good as made out to be, they will get through it.
I venture to say the selection criteria of CS3216/CS3217 are the only undergraduate modules in SoC and possibly NUS that reeks of the thinking of a certain old political party. No surprise why we still don't have another Facebook and Google that has spawned from CS3216/CS3217 alumni despite trying.
For the elite few who managed to enter either of these modules in the past and the coming semester, I congratulate you on your great effort and fortune in impressing the selection committee. For mere mortals like me, I have to contend myself in taking more mainstream modules.
-
#5557: http://nuswhispers.com/confession/5557",,870745669662562,5,39,4,2015-07-22 16:15:45+00:00,2021-04-23 21:45:49+00:00
3966,5564,"What's with all these rants about not getting into CS3216/7? I'd give up my spot for a girlfriend...
#5557
-
#5564: http://nuswhispers.com/confession/5564",,870781359658993,26,7,0,2015-07-22 17:32:31+00:00,2021-04-23 21:45:45+00:00
3973,5566,"I received the rejection from Facebook. Starting a new job soon so I will never get another chance to apply for Facebook.
I'm pissed, I'm really pissed. I watched Facebook’s video on how to ace your coding interview and they openly admitted the elitist nature of these interviews. To be frank, Facebook’s elitist premise of these interviews may seems righteous and reasonable, is very flawed and similar to income inequality, further perpetuates the divide between good and not-so-good programmers.
Every software engineer who wants to join these tech companies should be be given the opportunity. In terms of outcome, if they do badly, well they do badly and face the music. We preach about equality of hiring opportunity but when it comes to walking the walk, Facebook is not doing it. We all pay equal internet fees don't we? Why are we denied equal access to quality companies?
On the argument that other software engineers may suffer and their protection, isn't this already happening in most companies? In the working world, sometimes we get the wrong colleagues and we have to live with it. If they are really as good as made out to be, they will get through it.
I venture to say the selection criteria of Facebook are the only tech companies in SV and possibly SF that reeks of the thinking of a certain old political party. No surprise why we still don't have another Dustin and Adam that has spawned from Facebook despite trying.
For the elite few who managed to enter either of these companies in the past and the coming hiring, I congratulate you on your great effort and fortune in impressing the selection committee. For mere mortals like me, I have to contend myself in taking more mainstream jobs.
#5557
-
#5566: http://nuswhispers.com/confession/5566",,870925092977953,69,11,0,2015-07-23 00:00:58+00:00,2021-04-23 21:45:51+00:00
3980,5577,"Regarding #5557, I heard from a friend that N-house is planning something similar - bring tech, designer, and business together to work on a project, with mentorship from VCs and founders. You can apply for that lor.
-
#5577: http://nuswhispers.com/confession/5577",,870973669639762,1,1,0,2015-07-23 02:59:07+00:00,2021-04-23 21:45:45+00:00
3981,5579,"#5557 Rejection sucks man...but this is how it happens in the real world. You have to face it. Let me give you a personal experience: I was rejected for NTU scholarship interview because I failed to convince the panel about my achievements. I got good grades in English for A levels but I was so nervous during the interview that I stammered and stuttered most of the time. I made a bad first impression and the panel thought I was not competent enough.
It is because I got rejected that I joined NUS. Had I got the scholarship there, I would have joined NTU. Don't know whether I'm better off or worse off but I am definitely enjoying my life here and would consider myself successful. So it's not true that all rejections spell doom for your life.
Instead of blaming the selection process, I introspected and tried to improve my interview skills. With practice, my communication and interview skills are much better than before. However sad you may feel when you get rejected, most of the time there is no denying the bitter truth that you were not good enough. You can't change the unfair world, but you CAN change yourself.
Think harder. Why did the CS3216 committee reject you? Is it because they want a better coder than you? If so, you should utilise this time and sharpen your coding skills. When you apply for a job, the employers will pay more attention to your coding skills rather than scanning your transcript to look for 'CS3216'. Giant tech companies like Google and Facebook have multiple interview rounds to assess your technical and soft skills. Prepare yourself for these.
Paying same fees doesn't give us the right to take the same modules. All Singaporeans pay taxes, why doesn't everyone get the high-paying coveted government jobs. The world isn't fair to everyone, it is competitive. CAP, grades, intelligence, competence aren't everything in life, but they are not totally unimportant. When it comes to limited resources, only the best are chosen. Survival of the fittest.
-
#5579: http://nuswhispers.com/confession/5579",,870973939639735,47,2,3,2015-07-23 02:59:49+00:00,2021-04-23 21:45:46+00:00
4014,5621,"I'm the OP of #5557 who was rejected from CS3216. Am still not convinced of the arguments that were put forth by Ben Leong and Colin Tan. Shan't argue anymore with the immovable Profs.
To those who took CS3216/CS3217 before and commented, please take your elite faces and go back to your ivory towers please. Like the post in #5466, it is easy for you to say, ""just do better, try again, there are alternative routes, you don't need CS3216/CS3217"" when you have the opportunity and I don't. You are nobody to judge that I might not be able to handle the workload and be a tremendous drag on my potential teammates when I did not have a chance in the first place. Why have the double standard of pretending to be like the workforce and turn around and say those inside have to be protected? If one does not need CS3216/CS3217, why did you not walk the talk and not apply in the first place?
It's proof enough that Colin admitted that 99% of apps died after CS3216. This means most of the stuff you guys did weren't good enough to be commercially viable. So much for being the elite. Most of the more visible stuff from Computing students like NUSMods, NUSWhispers and the SoC Print app did not originate from CS3216/CS3217 in the first place.
Since writing more will not overturn my rejection anyway, peace out and goodbye.
-
#5621: http://nuswhispers.com/confession/5621",,871239502946512,2,49,1,2015-07-23 15:54:18+00:00,2021-04-23 21:45:53+00:00
4025,5643,"#5557 Long post guys, hang on.
The part about protecting you from the mod is not bullshitting.
3217 is a killer mod and not for the weak.
I got rejected for 3217 at first because my CAP was lower than the bar, but I appealed to the professor with my 2103 grades. There was an unexpected vacancy, so I got in.
We were doing assignments right from the first week and picking up Swift on the go. Assignments due every 1 or 2 weeks. The workload was crazy.
I was struggling really hard. I spent most of my time on 3217. I only took 4 mods that sem but my CAP went down.
So yeah there's a reason why they let the 'elites' in - because they can handle this killer mod and their normal mods together.
Honestly I don't regret doing 3217, but it's not like this shiny gateway to heaven that instantly makes you better- it's a hell that you have to work through and come out the better for, and YMMV depending on how much effort you put into it.
Also if you're rejected, it's not the end of the world. (Yes, coming from someone who got in eventually, you probably don't believe me.) Just find alternatives!
Whatever I learned in 3217 could be learned elsewhere. You just need to make the effort to learn. You don't need to take the module to learn what is taught there!
Regarding alternatives to learning what is taught in 3217, watching WWDC might be a good start or picking up an online course in iOS development.
If you want the experience of working on a big project, why not try contributing to TEAMMATES? Or find an internship?
If there's a will, there's a way. I'm sure the professors won't mind recommending other sources of learning too. :)
-
#5643: http://www.nuswhispers.com/confession/5643",,871461122924350,11,7,0,2015-07-24 03:58:38+00:00,2021-04-23 21:48:14+00:00
4034,5656,"In light of all the talk about CS3216/7 in #5557 & #5621, I feel like I need to get the word out about the other non-mainstream third year project modules.
CS3281/2 and CS3283/4 are both really good and underrated alternatives that require students to work independently and create a complex, large-scale app (usually from scratch). Most projects are for a real world client with real end users, which means your code will impact peoples' lives!
I had the privilege to conduct end-user testing of my project on behalf of my client and I can honestly say that seeing their eyes light up and hearing their positive feedback is the most gratifying thing in the world. It reinforced my passion for software engineering and encouraged me to put in even more effort for the rest of the project.
As with 3216/7, the 81/2 & 83/4 modules also take a less structured approach and most of the knowledge gained is self-learned, along with regular peer reviews to facilitate knowledge transfer between teams.
Teams are formed by students and you apply as a team for your preferred project. So in that sense, you are responsible for your own choices, whether you have struggling team members pulling you down or a hard working cohesive team lifting you up, is entirely on you.
This also means that not every project made is fantastic and not all groups are strong, but the onus is on you to make your project the best that it can be. (This is less of a problem for 81/2 because of the vnp/tp majority requirement, but in 83/4, there is broad range of students with varying abilities.)
Imo (and this is purely my opinion), CS3216/7 is a great 'networking' module to allow the 'elite' students to work together and get to know each other, but in order to achieve this, it has to break up the modules into multiple short intensive projects. While this allows for mingling, it sacrifices the opportunity for large scale software development during these short sprints.
To me, CS3216/7 is like trying to hit gold timing for 2.4km 3 times consecutively without breaks; it is intense and great training if you come out of it alive. But CS3281/2 & 3/4 is like running one single 42km marathon spanning 1 and 2 semesters respectively; it is not about short bursts of coding power, but pacing yourself throughout an entire year's worth of iterations to deliver a polished product without letting fatigue get in the way.
In short, the various 3rd year project modules target students with different goals and preferences (not just different abilities!); read up about ALL of them (CS3201/2, CP3208/9, CS3281/2, CS3283/4 & CS3216/7) and pick the one that you think is more suitable for you.
p/s: Look beyond the module name and descriptions because 'Thematic Systems' and 'Media Tech' are not very meaningful and do not do these modules justice.
-
#5656: http://www.nuswhispers.com/confession/5656",,871534486250347,10,2,0,2015-07-24 07:53:37+00:00,2021-04-23 21:48:11+00:00
4219,5961,"Why is there so much hate and mistrust for international students, mainly PRC and Indians? We're all students like you, studying for a good career so that we can support ourselves and our loved ones. We aren't competitive freaks who are out to get your jobs. Moreover, living in another country isn't easy... My heart still breaks every time I leave home.
We are nice people; please don't treat us like outsiders.
-
#5961: http://www.nuswhispers.com/confession/5961",,874636625940133,29,5,0,2015-07-31 02:28:52+00:00,2021-04-23 21:45:57+00:00
4230,5974,"#5961
If we swap position now. We come to Singapore without wasting 2 years serving national service, no need to have university debt (assume you are on scholarship), no need to have reservist which affect our career, still enjoy all the good stuffs and treated equally as citizen, how would you feel?
Yes, they are results of government policies, which is why they are losing support.
Why the fuck do I have to sacrifice some much when I receive the same treatment as non-citizen? ""Fuck Singapore belongs to everyone"", take a look at other developed countries such as Australia, US and their work visa. And if you want say xenophobic, I call it patriotism.
-
#5974: http://www.nuswhispers.com/confession/5974",,874727039264425,15,5,0,2015-07-31 08:38:51+00:00,2021-04-23 21:45:57+00:00
4231,5976,"#5961 The thing is that you guys are paid with scholarships. Many locals are unhappy about the overhelp given. I am okay if you guys pay the full fees without any tuition grants.
-
#5976: http://www.nuswhispers.com/confession/5976",,874727049264424,4,9,0,2015-07-31 08:38:52+00:00,2021-04-23 21:45:58+00:00
4234,5978,"#5961 From do you heard it from? Straits Times?
I think there is a propaganda out there to make everyone perceive Singaporeans to be xenophobic or one-eye dragon. Also the media likes to use every opportunity possible to condemn Singaporeans. It is always the same narrative that Singaporeans are not good enough and we need foreigners blah blah....
-
#5978: http://www.nuswhispers.com/confession/5978",,874738365929959,5,5,0,2015-07-31 09:38:54+00:00,2021-04-23 21:45:58+00:00
4239,5989,"I'm the OP of #5961. Honestly, didn't expect so many responses!
Some of my closest friends are Singaporeans. I make an effort to mingle with everyone, and don't stick with a group of my own country people.
I think we've all seen a pretty good example of the xenophobia us foreigners are subjected to; the comments and responses on this page prove so. I don't face racism everyday, but when I do, it hurts.
I'm a scholarship holder too. Go ahead, sue me, but my parents don't have enough money to finance an education abroad. If you all didn't know yet, the tuition fee for international students is DOUBLE that of Singaporeans. So yes, if you're coming from a poor family, it gets quite difficult.
Whatever I've done and whatever I've achieved is due to my own hard work. We're not having an easy time in university, we're working hard too, to get the grades we deserve.
Plus, you're forgetting the 3-6 year bond that comes attached with any govt. scholarship. We don't have the freedom to do what we want to do later. Imagine wanting to go for higher studies later in a university you're getting a scholarship to, but having to pass up the offer because MOE rejected bond deferment.
Imagine this now- you have to live for (upto) 10 years in a country where you're made to not feel welcome. How would you feel?
It's not our fault that the government is making such policies. Instead of directing your hate to us, you should direct it towards the people responsible for these policies.
A little acceptance is all I ask for.
-
#5989: http://nuswhispers.com/confession/5989",,874769522593510,25,4,1,2015-07-31 11:49:07+00:00,2021-04-23 21:45:58+00:00
4243,5994,"#5961
""Fire is catching! And if we burn, you burn with us!""
Honestly, your suffering is nothing compared to 2 years of slavery. As you also mention, the only bad deal is being in a country that you are not welcome. To even out the unjust, your suffering is part of the deal.
As for directing the hate to the right person. You can be rest assured that they will suffer, after all the elections are coming.
If you are fighting your enemy, surely you will get rid of their supporters and beneficiaries?
-
#5994: http://nuswhispers.com/confession/5994",,874812249255904,1,8,0,2015-07-31 14:01:52+00:00,2021-04-23 21:48:21+00:00
4247,6001,"I'm pretty much in support of the OP of #5961 and #5989. As a student contemplating graduate studies abroad, I don't really agree with the hostility we're directing towards international students, particularly when I don't want to be be on the receiving end of that elsewhere. Put yourself in their shoes - Would you like to be seen as a parasite just because you decided to learn elsewhere and broaden your horizons? And what if you have difficulty securing the means to study overseas without a scholarship? Wouldn't you want to look for scholarships offered by foreign universities (even governments)? Are we so xenophobic now that we hate everyone else in the world just because they're not 'one of us'? Definitely, definitely don't agree with that. Xenophobia is on the rise all across the world again, and that's a crying shame. Just look at the policies that are slamming down in the UK now, much less the increasing xenophobia in Australia, Europe, and the US. We should be breaking down borders these days, not building it up.
Essentially, it's just a simple matter of reciprocity, I feel. If you want to be treated with respect when overseas, why wouldn't you treat people with respect while they're here? Regardless of what they are like (and admittedly, some are less than pleasant--I'm sure we can all call to mind the relevant incidents, as blown out of proportion as some of them might be--, but that can also be said of our overseas students.), they're still people, and deserve to be treated as such. I for one am glad that they're here and raising the profile of NUS. Not only do they help boost us up the rankings (research alone does not make us a world-leading university), but they give us so many new experiences and worldviews while they're here too. You can't quantify things like that. I am reluctant to even call them 'benefits' because that risks a sort of objectification.
Even if you are willing to be treated appallingly in another country for the sake of your degree and that it isn't a big deal to you, I'm still not convinced by arguments that the 'their country their rules' argument is at all well-grounded. We're living in the 21st century, with all the benefits that provides. Primarily, it's a time when we can travel and still keep in contact with our loved ones, a time when heading out to search for work isn't the complete and utter uprooting of our lives as we know it. We can go anywhere and it's not a big deal for us anymore. Some of us will want to study elsewhere for a while. Why should that be penalised? So if the boundaries are more permeable than they've ever been, why should we employ such a knee-jerk and static response of 'foreignness' to it? Sure, local taxpayers put money into the area and should enjoy more privileges that foreigners don't because of it, but it's not like they don't bring money in and spend it here while they're here. We shouldn't be bitter or in any way unhappy about them receiving scholarships and/or the tuition grant, because they bring so much with them, and we have as many opportunities as they do to go elsewhere too. Ultimately, I hope that we've reached the stage where we can be a bit more moderate and welcoming in our response towards foreign students. As the OP pointed out, blaming them for government policy isn't exactly cool, and in the first place, maybe it isn't that bad a policy at all.
tldr; can be mature and rational adults ornot, guise?
-Lim Peh Is Sinkie
-
#6001: http://www.nuswhispers.com/confession/6001",,874897965913999,6,1,0,2015-07-31 16:03:51+00:00,2021-04-23 21:48:24+00:00
