no,cid,text,image,pid,likes,comments,shares,post_time,scraped_at
59713,105286,"Hi all, just wanted to let something off my chest. So… I have 4 siblings which are all brothers.( I am a guy btw) The 5 of us are very close since young and we always share things like usage of car, clothes etc.
We are all working adults now and 4 of my brothers can’t find their right one (they are middle age men now). I felt bad for them and asked my wife if she is willing to have sex with my brothers and have a child with each of them to boost their self esteem.
In which, she agreed. (With conditions like 100k for each child birth ) She then had sex with my oldest brother about 5 years ago. Which I have regretted this decision and really defeated every inch of my soul. I cried very badly outside their room that night. Since then she had sex with my 3 other brothers occasionally. I act like I am okay in front of them. But in fact it was killing me inside, each time they had sex.
Today, we each have one child. When I look at my brother’s child, I felt sadness and emptiness in my heart. I start to question myself “what if this child does better than my child”, “what if my wife likes this child better than our child, which cause an impact on our relationship”.
I start to think a lot since the start of the sex with my brothers, which really impacted my mental health a lot as I did not mention to them about my feelings as I do not wish to ruin our relationship, both brother and wife.
I started to have depression and have sucidal thoughts after one month my wife had sex with my oldest brother. Even though this is transactional, but I still felt really bad and felt that my self worth is worse than a bag full of dirt.
Today, when we go out as a family, me, my 4brothers, wife and 5 childrens. I felt very insecure and wish to die everyday. I do not know what is the point in living already. Btw the children all acknowledge me as the dad. As registered in the all their birth cert.
All in all, I do not know why I suggest such a stupid idea. And I really f regret it to the core of my soul.
Please advise how to cope with this… I don’t think I can tahan already
-
#105286: https://www.nuswhispers.com/confession/105286",,7937403712996687,221,1220,2020,2022-09-12 19:43:54+08:00,2022-12-13 12:00:07+08:00
58767,103458,"I have been dating my bf for a while but there are some points that I just cannot shrug off.
The expectation is that a guy should be at least a head taller than his girlfriend, but this is something that can only happen in my dream. The reason is he is only 2cm taller and not even 175cm, meaning that it feels like he is a sister/pal to me rather than an oppa. He is way too short for a guy and it doesnt give me a strong sense of security. I estimate he is in the lower tier of height range perhaps somewhere between 1.70-1.73m.
In fact, I would like to ask my fella ladies out there who are willing to date shorter guys or even marry them. What do you see in them? Dont you regret it after a while or will make this an issue whenever you start quarreling? There are plenty of bigger fishes out there and I am now starting to regret it.
Before you commentors start bashing me, I will be fair and point out some of his merits along with my concerns.
1. Yes, he is pretty good looking and has a nice heart. He often shows care for cats/dogs and feed them but I find this trait less manly and somewhat gross. A real man should be more aggressive, not like a beta sissy that plays with small animals.
2. He often buys lunch for me and brings it to the secondary school where I am teaching. However, sometimes kaypoh students will come to me and ask ""Cher, your boyfriend ah? Legit? Why so short one?""- Not surprising since even my female students are taller than him. This is ridiculously embarassing. I even told my bf not to bring lunch to me but he doesnt get my point... He will just say "" If we are truly in love, we shouldnt care what others say""..... Yeah right you are not the teacher...
3. He will offer to carry the plastic bags whenever we go shopping. The problem is his legs are short so his hands are like in close proximity to the ground, resulting in some long plastic bags being dragged, even though I understand he doesnt mean it. This is pretty unsightly.
4. He is a mathematician and I remembered once he drew me a heart using math equations. This seems romantic to others but lame in my eyes. If he is sincere, he would have drawn the heart by hand, not indulge in these kinds of boring stuff. After all, how can all these math help him in his future prospect? I knew of a few friends already earning big bucks without knowledge of maths.
I do not not wish to elaborate any further because for every merit that I can think of, it is diluted by the negative aspects. They cant even offset his midget stature.
Unfortunately, all the good quality tall guys are already taken by the short girls, otherwise I would have ended this relationship earlier. I do not want my female besties to find out that I broke up, so I will just bear with it for a while.
My message to my fella sisters out there who are currently attached to the shorter guys. It is never too late to back out! Think of your future!
-
#103458: https://www.nuswhispers.com/confession/103458",,7363927357010995,119,1049,520,2022-05-14 07:38:17+08:00,2022-10-14 16:30:05+08:00
58649,103251,"I've been together with my boyfriend for 3 years. Last year he graduated and found a job that pays him $3.5k a month. To be honest I was shocked that his salary is quite low. Because some of my friends and cousins are earning much higher than him. I often encouraged him to find a better job. I also asked him to take up some courses to improve his chances. He already took up a few courses but he still couldn't find a better job.
Recently, I was bored and downloaded a dating app for fun. Surprisingly, I matched with a lot of guys who seem quite eligible. I even matched with a lawyer and an investment associate. I have been chatting with the investment associate for two weeks now. He would text me only a few times a day because he's a very busy guy. Yesterday was his birthday so he told me he celebrated his birthday with his family at home.
After his birthday celebration, he suddenly said he wants to see me. At around 3am, he snuck out of his house and drove to my house to see me. I went down to the carpark to meet him and was quite surprised to see that he drives a luxury car and he looks even better in real life. We chatted for 2 hours in his car. He then walked me to the lift and even kissed me on my cheek. Although we barely know each other, I actually feel quite happy that he kissed me. When he reached home, he texted me to say that he enjoyed talking to me and he would like to see me again.
He seems like a really nice guy. I know I shouldn't compare but my bf isn't even that nice. And my bf is unable to find a decent job so I'm worried about my future when we get married. But my bf and I have been together for 3 years so our relationship is very stable. I feel like if I break up with him now, 3 years of my life would be wasted. What should I do? Should I just stick to my bf because he is obviously a safer choice? Or should I continue to go out with the investment guy and then break up with my bf when the investment guy confess to me?
-
#103251: https://www.nuswhispers.com/confession/103251",,7308185179251880,165,876,315,2022-05-02 09:42:45+08:00,2022-08-05 16:32:40+08:00
57933,101855,"Need to rant. My ex-boyfriend is so cheapskate. Today he suddenly texted me and asked me if I could return him the engagement ring that he proposed to me with.
We dated for 4 years before he proposed to me in August last year. A month later, he quit his job because he wanted to start a business with his friends. I then broke up with him as I felt very disappointed with his stupid start-up dreams. Fortunately I met someone new at my workplace who’s way more mature and financially stable than him so I managed to quickly move on.
So today he told me he would like to sell the engagement ring as he would like to expand his business. I asked him why bother selling this ring as it’s not that expensive anyway. He then said that this ring costs alot to him as he saved up for 2 years to buy it because he knew that it was my dream to own this ring. Playing the sympathy card. Yikes.
To be honest this ring is not really super expensive, at most $60k? So I don’t understand why he is so determined to take it back. I am seriously disgusted with how thick-skinned he is, how he tries so hard to convince me to return him the ring. Somemore he already know that it is my dream to own this ring.
But when I told my friends about this, they all told me I should return him the ring and support him in his start-up dream and then ask my current boyfriend to buy me a new one. Seriously how to support such stupid dream? So should I return him the ring or not? I have the right to reject him right?
-
#101855: https://www.nuswhispers.com/confession/101855",,6938798696190532,77,607,193,2022-02-11 08:24:26+08:00,2022-05-24 06:00:13+08:00
59094,104129,"I'm a year 1 girl who has a bf in the army. Recently I got really close to a senior from the same course as me. I feel that we have a lot of chemistry and he is my ideal type of guy. He is always by my side whenever I feel depress, cheering me up with magic tricks. Although he knew that I'm already attached, he continued to shower me with affection and love. Instead of rejecting him, I led him on by asking him to hug me when I'm sad. Kiss him on the cheek when he sent me back home. (Well, as long as I didn't engage in s**ual activity with him, I'm not cheating on my bf) .
I did clearly explained to him that, there is a very low probability of me becoming his gf. However, he gave me a shocking reply that touched my heart deeply and brought me to tears. Although he knew that he has little or no chance, he is unwilling to abandon a vulnerable girl like me. He wants to stay by my side to protect my fragile heart until the day I no longer needs him. When that day arrives, he will cut all contacts from me in order to nurse his emotional wounds.
I'm confuse now, what should I do?
-
#104129: https://www.nuswhispers.com/confession/104129",,7553291978074531,149,599,275,2022-06-22 07:17:35+08:00,2022-11-01 22:19:04+08:00
59822,105532,"When you cause me so much anger and pain and not see what you have done to me.
She was my gf for almost a year. Out of the few girls that I've dated, she was the hottest one. I admit I am a very confident man. I workout and lift weights and I am tall at 1.85cm while she's 1.65cm. I always believe we look very good together and I am the envy of many men for having her as my gf. People always look our way when we walk past and I was sure it's because we are a very good looking couple.
We always argued. I was often angry. She cannot see how much frustration she has brought me. She cannot see when its clearly her fault when things happen. I don't believe no other guys are chasing her when we are together and I admit I let my anger get the better of me sometimes. She has many unknown calls and she would always deny it when I ask if it's from other guys. If you have unknown calls why won't you delete it if it's really from a stranger? Why keep the number on the log? A few times she threw her phone because she was so angry by what I've found on her phone and social media. If you have nothing to hide, why get mad? I deleted all her phone numbers as I was sure she was saving numbers under girls names when its actually guys numbers.
I kept saying she will cheat on me one day and she really left me one day. Then she got together with another guy barely 2 months after we broke up. I was still in the process of trying to get her back as we always patch back but it stopped working. So many times I caught him sending her home and it made me so mad. I made sure she remembers I will forever be single thanks to a cheater like her. Towards the end it was really ugly and I wanted to get back at her. I didn't want to give her the satisfaction so I destroyed everything of hers that she left at my home. I never forgot the way she insulted me. I did hope she is never happy forever for how she ended our relationship. I made sure she heard even my mum cursed her for causing me so much unhappiness.
That guy she dated was so short. I don't know what she sees in him. I always believed she got together with him to spite me. I was sure he can't satisfy her better than me. He don't even have half my stature or presence. He doesn't even drive a car like me. I find it unbelieveable that after me, she actually married that short guy and had a child with him.
I cannot get over the fact after leaving me, she married the first guy who wanted her. I know how to enjoy life while she chose to suffer with that poor short chap? When I meet or bump into mutual friends who also knows her, I feel my anger and bitterness coming back each time. I purposely flirted with her besties once when I bumped into them. I wanted them to tell her how happy and happening I am without her. And I have no lack of women surrounding me.
A part of me deeply wishes she suffer whenever I am reminded of her. I even purposely move around her workplace hoping she will bump into me and I hope she regrets letting me go as I am successful and earn more than her dwarf husband now.
I hope you remember me forever because you've been such a horrible person to me.
-
#105532: https://www.nuswhispers.com/confession/105532",,8010948332308891,96,595,171,2022-09-28 14:02:43+08:00,2022-12-12 01:46:25+08:00
59394,104674,"My girlfriend doesn’t want to work, and she hasn’t worked throughout our relationship. She wants the taitai life because her father is rich and her mother got to be a housewife. So I have been supporting both of us with my pay alone, which is not much, and I don’t get to save even though I have been working for years. We are living paycheck to paycheck, which was okay for me last time but now that we are talking about long-term, I’m not sure if I can live like this forever.
I get stressed about our BTO thinking about the money I need to fork out, but she will just tell me to find another job that has higher pay and she even told me to borrow from my family. Her family doesn’t want to lend us the money for our house, because my girlfriend has never contributed to the family business. She has been pressuring me to get money from my family whenever I bring up about financial issues, but my family is just a low to medium income family. I have tried borrowing and even forced money from my family members and it has caused a lot of arguments.
We have been living together and she doesn’t do housework either, my parents are the ones doing all the housework while she just does nothing at home and watch her dramas. She doesn’t even offer to buy meals for my parents when they are at home.
She insists that I propose with a diamond ring which will take months for me to save up for, otherwise she says it will make her look bad and she will not marry me, which is why I’m in a dilemma now. I feel that she doesn’t care about my financial pressures and she’s willing to make me suffer for what she wants.
In case you are wondering..she’s not very attractive either. We are both considered unattractive, which is why I hesitate to break up because I know I can’t find someone else. I’ve been wanting to lose weight but she insists I stay fat so I won’t attract other girls, but I am concerned about my health as well.
What should I do?
-
#104674: https://www.nuswhispers.com/confession/104674",,7730524597017934,154,578,150,2022-07-30 12:24:15+08:00,2022-11-03 17:43:17+08:00
59415,104714,"I'm with my girlfriend for 3 years. She's been bugging me to marry her and its really starting to stress me out. I didn't tell her I actually have a 6 figure savings accumulated from my deceased father's will on top of my own assets and let her think I'm a pauper. She even gave me money once when she thought my family finances was tight but I rejected it. A part of me decided she is the one after she did that.
My mother told me to never flaunt our wealth so as not to attract the wrong people so I guess I start to feel funny about money since young. We mostly go to hawkers and only visit restaurants when there is a special occasion like birthdays or Christmas. Our dates are usually very low costs. I like that when the weather permits, we have the habit of alighting earlier from the train or bus and spend more time walking together and talking to reach our destination.
I lied to her that we can't afford a flat yet and she showed hand me her savings and say she can and kept asking me not to waste her time in a joking way. Her family is pretty well to do. Her dad even gifted her a car when she got promoted but she sold it as she's not confident driving.
The problem I have with my gf may be insignificant to some couples. I don't really have any major red flags or issues about her. Even if she's not my gf, I would think of her as a great person to have around. I know other men will find her very eligible given her looks, personality and family background. My mother loves her and already considers her a daughter in law. But I have a but. I'm not ready. We are in our late 20s.
How do you become ready? I'm so in love with her but I just couldn't make myself get down on one knee and ask for her hand in marriage.
-
#104714: https://www.nuswhispers.com/confession/104714",,7743619645708429,207,452,158,2022-08-02 09:02:10+08:00,2022-11-03 17:43:19+08:00
58807,103530,"tl;dr: I cheated with my female colleague and I feel very bad about it. What made it worse was that my wife witnessed the cheating…
I'm happily married with a wonderful wife with two kids. I work in marketing in an FMCG company and I'm constantly surrounded by younger female colleagues. Ngl, many of them are very attractive but I'm a faithful man who thinks with his bigger head.
However my life recently turned upside down. There's this female colleague who recently joined, let's call her G. G is in her late twenties and has a face and figure many women would die for and many men would go for. I was so surprised to find out that she was single (she gave me that information without me asking). G would constantly ask me for advice dealing with work matters and invite me to go lunch together with her batch. Sometimes we go for lunches and it's just the two of us. G would constantly ask me what I was doing over the weekend and tell me what her plans were. She was actively using dating apps but none of the guys were up to her standards. She would often flirt with me (I think?) Like when we are alone she would playfully brush my arms and sometimes bump into me (too often for it to be by accident). She’d also tell me about her experiences with her dates and how they're not good, and I'm so much better. I always felt a weird sensation whenever I hear that from her. It’s a nice feeling to be validated, but I’m married and it feels wrong.
One fateful day, as my wife had to use the car that day, she came to my office to pick me up. As I was walking away from the office with my wife, G somehow appeared out of nowhere and said hi to us and was extremely friendly towards my wife. G and my wife started chatting as if they were besties and they somehow ended up organizing a games night at my place that weekend. G said she’d bring her date over.
Fast forward to that day, G came with her date. Not sure why but I felt a tinge of jealousy seeing him. We decided to play some card games and I ended up partnering with G. This is when things went down. G was secretly texting me the cards she had in her hand and signaled me to read my phone. I got the hint and was trying to discreetly look at my phone. However, my wife caught me doing that and snatched my phone away and she saw the message from G. She acted like it was ok but after G and date left, she was so furious that I cheated with G during the games and my wife refuses to talk to me now.
How can I appease my wife?
-
#103530: https://www.nuswhispers.com/confession/103530",,7383007208436343,790,447,1104,2022-05-18 07:51:55+08:00,2022-10-18 05:23:37+08:00
59530,104917,"I'm currently dating a teacher for about 2 years, who is 3 years into the job (after PGDE). While we really love each other and are serious about one another, I'm a bit uncertain about our future together due to her workload and commitment to work.
Here is a sample of her average day:
Wake up at 540am
Leave house at 630am
Reach school by 710am
Teach classes till 130-2pm
CCA/ remedials/ meetings/ misc things till 530pm, leave school
Dabao, Reach home at 630pm
Eat dinner and chill to 8pm
Marking from 8 to 1130pm
Shower, etc, till 1230pm
Catch up on emails till 1am then sleep
So based on that, she works maybe 14-15 hours every weekday with just 4.5hrs of sleep and a good day every weekend just to catch up on work that couldn't be completed and lesson plans. Based on her salary, it's just ridiculous how much she has to work for that - Retail and F&B workers are better paid hourly than her.
I've been getting into fights with her and telling her that her lifestyle and is unsustainable as it'll lead to big burnouts and her health will suffer. On the flip end, she says that I'm not a teacher and I'd never understand her line of work.
Also, I realised that a lot of her teacher friends (female), are single well into late 30s and 40s - which I guess its due to their teaching lifestyle. On the flip end, most women I know from my line of work (private) are married by their late 30s.
I sincerely hope MOE can do something to lighten teacher's workloads. While that is wishful thinking, I'm wondering if I could get any advice on how to move forward...or move on.
Frankly I although I love her a lot, she had made it clear that her priority is to be a good teacher. So at the back of my mind, there is always this feeling that she loves teaching more than me.
Also, although we both agreed on having children, based on her workload, I don't see how we would be able to manage as I'm afraid she'll leave majority of the child rearing to me while she continues her passion. My job is way less tiring than hers and honestly I'm earning more than double of her - and in order for me to climb more, I need her to do her fair share of child rearing. I've mentioned to her that if we got married, I'd like for her to take a step back from her overloaded schedule and this was utterly shot down and more quarrels ensured.
So now I'm at a crossroads - should I push on and try to make things work, or try to move on to find someone who able to be more family oriented?
-
#104917: https://www.nuswhispers.com/confession/104917",,7811378618932531,432,437,276,2022-08-16 22:10:48+08:00,2022-11-16 19:07:52+08:00
