no,cid,text,image,pid,likes,comments,shares,post_time,scraped_at
44460,71670,"Today, I felt my heart properly break for the first time. The course I’m studying has quite a heavy workload so I haven’t been going home for the past three weeks. My father came to visit me today. He is rarely ever free and today is one of those days that he could make time.
My father is close to 70 years old and he is still not retired. He works as a cleaner at a country club during the day and holds another cleaning job at the community centre near my house at night. For some reason, he had half a day off today and he said he wanted to tour my hall. He came over and after showing him my room, we decided to get dinner at the Kopitiam at Kent Ridge MRT.
I know my father doesn’t have money so I offered to pay for his dinner. Guess what? The silly man ordered the cheapest thing he could find - fishball noodles. There was a lady (very well dressed, looks to be at least middle-class) infront of us in the queue and she left her chilli on the counter then walked away somewhere. My father didn’t see it and thought that that was an extra sauce so he just took it and put in on our tray. When the lady returned, she said very sarcastically that someone took her chilli while glancing up and down at my father. He immediately apologised and explained to her that we were not aware and that she could have her chilli back but she replied “你动过的我才不要。肮脏死”, which loosely translates into “I don’t want what you’ve touched. You’re dirty to death”.
This was when I realised that my father was still in his uniform. I almost screamed at this lady seeing as she was clearly younger than my father and was being rude. However, my father held me back and simply apologised again. He said that he’s used to it and it suddenly hit me that this is what he does all on a day to day basis. He apologises and lets people walk over him. He is invisible. I always knew my dad worked hard and is always at the mercy of others but seeing it with my own two eyes was an entirely different experience. I couldn’t even hold back my emotions and start tearing uncontrollably while we were eating. I had to lie that I was tearing because I got chilli in my eye but the truth is I was heartbroken by how my dad has to swallow his pride all the time.
I can’t wait for the day when I can tell him to stop working and stop apologising for everything. All my dad ever did was love and dote on me but everyone else has just been so awful to him. Dear rich people, what did we ever do wrong to you?
-
#71670: https://www.nuswhispers.com/confession/71670",,3084049174998856,5243,818,6195,2019-10-25 15:51:42+08:00,2021-04-24 17:27:07+08:00
43425,69443,"Amidst all the troll, relationship and faith-in-human lost confessions here, I'd like to share something positive, and hopefully encouraging. I just graduated from NUS this year, but it's only now that I feel ready to share my story.
I grew up in a single-parent family with my mom and little sister. Throughout primary school, I was doing decently well in school and my CCAs. We weren't rich, but we survived just fine as a family.
Everything changed during secondary school when my mom was first diagnosed with cancer. When I first heard the news, all I could think of was 'why me?'. It felt like god was being unfair towards me. I was not a saint, but I did my best to live my life honestly and did everything as right as I could. Yet, this had to happen to me. From then on, my life started to go downhill. I started skipping school, my grades suffered, mixed around with the wrong company, and committed petty crimes.
My mom had no idea all these were happening because half the time, she was in the hospital and my teachers avoid bothering her with these news because they do not want her to experience additional stress. But finally, I was arrested by the police for shoplifting. I could never forget the look on her face when I saw her while she was bailing me out. Beneath the wrinkles, paleness and tiredness on her face, her disappointment was apparent. She was weak, in a wheelchair and was supposed to go for her usual check up that day. But she missed it because of me.
I realised that I was being selfish the whole time. I realised that I was thinking about myself and my own suffering, without realising that my mom was the one who was suffering the most. Additionally, my sister was starting to be influenced by me because her teacher called me and informed me that she had skipped school without an MC or letter.
I soon picked myself up, took my N levels, and scored well enough to take the O levels. My mom's condition started to get better as well. I stopped hanging out with bad company, and my teachers helped by giving me tuition in their free time.
I took my O levels. I had the goal of going to a good JC. But it was my second last O level paper, when one of my teacher approached me after the end of the paper. She told me the news. That my mom had passed away while I was taking the exam. My whole came crashing down again.
With that news, I could not focus on my last paper the next day. I did not score well enough to go to the JC I wanted, and ended up going to Poly. My life, once again, went downhill. It felt pointless to keep trying. It felt like I tried my best to be good, yet life just was not fair towards me. And with my mom gone, I did not have the motivation to study anymore.
While waiting for the Poly semester to start, I went through one of my darkest period. I was contemplating death every single day. There were some nights when I was very close to going through with my suicide plan.
What got me out of it was during one of those suicidal nights, I entered my sister's bedroom to put a note on her desk. She did not hear not hear me coming in, and I heard what sounded like crying noise. You see, my sister never cried or showed much emotions. During my mom's funeral, there was no expression on her face. But that day, hearing her cry, I realised that she was hurting just as much as I am. And if I were to die, the pain I experienced would not just end with me. It's be transferred to my sister, and that was the most selfish thing I could do.
I started to have a new motivation in live. My sister. I pulled through poly, juggling with a part-time banquet job during the weekends. And just like that, I made it through poly, and into university because of my good grades.
We had some help from our relatives, but it was never enough for us. My sister needed school supplies, and I needed textbooks and to pay off my poly tuition fee. My social life was not the best, because I could not keep up with going out with the clique every week and spending money with them when they choose to eat pricier food. Fortunately, I made a few good friends who understood my situation. They always opt for budget options, or insisted on paying for me. One of them had a sibling who was studying in the same secondary school as my sister and was a year older, and he gave me his sibling's old textbooks, supplies and even school uniform.
There were times when I felt like I was going downhill again, but when I looked back at how far I came, I find the courage to continue on. From someone who was arrested for shoplifting, to someone studying at NUS.
This year, I finally graduated. I was not the best in my cohort, with only a second-lower class, but it meant a lot that I graduated.
On my graduation day, I did not attend the ceremony. Instead, I went to the place where my mom's urn was kept, in my graduation gown (I didn't care that people were staring), and stayed there while the ceremony was going on. That day was the closest I've ever felt to my mom. She always told me her biggest regret in life was not getting an education and did not want her children to meet with the same regret. I hope that wherever she is, she'd be proud.
Someday, I hope to go back to school and get a masters or phd. But for now, the best option is to find work first, because I want my sister to go through life a little more comfortably than I did. But someday, I'll make my mom even prouder.
-
#69443: https://www.nuswhispers.com/confession/69443",,2960506114019830,4593,229,1560,2019-09-12 16:40:10+08:00,2021-04-24 17:26:45+08:00
3808,5308,"I live in a one room flat above a shophouse in the geylang area alone with my mum. (Just imagine a living room sized room with a kitchen attached and a toilet). We don't have beds nor pillows, just two mattresses with clothes stacked up at the foot of the mattress. I've been wearing the same set of formal clothes for presentation throughout my 4 years here.
My mum works tirelessly for more than 12 hours everyday 7 days a week selling fishball noodles in her stall nearby. She has been doing this alone since I was 12 as my dad left around then due to large gambling debts. Both my mother and I just came home one day and never saw him return. She is the sole family member I know (as for the rest of my relatives I am not remotely close to, they look down on my mum for having a gambler husband).
Despite this, she still managed to put me through jc and uni, although we did manage with bursaries and scrimping and saving where ever and whenever we can. I'm 23 and yet to have sat on an airplane or travelled further than Malaysia.
Every holiday period and almost every weekend, I will head down to help her tend her stall, usually helping with the money side or rolling fishballs. 90% of my friends do not know this side of my life and those that do always comment that I have a hard life balancing studies and helping my mum. They don't understand but my mum has it way harder than me.
Recently during graduation, my mum took her first off day in years just to come down to nus to watch me graduate. Even though she didn't understand a word of the speeches or what I have been doing these 4 years, the smile on her face is something I won't forget for many years to come. With first class honours I'm really thankful to say it wasn't difficult to land a job (CAP matters guys) and my mum can finally retire in a few months time. I can't wait for the day where I can drive her around or buy her a proper bed where she can sleep in an airconditioned room.
Ma, this one's for you.
-
#5308: http://www.nuswhispers.com/confession/5308",,867130023357460,3461,78,324,2015-07-15 20:58:21+08:00,2021-04-24 05:46:55+08:00
8275,12175,"I was 7. Kneeling in front of the altar. Pa had caned and punished me again for stealing money from his coin wallet. I hated him.
I was 11. Pa had just bought me a new 2-wheel bicycle 3 months earlier as it was my birthday. Being the reckless, fearless kid that I was, I cycled around void decks, venturing out to pedestrian sidewalks, car parks, cycling across roads. Pa was mad when he found out, he removed both wheels as punishment. I hated him.
I was 15. My voice had just started to crack. Pa asked me, ""Why is your voice like that? Can you stop talking like a sissy?"" Pa. My voice had never changed, it's breaking and I can't control it sometimes. I felt so ashamed of myself I always forced my voice into something deep even though it strained me so much. I hated him.
I was 16. I received my O level results and I did well enough to enter most polytechnic courses and most JC's except for the top 4 or 5. Pa insisted that I went to poly, away from my friends who mostly went to JC. He separated us. I hated him.
I was 19. I had done well enough to enter the local Universities. Pa said he never understood what the point of studying so much was, that I should just start working. We were not rich enough to comfortably afford University, but not poor enough to qualify for financial assistance, just like many other families out there. He didn't want to have to take a loan. I didn't want to stop studying just yet. I hated him.
I was 20. I enlisted and worked really hard, eventually getting into OCS. In addition to having weekdays burnt already, sometimes weekends got burnt too. I saw less of Pa, and we never really talked even on Sundays when we met. My aim in entering OCS was clear: To save as much as I could in order to fund my own University education.
I was 22. I hadn't saved enough to fully fund my University fees, but I told myself that I would give tuition to make up the difference. I had applied and got into NUS before I ORD-ed. I felt a small sense of pride in achieving what I had so far. I thought nothing of Pa. I had grown up hating him over issues small and big, and that resentment stayed.
I was 25. I graduated. Pa and Ma attended convocation. They couldn't have been prouder of me. Pa had worn a proper shirt and tie, with pants. It was probably the first time I had seen him in this attire since I was born, from photographs of their wedding.
I am 30. Pa had passed on due to stomach cancer, late detection. In his parting gift to me was a short letter and a sum of money. His English and Chinese wasn't good, growing up with a mixture of dialects and Mandarin, but he wrote it in English anyway.
""_______, all my life I dont know how to be good father. Sometimes I correct, sometimes I wrong. When you younger, I only want you to faster work so I can rest early. When you pass your uni is my best moment of my life. I look at you and I think that
""真的長大了
翅膀硬了會自己飛
也不是壞事"".
This money I work very hard when you in NS. I want give you to go uni but you go work. This money you keep for you. Sorry I never love you when you younger.
Love, 爸""
This was attached with around $18,000 in cash. The envelope was passed to me by Ma shortly after Pa died. As I recollect, I was a real asshole.
He punished me for stealing money. Stealing IS wrong.
Cycling around on the roads is dangerous.
I was selfish for wanting to study in University when my family finances were so. If I hadn't entered command school of any sort, I would be struggling so badly.
Despite his crude preference for me to start working early, he had been working hard during my NS period to raise money for me. $18k isn't enough, but that's besides the main pont....
Damn it. He was a good father. And I was the asshole son.
Pa I love you. And I'm sorry that I only saw all these so late in my life, only after you're gone that I appreciate what you went through. Rest assured that I will take care of Ma.
-
#12175: http://www.nuswhispers.com/confession/12175",,926626087407853,2664,42,523,2015-11-10 23:06:52+08:00,2021-04-24 16:21:58+08:00
59741,105341,"I would like to share my eye opening experiences for the last six months working as a casual worker and the state of how said group of labourers are perceived.
Background info: I come from a privileged background and work for my family business for the last ten years or so after graduation. I haven't been exposed to much hardship with the exception of National Service and a bit of racism in my studies abroad. About 9 months ago, I had a major tiff with my family regarding the direction of our business and we decided that it would be better for me to take time off to collect myself and find my way. It was fun at first to bum around but it got boring quickly.
I read quite a bit and was awed by Einstein's experience as a patent clerk giving him new perspectives and decided to do something similar. I decided to take on any form of casual jobs for half a year with little to no commitment (so I can have the largest possible variety) - my shortest stint was one day and my longest was two weeks.
I gave myself a couple of rules to follow - no using of my car, limiting my spending to 20% of my daily wage, and not to quit no matter bad or tough the job was.
I found these jobs on FaceBook - a cornancopia of opportunities in various casual job groups.
I have worked as a food delivery rider, parcel delivery staff, pet transporter, mover, flyer distributor, general cleaner, IT crew, fishmonger, metalwork crew, AV crew, F&B staff, bar hand, food packer, warehouse operator, aeroplane cleaner, valet driver, durian opener, and a few more jobs.
It has been an eye opening experience working. The main things I noticed is that a good percentage of locals adopt an elitist mentality. Unfortunately, my family is guilty of this and to some extent, I too was. Most are very judgemental of blue collared workers and this is very prevalent in the F&B industry.
Toughest job: Metalwork crew. I had to cut metal objects to salvage profitable parts and it was extremely dangerous with sparks flying and a very dirty environment.
Most enjoyable job: Fishmonger. This was by far one of the most fun I had working as I learned to scale and cut different types of fish. It was also very interesting to work at the fisheries to see all sorts of fish(small ones to huge ones almost half a tonne).
Most interesting job: Valet driver, I witnessed plenty of older married men needing to be sent home/hotels with much younger women. Some of the dross these men say/do with their women in the car have definitely left a mark on me.
Most boring job: Warehouse operator, pretty mundane with too much repetition.
My experience as a bar hand watching guys trying to impress their dates is quite hilarious - I notice guys love to flaunt their wealth when it isn't really great in the grand scheme of things. They tend to treat the bar hands and service staff like crap to look more alpha I'm guessing? Terrible viewing.
Other 'interesting' experience include deliverying parcels to women who receive them not wearing underwear and being pretty nonchalant about it.
Distributing flyers/assisting and moving furniture from showflats to showflats for realtors was a jaded affair - I notice they tend to spew a lot of drivel to the prospective clients with little to no real knowledge about investments as a whole and only seem to care about making a quick buck. Males tend to be nicer to us, offering to buy food if we had worked the whole day without breaks. Females tend to be a bit more picky about not wasting flyers on seemingly unqualified prospects - very judgemental.
Working as an IT crew for tuition centres was pretty sad - I realised a lot of tutors are not really proficient and pretty much reading off their notes. I even noticed a few making mistakes in their lessons - quite alarming.
Cleaning flats and offices was.. peculiar. Some flats were really disgusting and I could not believe people are capable of being so gross and not able to pick up after themselves. Especially tenants moving out, woah. Some flat owners were really nice with isotonic drinks and snacks but the office ones were generally curt and snobbish. A typical HR who was in charge of us(usually middle age woman) would treat us as lesser beings and treat us as such.
Generally, people are quite condescending about lower waged workers and I even saw a few former JC mates brushing me off or being unnecessarily difficult in my experience in F&B. Thankfully, with the mandatory mask, I was never once recognised or questioned. I hope we will be a bit more gracious to people of all sorts of life - no one deserves to be belittled.
Transporting pets was truly amazing, I learned so much how the shelters are in need of help and how these animals truly need our help.
Overall, I made about $12000(close to $10/hour) in these six months and after my daily food and transportation expenses I had about $9000. I have donated this amount to the few shelters and will continue to do so.
I have learned so much for these six months that will echo for the rest of my life and have realigned my perspectives of how I should look at people and my family's firm.
A good two weeks break to decompress and time to get back to bringing our business forward and being a positive member of society.
AMA and I will do my best to reply in a follow-up post.
Always choose to be kind and gracious, it costs nothing.
-
#105341: https://www.nuswhispers.com/confession/105341",,7959005317503193,2470,143,990,2022-09-17 08:45:49+08:00,2022-12-12 01:46:09+08:00
15362,22359,"With all these stories flooding NUSWhispers recently I thought I'd post my own. A few weeks ago I was FORCED to take part in a camp. We were made to do things that I did not want to do. This went much deeper than mere peer pressure. I never imagined it to be so rabak. What makes me the most sad is that I still have another 9 more cycles of ict left
-
#22359: https://www.nuswhispers.com/confession/22359",,1104800102923783,2220,130,942,2016-07-27 11:31:06+08:00,2021-04-24 16:56:45+08:00
54176,92481,"Today, my colleague confessed to me that she likes me. Together with three other colleagues, we had dinner at one of our colleagues’ house. After dinner, the five of us had some wine and chatted for hours. I then offered to send her home because she was slightly drunk and other colleagues stay too far away from her.
During the taxi ride to her house, she started laughing uncontrollably and then sobbing. She then suddenly confessed her feelings for me. I was taken aback but I tried to remain calm and explain to her that I have a girlfriend. She said she knows I have a girlfriend and she has seen her photo on my social media. She then asked me what I saw in my girlfriend and why I would want to date such a plain-looking girl. I felt really offended but decided to just ignore her. Admittedly, she is considered pretty as she does have a few admirers at our workplace. She’s also quite nice and helpful. But today, I feel disgusted by her for insulting my girlfriend.
Just a few days ago during lunch, I was chatting with another colleague and she was telling me how envious she was of my girlfriend for having such a good boyfriend like me. She was complaining to me about how stingy her boyfriend was because he rarely treats her to a meal. In contrast, I would often take my girlfriend to some nice restaurant. But honestly I never saw myself as a good boyfriend.
Even during gatherings with my girlfriend’s family, her mom and older sister were always saying how my girlfriend is so lucky to have found a great boyfriend. I feel flattered and happy to hear such words but I still think I’m just an ordinary guy.
The people around me always thought that my girlfriend is the lucky one to have found a boyfriend like me but honestly, I think I’m the lucky one. I met my girlfriend when I was in NS. She was a fresh poly grad, working in a big firm. During BMT, she would travel from Jurong West to Pasir Ris with me whenever I have to book in, and then travel back to her house in Choa Chu Kang. She would always offer to treat me to a nice meal at restaurants because I once complained about the food in camp.
When I was in university, she would always accompany me to the library because I wanted to study. No matter how bored and tired she looked, she would just quietly sit there for the whole day while I do my studies. I remember when my second-hand laptop was spoilt, she offered to buy a new one for me.
When I graduated and started going for interviews, she accompanied me to every interview and encouraged me whenever I failed my interview. And when I finally found a job, she bought me all the formal wear and my first ever brief case, which was super expensive. She said this brief case would be more suitable for me than my 4-year-old sling bag that I bought from Giant.
I remember I once walked past a shop selling expensive watches, I stopped and glanced at the watches, saying how cool those watches were. The following month, she surprised me with the watch I liked, which then became the second watch in my life, the first one being my Casio digital Army watch.
Every morning, she would travel to the CBD with me just to spend more time with me and then travel to her workplace in Queenstown. And every evening, she would wait for me at the cafe below my office while I OT until 9pm.
She works in a big firm but she doesn’t earn much. Probably an average poly grad pay. She never ever buy anything for herself. But she bought so many expensive things for me. She sews her clothes and shoes whenever they are torn. But she would buy clothes and shoes for me whenever mine gets old.
I’m not sure why everyone thinks that she’s lucky to have me. I’m damn sure I’m the lucky one and everyday I feel like I’m the luckiest guy in the world. And I don’t care if my colleagues think that she is just a plain-looking girl. In my eyes, she’s the most beautiful girl in the world. People may think that most guys are shallow and only care about looks. Actually, guys just want a girl who would be there for him.
-
#92481: https://www.nuswhispers.com/confession/92481",,4607540892649669,2206,197,1431,2020-11-15 03:10:22+08:00,2021-04-24 19:15:14+08:00
32767,51313,"#51306 When I was an undergrad in NUS a few years ago, I used to spend <$8 a day for all my 3 meals. Most of the time, it was $1 pau for breakfast, $3 cai png for lunch and $3 chicken rice for dinner. To get by, I used my NS savings and did full-time/part-time internships. My course was 4 years but I couldn't afford to waste another year so I did 6-7 modules every semester to graduate 1 year earlier and not pay the extra course fee. Back then, I was one of the few who did not even own a data plan (costs $42 a month), because that was too expensive. I only started using a smartphone when I was in year 2? I think that was the year M1 had some smartphone rental with a $15-20 plan, at the end of 2 years, you had to return the phone.
My course was CS, and to be honest, it wasn't easy. I wasn't the brightest student, my PSLE score was only 133. But I am sure as hell going to work my ass off. While it took others 20 hours to complete Dr. Steven Halim's practical assignments, it took me a week. That plus a few software engineering projects in other modules, plus my internship commitments, I barely had any time left to sleep.
Through it all, one thing remained constant in my life, I, absolutely, completely, love computers. There is something about the way we put 0s and 1s and organize it into beautiful 3D graphics or complex data models, makes me fall in love over and over again. It's like an endless orgasm. Ha ha.
My point is, it kinda sucks sometimes to see others driving their father's car, texting on their pretty iPhones and drinking Starbucks, but let's face it, life is unfair. It will never be fair. Not today, not tomorrow, not a million years from now.
So what if others have a ""better"" life than you? It is all in our minds. We should do what we love to do and be thankful for the little things in our life....
Your mother yelling ""AH BOY!!"", ohh what a beautiful sound. The sweet smell of burning hell notes during 7th month. Church bells ringing early in the morning. Old man at TPY playing the harmonica. All these things are so wonderful it makes my heart throb for joy.
We are in Singapore. We have relatively good infrastructure, no natural disasters, corruption-free (or haven't caught yet) government. Our hawker food is cheap & good. The weather in Singapore is wonderful. There is no snow, so we don't need to pay for heating bills. It is hot, but you can go to the library or shopping mall for free aircon. Alternatively, you can mediate and not sweat in the slightest. Water is clean too. Our kids are in school. The adults have jobs. Everyone can get a house even if it is just for 99 years. Students are not rioting but debating online.
TLDR; Life is unfair. It will never be fair. Live and let live.
-
#51313: https://www.nuswhispers.com/confession/51313",,2092469330823517,2169,75,988,2018-08-16 10:40:04+08:00,2021-04-24 17:24:29+08:00
40227,63311,"Honestly, what's with the recent truckload of guy having to pay for girl and all that bullshit.
My story - Singaporean girl here, met husband in NUS. After 1 yr of dating, we decided that we were serious abt our r/s and started discussing plans for our future (marriage, kids, pre wedding photoshoots, honeymoon etc). We knew we needed a lot of money to make things work and we weren't rich. So while all our peers were partying away, going on couple holidays/staycay/getaways and grad trips; we were there giving private tuition and working our asses off during summer hols. We set up a joint account where we would contribute our hard earned money in. Of course, we had our own personal accounts but it weren't significant. We would scrimp and save wadever we can to make our dreams work. At e start of our r/s, we went dutch with the occasional presents for each other. After confirming that I'm the one for him, he decided to pick e tab most of e time (I'd insist on paying sometimes if its too expensive). As a result, I understand that he will not have much savings compared to me. Yrs later. He grad a yr earlier than me but didnt managed to get a job immediately. As such, he took up waitering temporarily to earn some money - determined to marry me when I grad.
When I grad, I got a job immediately, earning more than him (even after he changed job from waitering to desk bound). I paid for all our dinner dates. Our wedding - we copaid for our rings, our banquet, our local and overseas pre wedding photoshoots and our honeymoon. Many of our frens were shocked as to how we did it in e year of my graduation; thinking we had financial help from our parents when we did not. Its amazing how 2 of us even saved at least 250k before e age of 30.
Fast forward till today. We own a condo and have children of our own. I paid double e amt my hubby paid for our condo but I don't draw the lines with him and say hey, you're the man, you're supposed to pay for that roof over my head or I don't wanna marry you. Nah. We work tgt as a team. We support each other when we can. And now when I'm no longer working to care for our children, he pay for all the bills to support our family.
Moral of e story is - if you love somebody wholeheartedly and see a future with them, work tgt as a team. Make it work. Don't be so calculative. Dreams take flight when you work tgt, not thrash each other.
-
#63311: https://www.nuswhispers.com/confession/63311",,2647481091989002,2094,285,1191,2019-05-16 01:01:32+08:00,2021-04-24 18:12:03+08:00
56677,98584,"To those who felt that you are at the stage if talking about settling down instead of breaking up with your boyfriend or girlfriend who doesn't seem to be the right one, trust me, it's never too late. It's better to break it off now instead of marrying the wrong one.
I am a 过来人. I was 28 (F) when I broke off with my then bf of 3 years. We already talked about marriage, applied for BTO, planned for our future wedding dates, etc. Everyone thought that we will definitely get married one day. But others don't see what's really happening between us. He is a smart guy, with high paying job and constantly given praises by people around him. Basically he is like the Mr Perfect in everyone's eye. He was the one who chased me. When we first got together, we felt like we complement each other. Eventually, it started to become me chasing after his perfection. Like because he is this perfect, I need go be as perfect. And no, he didn't tell me it is ok to be who I am cause that's who he really loves, he expects me to be as perfect as him. He finds me watching drama, reading blogs all these as wasting my time away (PS: I only do it once I'm done with my work). He always talk on the phone about work and when I commented that I didnt get enough attention from him, he said at least he is doing something that earns money and not laze around. But I was in love. Afterall, he is the Mr Perfect and everyone tells me how I should not lose him. Then it started to take a toll on my mental health, crying to sleep everynight cause I felt like I was never good enough. I communicated the issues with him and he didn't feel like he has any wrong. Eventually, we decided to go on our separate ways, and gave up on our BTO.
The rs was so painful that it took me 2 years to decide that I need to start opening my heart again. Went on some dates (dating app) and went on a few dates with those I thought we have chemistry when talking via app but ZERO chemistry when we met irl.
At 33 years old, I met a guy via mutual friend. We hit off instantly. I really enjoyed talking to him. He is not perfect.. not well educated, earn less than me, slightly shorter than me, few years younger than me. To put it bluntly, people would say he ""pick until gold"" if I ever agree to be his gf. I shared with my friends that I was interested in him and none of my friends felt that we can work out cause he is too different from my previous Mr Perfect style. But I went ahead to agree to be his gf within one month after knowing him.
And fast forward, I am 37 year old now. He proposed to me after we were together for only 3 months cause he felt like I am the one for him, just as how I also told him I felt like he is the one for me. We got married 10 months after getting together. We are going to celebrate our 3 years wedding anniversary soon and our first son came out just last year.
Couples can be together for 10 years and still breakup while couples who are tgt for 10 days could meant for ever. Length of rs does not determine how successful the rs will be. It could be 10 years old quarrel or 10 months of working towards being one. So it is never too late to break up with the wrong one. I thought I was gonna be single for life but my soul mate appeared when I was no longer looking. It may be late but it's better than suffering all my life being with the wrong one.
Don't ever decide your life based on society norms. Do what you think is best for you and your mental health. Ask yourself what makes you happy and do all the happy things when you are single. Share those happy moments when you meet your future soul mate down the road and eventually share more happy moments when you find the one.
Jiayou!
-
#98584: https://www.nuswhispers.com/confession/98584",,5697454900324924,1635,106,1378,2021-07-07 20:07:38+08:00,2022-04-07 19:51:24+08:00
