no,cid,text,image,pid,likes,comments,shares,post_time,scraped_at
60082,106059,"To #106053
To the op with a gambling boyfriend of 2.5 years.
I used to have a boyfriend who gambles. I left him after 2 years as I could no longer see a future with him. And the reason was not just about the gambling but also a collective pattern in his behavior that made me decided to leave him.
He is with friends with people who gamble. His family members also gamble. They moved houses a few times because of loan sharks. He told me he hated his dad for gambling and making his mum suffer and being forced to work 2,3 jobs to keep the house running. They gamble in hundreds and thousands per session depending on the game. He has a bad temper but has never flared up at me in those 2 years of being together but I have seen him get angry at his friends and family and it was an ugly side of him. I wouldn't dare to make him angry. He uses and abuse his weaker friends and sucks up to friends who are more powerful and richer than him. I hated the way he treated service staff. He uses index and middle finger to pass card or cash. Soon I realised his entire family member does that so it's a learnt behavior.
I spent hours and hours watching him play. Some days he lose some days he win. He plays with people he hate and also with people he like. Sometimes someone will accuse him of owing them $500 or $1000 when he don't even remember and he would just pay even when his bank account is left with $50. When he wins he splurge and treats everyone for a meal or drinks. He gambles not only the weekends but also during weekdays after work. Sometimes I pay for meals, dates and transport when he is broke. He has never tried to borrow money from me and I've never offered.
One day I just had a revelation. I want out and I started to spend less and less time with him. I got no balls to tell him to his face that I do not want to become his mother and suffer. The week when we broke up he took a while to realise why I left without me saying the truth. He told me he quit gambling but I never believed him.
This happened in my early 20s. 2.5 years is enough of a time for you to decide if your bf is worth sticking around for. From the way you talked about him, I think you know the answer already. Gambling aside, you would not want a gaslighting husband. Good times everyone can be nice. Don't be blinded. Look at everything as a whole. What matters more is during the hard and bad times, what does he choose to do?
Your future children can't choose who their father is but you can. Choose wisely.
-
#106059: https://www.nuswhispers.com/confession/106059",,8271243452946043,370,49,22,2022-11-22 07:30:02+08:00,2022-12-12 01:46:46+08:00
60036,105979,"My boyfriend in Meta got layoff.
I was promised a great future with him when he secured a job at Meta at SV. We were in talks about whether I shld join him in California and live the American dream. However all this came to a halt when he phoned me last night sayin that he's one of the 11% that got laid off. A part of me died. He told me that he'll look for another job in the states so that we can resume our plan. Given the current economy, I doubt that is possible and I suggested him to return to SG which he outright refuse. He claimed that SG is not as prestigious as SV in terms of tech which I beg to differ as beggars can't be chooser. I'm at my wits end now and I'm unsure of what to do. He's childish and immature. The only things he loves to talk about is tech stuff which I find unromantic and boring. He stan Muck Zuckerberg & the meta-verse so much that I find him delusional. I am contemplating on moving on from this relationship and finding someone who's more realistic.
Call me a good digger if you want but I can no longer see how the relationship can survive just like how I'm misled by him into thinking that terra luna would survive.
-
#105979: https://www.nuswhispers.com/confession/105979",,8219944498075939,225,299,76,2022-11-11 12:18:44+08:00,2022-12-12 01:46:50+08:00
60022,105945,"people think body dysmorphia can only happen to females, but it can happen to males too
from 2018-2021 , i was super focused on my body. i looked at the fitness youtube video and i trained 5-6 times a week at the gym except for circuit breaker. my six packs became very well defined. even my calves are great. i prob can give my singapore a run for his money. but i had to have a clean diet and gave up my social life. the hardest part was food
breakfast - plain oats, 4 hardboiled eggs, 2 tomatoes for breakfast
lunch - i would pack food to school. few scoops brown rice + generous amount of steamed chicken, cucumber slices
dinner - few scoops brown rice again, generous amount steamed chicken, 1 fruit
supper - 2 blocks of plain tofu, another tomato
but deep down i wasnt happy. i craved for hotpot. i craved for midnight prata/thai food supper session with my friends
so i gave in. and i joined my friends for supper and eight month later i am a much happier person. i still can do 15 standard pull ups (full elbow extension, and chin clear the bar by 1 inch at least). my body fat has gone to a more normal 20%. i no longer feel hunger pangs. i gained 8kg. but every ounce is worth it.
always remember looks is external. happiness the most important. plus i feel more energetic now
dont let the instagram models (males or females) cloud your judgement. you have a choice. you do not have to look like them. YOU can choose a happy life
-
#105945: https://www.nuswhispers.com/confession/105945",,8205194586217597,214,22,23,2022-11-08 10:22:08+08:00,2022-12-12 01:46:40+08:00
59996,105900,"Lost a friend during the Itaewon Incident. She was a nice friend to talk to.. really very extroverted. Her smiles and laugher never fails to cheer me up whenever we video called each other. She was really gone too soon. Her hopes and dreams to become what she want in the future crashed that night. When I saw the video of someone doing the cpr of the costume she wore, i knew she was gone. Whenever i was upset, she will be the person who always cheer me up and gives me advices whenever i need them. There were too many things i wanted to say to her. Even a simple ""Thank you for listening to me "" she couldn't hear it right now. We were supposed to meet next year once i finished my school for my graduation trip. Now i only could silently pray she could come back to my dreams. Or maybe when i look up at the skies finding the brightest star, that would be her shining telling me that she is fine up there. Lives were all gone too soon, so please cherish everyone and tell them how much you love them today before it's too late...
-
#105900: https://www.nuswhispers.com/confession/105900",,8177082775695445,204,21,26,2022-11-02 08:42:22+08:00,2022-12-12 01:46:37+08:00
59995,105898,"For all u A cups out there, here's some pros of being flat:
- Don't have to wear a bra with a T-shirt and no one will know
-Can lie on stomach
-No need to buy a special sports bra
-Can wear girls and guys clothes (and some times kids)
-Jumping up and down has no gravity issues
-Fewer back problems!
*Just to avoid any misunderstandings, I'm not saying a flat chest is better, but while I was growing up I had a lot of insecurities about feeling like a woman as a lot of my friends are B's and C's.
-
#105898: https://www.nuswhispers.com/confession/105898",,8177081642362225,198,106,19,2022-11-02 08:42:00+08:00,2022-12-12 01:46:37+08:00
60037,105962,"To all the boomers out there on this platform: a very big f off.
You can't justify toxic behaviour from an elder simply because he/she is an elder - especially parents. Like seriously, what the fuck is wrong with y'alls boomer brains? My parents provided for me when I'm young therefore they have the rights to be toxic towards me? Controlling? Gaslighting? Abusive?
Like c'mon, as parents you're f-ing bringing your kid into this world, you should be guiding them to a path that's BEST SUITED for them, letting them EXPLORE what they want to do with their life. Your kid has his/her own life, and their life is not yours. You've already had your own life to lead, don't try to f-ing lead your unfulfilled dreams through your kid.
Seriously, I can't stand these conservative mindsets. ""Oh I put food on the table for you hence I get to dictate your life."" Uh bitch, a big fat no? That's a basic need and pretty much a big damn consequence of wanting to have a child, not an entitlement for you to dictate your child's life.
I'd pretty much give you a big ass flick on the finger if I see y'all irl, but I can't so here's a big fat f you to all of you.
-
#105962: https://www.nuswhispers.com/confession/105962",,8224981074238948,179,135,22,2022-11-12 13:41:32+08:00,2022-12-12 01:46:42+08:00
60001,105910,"This is bothering me for a while. A while ago I was doing internship in a bank, there I met a NUS senior of my age. She's 23 just like me, I kinda have a crush on her. The thing is she has a bf who works in the same bank and she is getting married this year. The BF is 36 years old and is a senior banker. They both been dating for 2 years, when she did the same internship.
I found out later that this phenomenon is common in the bank, with many dudes around 10-15 years older than their spouse. Another intern(21) also dated one dude 9 years older because he has a car, condo and a 100k salary package.
At this rate all the good ones are getting hunted by all these rich old man. To the girls, Isn't it really disgusting to date someone almost 1.5 times older than you?
Recently I shared this thought with a friend, and she told me that if she was could find a 100k per annum dude with a car and condo, she'd marry him no matter how bad he is. Worst come to worst she could just divorce and ask for alimony.
What is this world coming to? Maybe I should go for dudes instead.
-
#105910: https://www.nuswhispers.com/confession/105910",,8186571994746523,160,311,64,2022-11-04 10:55:49+08:00,2022-12-12 01:46:38+08:00
60096,106088,"My mum is living her ambitions through me and its suffocating.
I'm a top student with a narcissistic mother. My mother married my dad when she was 20 and never had to work her entire life. She dropped out of school mid way after she met my dad who's much older and was married to him within a year and had me. My father is the one with the brains. He was the top student during his youth.
Even though my mother never worked her whole life, she didn't take care of me when I was young. I was sent to my grandparents home during the weekdays and I only went home during weekends till I started school. Even though I did well in my studies, I was forced to take tuition for every subject. My dad initially objected but caved in after my mum persisted. As time grew, I didn't mind as it's a good reason to be away from home and away from my mum.
My mother is constantly bragging about my achievements to anyone who is willing to hear and its embarrassing. Even though I'm a top student, we come from a humble background and I lived in the same place since the day I was born. It's hard enough to be looked down by the other rich students even though I'm doing better in terms of grades. My mother would embarrass me by trying to talk about me to people who didn't even ask about me. Like my cousin is only in P1 so we have a huge age gap, she would brag about how I was when I was P1 and I'm already past 20. I don't remember what achievement awards that I've collected over the years but she can name them out as though people cared. She is constantly making excuses to why she can't work because of me. As a result of her obnoxious behavior, we are not close to relatives. I am also not close to my cousins as my mum constantly reminded me that they are average students and I should only mix with people who are similar like me. I admit I feel superior to them as I'm a single child and have more attention and money spent on me compared to my less privileged cousins who had to settle for diplomas.
I can't be friends with people she don't approve of. I am not allowed to date. She knows nothing about the courses I'm doing and would always try to lecture me when she knows nothing. I'm not allowed to dress what I like. I'm not allowed a lot of things. She checks my phone whenever she likes and reads my texts. When I'm relaxing she would make snide comments if she think I've rested for too long. I've given up having a social life because she will follow me wherever I go. As a housewife she has no friends and doesn't even cook. My father and I are the ones doing the household chores most of the time. I really wish she find a part time job or meet a friend and get off my back.
I'm studying for my degree now and she would talk about her expectations of my future salary and how much she is going to get from me for all the sacrifices she ""made"" for me. Internally, I really hated the thought of taking over the role of my father to take care of her. She play games on her phone all the time. For a self disciplined person, I really dislike how she's wasting her time too.
I appreciate my father more than my mother because he was the one who did all the financial planning for my studies while my mum was only interested in when is her next holiday and when is her next branded bag coming in. I have no plans to enable my mother next time. I can't wait to graduate, move out and start my own life. Am I being unfilial?
-
#106088: https://www.nuswhispers.com/confession/106088",,8290274574376264,154,92,24,2022-11-26 08:14:41+08:00,2022-12-12 01:46:48+08:00
60010,105928,"I'm a NUS alumni and current a Senior Manager for one of the biggest IT Firm. Just last week I met guys from my batch, most of whom were hiring manager in reputable firms.
In our conversation we realize we have the same serious issue, and our solutions to that is exactly the same, but we're still not getting results.
We have a talent shortage. Our solution is high salary, head hunt and expand to non-CS people.
What we found out were the same, most of the fresh grads are not qualified for the job, cannot perform under stress, fail deadlines and leaves between 6 - 12 months. It isn't that we didn't vet our candidates, we have rigorous interviewing process, with in-person coding test, personality test and a 60-90k package for fresh grad, much more if you've xp. On average only less than 10% manage to go into final round of interview. Yet 80% leaves within the first year without producing any good results, and those who stayed on would have another offer lined up by their third year. University and GPA are poor indicator, in fact I had xp with a few poly student out performing NUS FCH but leaves due to better offer, our company refuse to pay non-degree holder more than 50k per annum. Some of the wiser among readers can guess my firm.
We also realize that many younger candidates, <5 yrs xp, has an average of 1 yr tenure but virtually same as fresh grads. Despite that many still demand high salary, we think GES is partly to blame. Interestingly, we also realized that a particular group of them were also willing to accept a much lower package for a less demanding role, I guess their xp have traumatize them. Tracking our ex employees, we realize that about half of those who couldn't handle it change to a different field and a sizable portion took easier roles.
Those >5 yrs xp is a huge mix bag but many have unrealistic expectation due to how high we're offering fresh grads. The most Inspirational case I came across was this one candidate who asked for a 70% jump from his previous salary because a particular ecommerce was listing high salary for fresh grads and he feels that he should get 20% on top of that, he barely pass our coding test with his 4 years xp. I do not blame him, the market is broken because there is just not enough talent.
To put my point across, in my company we track the progress and output of every SWE. Last year, 53% of the productivity is created by 16% of the team. All of them are in the senior or lead position, all of them are overwork and burned out. Those <5yrs xp represent 58 % of the team but only accounts for 27% productivity with one unicorn responsible for ~3% productivity. To be fair, about half of them were hired last years, they account for 7% productivity.
I don't know what's wrong with our education system, but we aren't creating talents or hard workers.
-
#105928: https://www.nuswhispers.com/confession/105928",,8191764417560614,111,36,18,2022-11-05 13:50:42+08:00,2022-12-12 01:46:39+08:00
60095,106078,"Our country's financial regulators are the biggest joke, ever. They claim that cryptocurrencies should not be for the uneducated retail investors, but look at who has lost the most money to cryptocurrency in Singapore?
The so called cream of the crop, the most educated, experienced and ""sophisticated"" investors - GIC and Temasek.
Theres so much more that our Regulators have failed TERRIBLY at when it comes to financial regulations and all they can do now is just shirk any form of responsibility and say it is not their fault. So many things, but lets just start with how our regulators pissed off CZ so badly that Binance completely banned all Singaporeans, forcing Singaporeans to use FTX which was also endorsed by a Temasek investment.
Well done, thumbs up man
-
#106078: https://www.nuswhispers.com/confession/106078",,8286667404736981,110,42,24,2022-11-25 14:02:45+08:00,2022-12-12 01:46:47+08:00
