no,cid,text,image,pid,likes,comments,shares,post_time,scraped_at
60283,106462,"I grew up in a less than privileged background. I worked super hard, because my mother told me to. She told me that if I didnt work hard, she wouldn't pay for school. That it.
I slogged my ass off, raffles, then nus medicine. I just worked hard, listened to advice from my peers, and worked. I remember failing multiple times during this process, failing, and getting up, no tuition nothing. and before you think I am bragging, I am not, I am bitter. I am bitter because I had no help during those struggles, those struggles where I saw my friends going for tuition after their fun ccas so they could get someone to catch up with them, and then off for nice holidays after each tiring semester. meanwhile I went home to a crowded home with not much.
in university, my parents didnt even understand the course I was in. They said oh wow good ah doctor. But they didnt understand the stresses I was under, how my peers looked down on me for not being able to get that starbucks every week, or eat the same meal every day (""why you always eat the same thing lol"") no one said anything explicitly, but just people started hanging out with me less... and less.
Now I have a family, small but its mine. dont really have friends from school, just a few work ones who we get teh (coffee shop) together and its surprisingly the highlight of my week. I dont want to have kids because I dont want them to go through what I had gone through.
my mum, she was probably the driving force behind why i cant quit. I now acknowledge its my trying to live up to her expectations and make her proud that I did all of this. I never once dared to show her my failures, or my struggles, or my isolation. Because I was the son she was proud of, I was important in her eyes. and so I kept the path, never once considered seriously dropping out even though I had minimal interest in this medical path.
its 2am and I have just finished a shift. I hope that someone out there reads this and learns something from it. you wil inevitably be influenced by your parents/peers/society. this is something ive learnt that cannot be avoided. but what you can do is to be conscious of it, and to try bit by bit, to integrate a part of yourself in a sustainable way, a part of happiness in your life so that one day you can find peace in the struggle that is your job/career/course.
Have empathy for the peers who seem isolated and struggling, or even acted out in school. Dont write them off as introverts or whatever. They likely just have more to deal on their plates than you do, or you have more social/economic support than them to get through your shared circumstance. Maybe say hi, share notes, or reach out to them if you havent heard from them for a while and say hey, I see you, I know youre struggling, Im going through this with you (not in those exact words but like sometimes just company helps)
one last thing, I would also like to say thank you to that one senior in school who stood by me when things were tough and that it was very meaningful and prob was the reason for finishing the course.
I try to do that now with my juniors in the hospital. Anyway goodnight
-
#106462: https://www.nuswhispers.com/confession/106462",,8545350345535351,972,86,98,2023-01-14 19:05:01+08:00,2023-02-03 12:00:14+08:00
60461,106818,"Everyone has a story, this is mine.
My dad passed away when I was a teenager. Before he fell sick he and my mom got a divorce. Their split was horrid and traumatic for me because I witnessed a lot of violent physical fights. I can still remember he held a knife and wanted to attack my mom. He swung and slammed the door into her and she let out a terrifying scream. Both of them are bad tempered and toxic towards each other. I witnessed all these when I was below the age of 10. I suffered from PTSD for years.
I remember feeling helpless and terrified whenever they start fighting. I forgot the number of times the police showed up because of all the yelling and screaming. Sometimes there's blood on the floor at the scene where they fought. This was how I remember the bulk of my childhood.
My mother is literally a crazy woman as a single parent. In today's day and age, I guess she can be called a bipolar, narcissist, borderline or maybe all of the above. She had no one to fight and argue with so she would regularly unleash all her emotions onto us, especially me, because I'm a female. When I hit puberty, she became more violent towards me. I was not rebellious. I studied hard, but she was never proud of me.
None of our needs mattered. All our birthdays were meant to celebrate her instead. Because that was the day she suffered to give birth to us. Every holiday was supposed to treat her like a queen because she deserves a break. She only cared about controlling us no matter how unreasonable and nonsensical the request is because we owe her our lives. She was not happy even when we followed her instructions. This was how I remember my teenage years.
I was always mentally preparing myself for her to explode on me. To be battered mentally and physically is the norm. There was no way out as I can't bear to leave my younger sibling alone with her. In a sense, I became a mother to my younger sibling. I fed and supported my younger sibling the moment I could because my mother abandoned all her responsibilities to 'find herself'.
She went on to have affairs with married men. Travelled out of sg for months, in the name of love. Lucky I already learnt how to cook by age 11. I remember bawling my eyes out when she left home with her luggage. I was 13. How tf do kids run a home for months without any adult? But we survived.
When her mood comes, she would go on a rampage and say we are cursed and we will grow up to lead the same kind of life like her. She hated our existence because she lost her freedom, her youth, her everything. For a while, I actually believed her that I should not exist.
Took me decades to understand why she hated me. I didn't end up having a lousy life as she expected. I found a job that I love and actually enjoy. I met someone, married and lived a totally different life from hers. I have long term friendships unlike her. All of us are leading peaceful lives now.
She is wrong about all of us.
Don't believe everything your parents tell you. They aren't always right. Never believe you are doomed to walk in their footsteps. There's always a chance to change your destiny.
-
#106818: https://www.nuswhispers.com/confession/106818",,575673277920489,579,53,58,2023-02-28 08:40:05+08:00,2023-03-15 12:00:11+08:00
60548,106994,"To #106982
The guy who earns less than 4k a month.
I don't know you. But I've met men like you. I totally get why you made such sweeping statements about women. No one likes to be rejected. I can tell you one thing. Even men who make less than 4k a month can get women. But would you reject the women who want you? You probably won't even give these kind of women a second look as you deem them as not good enough for you. It's like you're a 5/10, wanting an 8/10 and looking down at any woman who is 4 to 6.
Everyone wants the best for themselves but what do you have that the 'best' must accept you?
I'm guessing from your post, not only you do not have money, you also don't have the looks, personality or intelligence to nab the type of women you're after. So what does that leave you? Focus on what you can work on. Calling women gold diggers because you are rejected just shows you haven't learnt much about women.
If a man have enough good points but don't make enough money, some women will be willing to stay around and work together with you. Trust me, you wouldn't want a woman who will be with you just because you can earn 20k a month. Just like all people who want to have a relationship, we want someone who is willing to be with us through thick and thin.
The only advantage you have is that men have almost no expiry date compared to women. You can be 40 and still date women from 20s to 40s while a woman of the same age have to settle for a smaller pool.
But above all, I still have faith that men like you would be able to find someone one day. She may not be your first choice, she may not be a perfect 10, but I can assure you, as long as you play your part as a decent person, lover, boyfriend or husband in this partnership and help each other blossom, she can become a perfect 10 in your eyes.
-
#106994: https://www.nuswhispers.com/confession/106994",,596254345862382,563,80,53,2023-04-05 06:53:57+08:00,2023-05-04 12:00:13+08:00
61100,108189,"Regarding #108150:
There is nothing wrong with wanting to be rich. My father passed away when I was in secondary school because of a rare but curable cancer, and if we had $250,000 when he was diagnosed, he probably would not have died. He worked in construction and my mom worked at a nail salon. I have 3 siblings and we all lived in a one-bedder. I know a lot of people will disagree with me vehemently, but poverty is no fun.
I am now one year out of medical school and my goal is to give my family a better life. 
Believe me when I say I understand fully that money will be less than useless in death. To me, making money has never been about what I can spend it on. Money will enable me to be a safety net for my loved ones.
Buying unnecessary things, traveling, paying over the top for a meal, I have never quite understood the appeal of such things. Not that I ever could afford them in the first place. 
My best friend with whom I went to Hwa Chong grew up not too far from where Goh Chok Tong lives in Bukit Timah. He never spends more than $5 on a meal. It puzzled me in the beginning but then he revealed to me that he’s not being intentionally frugal he just found it difficult to justify how a $20 plate of chicken rice is 4x better than one he can get for $5. Today he is a Ivy League graduate who is in line to take over his father’s business, but he is still the same guy who wears washed out t shirts, takes the bus, and eats $3 cai fan whenever we do meet. 
When I was in medical school, I met friends from upper-middle class families who were as frugal as I am. It was only surprising how common they are, people whose parents are specialists, lawyers, businessmen who are more humble than a blade of grass. 
I’m not saying it’s wrong to live your life to the fullest. How anyone wants to live their life should be their prerogative. But I think if you want to mitigate the regret you will feel if you died prematurely by ignoring the fact that the vast majority of us will probably live as long as the life expectancy seems to suggest (84 years), then I think it would be a mistake not to make preparations for those ages that you will no longer be productive. 
Lastly I just want to say this, seeing the world can be a great experience, but the same critique that you can’t bring money to the grave can also be said about your memories. You bring nothing away because you simply cease to exist. People who obsess over money aren’t all shallow and materialistic. Some of us need it to pay for a better life for the people we care about.
-
#108189: https://www.nuswhispers.com/confession/108189",,723652053122610,500,27,72,2023-11-11 22:37:19+08:00,2023-11-24 12:00:10+08:00
60410,106731,"Today will be my last day in Singapore for a long time.
This is my (33M) first time posting on NUSWhispers so do forgive me if my formatting looks weird ah. Growing up I always wanted the Singaporean Dream, to find a nice girl, get married, have kids, BTO in a decent neighborhood, etc. But life is unexpected and I found myself more and more detached as time went by - let me just share why.
One of the first wake-up calls was when I was discussing getting a BTO with my ex. When we actually looked at the figures, we realised that if we wanted to balance saving for old age and paying off loans, it would take a good couple decades to pay off everything. Renovations, furniture, etc... the figures added up and it looked really daunting. For us folks with a more humble background (3-4k take home), this was a subtle reality check- at one point we looked at our finances and decided with heavy hearts that we might not be able to fulfil our dream of having kids before 35. It was during COVID that our relationship was fraught with more financial difficulties, and we parted amicably.
The pandemic was a double-edged sword. I managed to keep my job, but the workload only got worse even though I was working from home. I was at home, there but not there. I believe I can speak for almost everyone in my age group when I say that we all became jaded and upset with our lives and our jobs during that period. The rat race only intensified for my colleagues and I, and I kept asking myself- is this the Singapore Dream?
During that time, I was dating actively on Tinder. I found that many Singaporean girls are just too similar to each other, and in a fashion that wasn't to my taste. Yes, Singaporean guys only hike and gym. But Singaporean girls always have the same movie quotes or some random MBTI/Horoscope sign on their Tinder profile. They have the same interests and conversations. Political views were never diverse- in fact, many girls don't think about politics, as it isn't their interest. I don't think we can blame anyone for that- Singapore is just too small, and lacks space for us to explore hobbies and interests. We all end up liking the same stuff, watching the same shows, and we all end up feeling that a trip to Don Don Donki is an adventure. But after breaking up with whom I thought I would spend my life with, I felt like I didn't want to lower my bar anymore.
I had a friend who went to Israel during his NOC days and stayed there afterwards for his work. I visited him there once the pandemic died down, and he introduced me to a friend of his whom we hit off right away. I have to say, when the folks in Israel talk about equality, they mean equality. She laughs at the Singaporean girls who say that females shouldn't need to serve National Service. She refuses to be stuck in a rat race and chooses to spend her limited time in her 30s taking care of her ailing parents. She is refreshing, unlike any girl whom I've met before in Singapore. I was smitten. The months flew by, and before I knew it, I had already made plans to join her there. I have gotten a job offer and I will be flying towards Israel tonight.
I will be moving there to pursue a new way of life, a new job and hopefully a new place to stay until my old age. I will miss the small things in Singapore- the efficient MRT, my favourite Saizeriya (yes, maybe this is the reason I was dumped hahaha), the top quality Roti Coin at Kembangan MRT. But I think that this Chapter of my life in Singapore is at an end. I look forward to my new life in a new place!!
-
#106731: https://www.nuswhispers.com/confession/106731",,568123762008774,486,80,30,2023-02-17 12:27:10+08:00,2023-03-03 12:00:12+08:00
60318,106546,"My dad is a wildly successful business owner with a tech recruitment agency with operations in New York City and San Francisco, and a net worth in the tens of millions. We live in a bungalow in Bukit Timah. He always told me and my older brother that we should never aim to be a corporate slaves because if one were to commit to working hard for anyone, it should only be for ourselves. I have been told this multiple times for nearly 30 years of my life. He is also of the opinion that people who strive to do very well in school and for their company, will rarely create life-changing wealth, because they are too socialized to doing well for others.
I have done well in school. I went to the best IP school and I graduated FCH from law school. Near the top of my cohort. I then got a masters from Cambridge, where I was also near the top of my cohort. Now that I’ve gotten a big four law job, I feel that my life is comfortable, I make good money, my bosses love me, and I feel no incentive to make it on my own. I was even told in passing that if I keep up my work I could make partner one day.
On the other hand, my older brother is a bioengineer, didn’t do that well for A-levels, graduated from the University of Michigan and then UC Davis, quit his pharma job to start an agricultural technology company in California with four of his friends from college that recently fund raised at an 8-figure valuation. Recently there was even an acquisition attempt that was rejected. Needless to say my dad has started to overwhelmingly favor him over me. He went to the same IP school as I did he was just very lazy about schoolwork.
I have a weird upbringing in that I used to bring home great grades from school and my dad was never impressed. My brother is a tinkerer and he built a PC at the age of 14 and back then my dad couldn’t stop bragging to relatives about it. At 16 he wrote a password manager on iOS that made a few thousand dollars in its first year and I literally have not seen my dad so proud about anything that I’ve ever done before. Not even when I was in the Humanities Programme and ranked 3rd on a literature block test in my JC cohort of 1000 people.
One thing he has never done is gave me explicit instructions to do anything. He has always believed in giving us a lot of freedom to try things and to fail. What affects me deeply is his unwillingness to show any regard towards those who are not inclined to challenge conventional life goals. I once overheard a conversation between him and my mom in the bedroom after he showed absolutely no reaction when I ranked first in my sec 2 class. He told my mom, “all he did was work very hard studying to do well on an exam, what’s so special about that?” That hurt me deeply. He has this deep distaste for what he believes to be a “typical Singaporean philosophy”—do well in school, get a good job, promote, make some money, retire. Which I frankly don’t know where he got it from since he also went to Raffles College, and he also has a degree from Cambridge.
I respect him greatly and I just wish to get some approval from him. I’m just not an enterprising person by nature. I find it odd that someone would look down on people who do well academically and aim to do well at their jobs. If my brother’s startup hadn’t been an immediate success he would have been working for no pay and no reward for 5 years. The amount of money I saved in the past 3 years alone gets me 80% of the way to making a downpayment on my first apartment. There was no risk involved. If I keep being on this trajectory I’d have more money than I know what to do with anyway. I honestly don’t need anymore than $5 million to retire comfortably.
I don’t hate my brother. I’m incredibly proud of him even though I used to not be able to stand it when his exam was literally 24 hours away and he’d be twiddling his pen in the living room watching anime. It always seemed to me that he was squandering his talent since I know him to be very intelligent. He learns things ridiculously quickly. Nevertheless I think the world values all sorts of people and I am incredibly happy that he has the creative energy that startup founders often share. I just don’t understand why my dad values people like him and not people who can really take an instruction and deliver the best work.
-
#106546: https://www.nuswhispers.com/confession/106546",,8597035097033542,435,207,137,2023-01-24 23:28:23+08:00,2023-02-12 12:00:13+08:00
60372,106655,"Don't mind my long story, but this is for all the current NUS students who feel overwhelmed and feel like dropping out.
My name is Mei Ling and I am a 22-year-old Chinese female studying medicine at the National University of Singapore (NUS). My journey to becoming a doctor started when I was just a little girl, watching my grandmother struggle with a chronic illness. I was struck by the power of medicine and the difference that doctors could make in people's lives. I knew then and there that I wanted to become a doctor, to help others the way that my grandmother's doctors had helped her.
Growing up, I was a top student, constantly striving for excellence in everything I did. I was driven, ambitious, and passionate. So, when it was time to choose a career, medicine was the natural choice for me. I was determined to become a doctor and make a difference in the world.
But the journey to becoming a doctor has been far from easy. The Singapore education system is known for its high standards and intense pressure, but in the field of medicine, it's even more grueling. Every day feels like a race against time, with endless hours of studying, assignments, and exams. The competition is fierce, and the expectations are sky-high.
I used to love going to university, soaking up knowledge and expanding my horizons. But now, the thought of stepping foot on campus fills me with dread. I often find myself lying in bed, staring at the ceiling, and wondering why I am even there. The constant pressure to succeed has taken a toll on my mental health, and I feel like I am drowning in stress and exhaustion.
The constant comparisons to my peers only add to my stress. It seems like everyone around me is thriving, while I am just struggling to keep up. I have lost my sense of identity and my confidence has taken a hit. I used to be so sure of my path, but now I question everything. I often wonder if I am even cut out for this field, and if I will ever be able to meet the expectations placed upon me.
I have considered dropping out of NUS countless times. The thought of not having to worry about grades and expectations is incredibly tempting. However, I know that quitting is not the solution. I fear that it will only add to my feelings of failure and regret. I fear that I will look back on this time and regret not pushing through, not fighting for my dreams.
Despite my struggles, I am determined to find a way to overcome this burnout. I know that my passion for medicine and my drive to make a difference are still there, buried under the stress and exhaustion. I am searching for ways to rediscover my love for learning and regain my sense of purpose.
I have started seeking support from my professors and peers. I have also taken up mindfulness practices, such as meditation and yoga, to help manage my stress. I have realized the importance of self-care and have started setting aside time for myself to recharge and do things that bring me joy. Whether it's reading a good book, taking a walk in the park, or spending time with friends and family, I have learned to prioritize my well-being and prioritize myself.
I am slowly but surely making progress. I am beginning to rediscover my love for medicine and the reasons why I chose this path. I am regaining my confidence and finding my voice. The journey will not be easy, but I am determined to overcome this burnout and come out stronger on the other side.
I refuse to let the expectations of others define me and dictate my future. I am ready to take control of my life and forge my own path in the field of medicine. I am determined to become a doctor and make a difference in the world, on my own terms.
So if I am trying, you all can too!
-
#106655: https://www.nuswhispers.com/confession/106655",,559957646158719,420,37,29,2023-02-05 23:43:35+08:00,2023-02-21 12:00:16+08:00
60413,106739,"Sayonara Singapore.
I came to Singapore 15 years ago, thinking of making Singapore my home, as it came on top choices compared to other countries, such as US, Australia and Canada. I have studied here and meet my wife here and had my baby here, however Singapore had a different plan. I am a PR for more than 10 years and they are not ready to give my wife a PR even though she has studied here and been here almost same time as me and they rejected application my wife's and my child's PR. So HDB is out of choice. We both make a combined income of 10k+ but more and more money is squeezed out of us. Looks like Singapore Values free money from China and Hong Kong than integrating locally trained people.
At present our house house hold expenditure is more than 80% of our income and our life style is just average, so you can earn and have a decent life in Singapore. But we feel we are just Surviving here and not really living. We are not evening talking about luxury here like car, condo etc. Just a basic life. And it's same for my Singapore friends but slightly better because of HDB. In general, Singapore is becoming a advanced society with surviving people.
What I see from Govt plan is either you are super rich or under 3k family income rest all will just be rich on paper but poor in real life. All my class mates (locals) have already left Singapore and I didn't listen to their advice to pack up 10 years ago. Now, I am Surviving. When I tell about these things , most locals will complain you can go back where you came from, but if we keep having such mentalities Singapore will become next Japan.
Right now, govt is happy to collect millions from foreigners ABSB and giving $300 CDC vouchers to keeps locals mouth shut. So, till govt doesn't prioritise welfare of people, Sg will be millionaires zombie land.
-
#106739: https://www.nuswhispers.com/confession/106739",,568124432008707,403,212,72,2023-02-17 12:28:33+08:00,2023-02-28 12:00:16+08:00
60769,107522,"It's tough to be a guy in SG.
Girl don't want to date shorter guy = Pls respect her preference
Guy don't want to date overweight girl = Eww, you should look at the inside, not the outside. You shallow sia
Girl want a guy who can lead and take charge = It's her preference
Guy want a girl who will submit to him and let him lead = Creepy sia, why must she be submissive, you can't handle an independent strong woman???
Girl sets boundaries in relationship = Yes! Boundaries are important!
Guy sets boundaries in relationship = Don't be controlling can? You insecure ah? Be more confident.
Girl's academic and workforce progress = Feels good to be working and earning an income!
Guy's academic and workforce progress (after 2 years NS) = Cannot la, I want a guy who already have stable income. He at this age still in uni somemore... Oh wait what? Oh yeah almost forgot guys have NS. No wonder.
Girl wants to date an older and mature guy = Her preference
Guy wants to date a younger youthful girl = Creepy sia, you feel intimidated by girls your age ah?
-
#107522: https://www.nuswhispers.com/confession/107522",,645273487627134,295,116,102,2023-06-25 11:17:21+08:00,2023-07-14 12:00:12+08:00
60534,106967,"Exactly 1 year ago, I wrote a confession here. I shared about dating a guy who earned so much less than me, and I had concerns with that. At that time in the comment section, I got bashed a lot.
Anyway I took the feedback, I went ahead and agreed to be his gf. Today, we have broken up for 4 months. The reason for breaking is (again) because he earned too little, and therefore his mindset was too different from mine when it comes to financial goals and spending. I also find it was too hard to feel happy when I had to keep hearing him complaining about paying for dates (to clarify, most of the time we split 50/50, sometimes I treated him but when it was his turn, the complaints came out). On top of this, with a humble financial background also comes very uneducated behaviors (for example, being mean to family members or cruel to animals). Not saying it is the case for all who earns less, just saying it’s a common risk.
Hence, for those girls who feel alright dating down, good for you. I can’t. I’m not demanding to be treated like princess here. Thinking back on how I was bashed and advised to not be materialistic 1 year ago, I just feel bitter. How women are often looked down on even for asking for just a little bit of fairness in relationships.
Recently, I’ve started dating someone who earns more. It feels good that he is classy and willingly picks up the bill most of the time (although I still insist to pay for some to maintain 50/50). So I’m not in for materialism but pointing out the financial capabilities speak something.
-
#106967: https://www.nuswhispers.com/confession/106967",,593013232853160,295,127,26,2023-03-30 07:29:29+08:00,2023-04-14 12:00:15+08:00
