no,cid,text,image,pid,likes,comments,shares,post_time,scraped_at
59599,105064,"I’m currently a year 1 student. My gf and I have been together since secondary school. We alr planned to get married next year when she graduates from university. She has weak immune system since birth and has been in and out of the hospital. Recently, she was diagnosed with terminal illness with low survival rate. Suddenly I lost all motivation in life. I don’t even want to go to school. To add this on, Her family is asking me to move on from her but I can’t do it. The reason is because they do not want my marital status to be widowed after their daughter pass on.
Life is so fking unfair. I hope all of you in a relationship will cherish each other and don’t do things that you will regret. Enjoy and spend more time together. Work out any arguments before it is too late.
-
#105064: https://www.nuswhispers.com/confession/105064",,7870947329642326,494,78,332,2022-08-29 00:32:49+00:00,2022-11-27 20:01:34+00:00
59530,104917,"I'm currently dating a teacher for about 2 years, who is 3 years into the job (after PGDE). While we really love each other and are serious about one another, I'm a bit uncertain about our future together due to her workload and commitment to work.
Here is a sample of her average day:
Wake up at 540am
Leave house at 630am
Reach school by 710am
Teach classes till 130-2pm
CCA/ remedials/ meetings/ misc things till 530pm, leave school
Dabao, Reach home at 630pm
Eat dinner and chill to 8pm
Marking from 8 to 1130pm
Shower, etc, till 1230pm
Catch up on emails till 1am then sleep
So based on that, she works maybe 14-15 hours every weekday with just 4.5hrs of sleep and a good day every weekend just to catch up on work that couldn't be completed and lesson plans. Based on her salary, it's just ridiculous how much she has to work for that - Retail and F&B workers are better paid hourly than her.
I've been getting into fights with her and telling her that her lifestyle and is unsustainable as it'll lead to big burnouts and her health will suffer. On the flip end, she says that I'm not a teacher and I'd never understand her line of work.
Also, I realised that a lot of her teacher friends (female), are single well into late 30s and 40s - which I guess its due to their teaching lifestyle. On the flip end, most women I know from my line of work (private) are married by their late 30s.
I sincerely hope MOE can do something to lighten teacher's workloads. While that is wishful thinking, I'm wondering if I could get any advice on how to move forward...or move on.
Frankly I although I love her a lot, she had made it clear that her priority is to be a good teacher. So at the back of my mind, there is always this feeling that she loves teaching more than me.
Also, although we both agreed on having children, based on her workload, I don't see how we would be able to manage as I'm afraid she'll leave majority of the child rearing to me while she continues her passion. My job is way less tiring than hers and honestly I'm earning more than double of her - and in order for me to climb more, I need her to do her fair share of child rearing. I've mentioned to her that if we got married, I'd like for her to take a step back from her overloaded schedule and this was utterly shot down and more quarrels ensured.
So now I'm at a crossroads - should I push on and try to make things work, or try to move on to find someone who able to be more family oriented?
-
#104917: https://www.nuswhispers.com/confession/104917",,7811378618932531,432,437,276,2022-08-16 14:10:48+00:00,2022-11-16 11:07:52+00:00
59415,104714,"I'm with my girlfriend for 3 years. She's been bugging me to marry her and its really starting to stress me out. I didn't tell her I actually have a 6 figure savings accumulated from my deceased father's will on top of my own assets and let her think I'm a pauper. She even gave me money once when she thought my family finances was tight but I rejected it. A part of me decided she is the one after she did that.
My mother told me to never flaunt our wealth so as not to attract the wrong people so I guess I start to feel funny about money since young. We mostly go to hawkers and only visit restaurants when there is a special occasion like birthdays or Christmas. Our dates are usually very low costs. I like that when the weather permits, we have the habit of alighting earlier from the train or bus and spend more time walking together and talking to reach our destination.
I lied to her that we can't afford a flat yet and she showed hand me her savings and say she can and kept asking me not to waste her time in a joking way. Her family is pretty well to do. Her dad even gifted her a car when she got promoted but she sold it as she's not confident driving.
The problem I have with my gf may be insignificant to some couples. I don't really have any major red flags or issues about her. Even if she's not my gf, I would think of her as a great person to have around. I know other men will find her very eligible given her looks, personality and family background. My mother loves her and already considers her a daughter in law. But I have a but. I'm not ready. We are in our late 20s.
How do you become ready? I'm so in love with her but I just couldn't make myself get down on one knee and ask for her hand in marriage.
-
#104714: https://www.nuswhispers.com/confession/104714",,7743619645708429,207,452,158,2022-08-02 01:02:10+00:00,2022-11-03 09:43:19+00:00
59421,104724,"I am a frequent jogger at East Coast park. For others, it may be just for a simple casual exercise but for me, it is to oogle at the tall buffed guys.
Well, here are my general observations. Whenever I wink at these guys, the guys who seems to be locals will give the creeped out look while the angmohs are the ones who will usually wink back.
Why are local guys so reserved? I have a nice model-like atheletic body with hour glass figure, face wise definitely leng enough, sure it is at least average (only a cleanly shaven moustache) but none of them bother to reciprocate? Even a smile will suffice you know... :(
I hope my girlfriend doesnt find out that I am 'cheating' on her...
-
#104724: https://www.nuswhispers.com/confession/104724",,7748682601868800,108,160,67,2022-08-03 02:11:44+00:00,2022-11-03 09:43:20+00:00
59460,104799,"To the CO & RSM of 16th Mono 5SIR, we'll always remember you as the worst commanders in history. We couldn't go to the canteen until the last 3 months before ORD, we didn't get nights out until the last 2 months before ORD. Even after we did good in events like NDP, the petty CO didn't even want to give us off days. When we were overseas for training and had 2 days R&R, the CO didn't give us off days and we used our leave instead. We know how dumb our gun presentation is compared to every other unit in singapore. We know nobody else marches to the cookhouse for 2 entire years. Thanks for nothing, y*** t*** p* and l** w*** p**.
-
#104799: https://www.nuswhispers.com/confession/104799",,7777419208995139,131,107,60,2022-08-09 08:59:27+00:00,2022-11-08 08:36:16+00:00
59480,104843,"Just wanted to share my experience with my mother-in-law, because I feel like I need to write this out before I finally close this chapter. Super long, but I hope my story entertains someone at least...
Bluntly speaking, I hate my mother-in-law. I've been married 2 years and it's not gotten better. For context, my husband is Chinese Singaporean and I'm not (my exact race is irrelevant). We dated for a few years before he proposed and all those years, not once did she show me any unkindness. After getting married, while waiting for our BTO, we moved in with her first (supposed to be for just 10 months, and we only lasted 2 weeks).
She'd wake me up at 8am for no reason at all, except ""Daughter in law should be awake before parents in law. No need do anything, just be awake."" Meanwhile, my husband would sleep in. She bought me my own hamper because she said ""*my race* needs to be separated from her family -- who are all Chinese"". Whenever I'd eat food, she'd take photo and send my mom, and say ""This isn't a Chinese diet. No wonder she's getting fat"". And many other stories. So, 1 week in, we started quietly looking for a room to rent. When she found out, she said really crude things like... I was stealing her son away / I must've fed him nasi kang kang to brainwash him, etc. Then she texted my parents, ""I regret letting your daughter marry my son.""
That day itself, we moved back with my family instead -- slept on my parents' couch for 2 weeks until we found a place to move in to. My MIL continued sending harassment messages. Like, would tell my husband ""I'll beat her up when you're not at home."" It was too much.
I've kept myself generally low contact. I can't bear to call her, Mom, and after all the insults she's hurled at me - These take the cake:
1. For Guo Da Li and Si Dian Jing, she said I didn't need to receive it because I'm not Chinese anyway. But whenever she asks for things, she said I must give it because I'm marrying Chinese now.
2. I asked her, why she was so kind all the years I was a girlfriend. She said, even if I was his girlfriend for YEARS, it would be okay. But marriage means I must become Chinese. The man must always be followed.
3. She visited us once and I was scrubbing the toilet floor while my husband was wiping the fridge (chores day), then she scolded me for making her poor son clean. WTF.
4. My family paid for the wedding and she got more than half of the tables - she said my family providing for me is the reason I'm so spoiled, and dont know how to spoil her son instead. During the wedding, my parents, my father in law, all went around taking photos and stuff. She refused to greet people because she had no escort -- her wedding or what?? People commented about her, and our wedding photos has pics of her frowning, looking sleepy, playing phone games... and she says we never give her face??
5. But finally... last night, my grandfather (who was visiting us) had a seizure. My husband updated his parents, and instead of sympathy she told me to ""throw"" my grandparents back to my mom instead. I told her she had no sympathy, and she said ""So what?"". I've decided to cut her off. I blocked her on social media and messaging apps.
She's been calling my husband non-stop and insulting me, my upbringing, and is telling him, she regrets giving birth to him, and if he doesn't go back to her soon, she will jump off their HDB flat.
There's so many more things but I can't type them all. I'm tired. Is it wrong if I just genuinely dont care? I dont know how much disrespect I have to take.
-
#104843: https://www.nuswhispers.com/confession/104843",,7790363594367367,85,101,58,2022-08-12 03:02:15+00:00,2022-11-16 11:07:46+00:00
59428,104740,"AITA for asking a NS man to stand in the MRT?
ok, so I posted this on AITA a while back but got ripped apart, prob cus of culture differences, so I’m posting here to have a more understanding viewpoint, please be kind and give your honest but fair opinions. :)
I’m from Singapore. In Singapore, all men aged 18-20, with some exceptions/delays, must do their duty and serve national service for 2 years.
A majority of these men live out on some of the islands surrounding Singapore, in camps, where they do jobs to aid in the defence or functions of our country.
These men used to live out there for the full 2 years, with some breaks in between, but now because ppl were complaining they come back into the city every weekend.
These men often use the public transport on Fridays and Sundays, as they book out of their camps on Friday nights, or evenings and return on Sundays.
I have bfs who’ve served NS, respectfully and dutifully, and my father did it too, when it was much harder, and he never complained.
A “tradition” or unspoken rule is that NS men do not sit down on public transport. First reason for this is that they are bearing the coats of arms of our country, second reason is that they’re meant to be serving our country and a lot of people believe they shouldn’t even be out and about in the first place.
The last reason is that they’re men in their physical prime, meaning they can easily be able to stand for a while.
In more recent times these men have been forgetting themselves, and have began to say they deserve to sit because they actually stand for this country. I think that is bullshit because they’re meant to be serving our country, not sitting on their lazy asses.
So I saw a man sitting on friday, full on decked out in army uniform, on his phone while many women and children and elderly were standing. I walked up to him and tapped him on his knee.
At first I was polite, trying to say there were people who needed his seat more, but he was being a baby saying his legs were sore and “dead”. I reasoned with him some more but eventually just demanded that he get up, citing all the reasons above.
People started staring and pulling out their phones, and I pointed out that he had his name on his chest, so he got up and just walked out of the train.
I told my friends about this, and most agreed that I did the right thing and he should’ve stood, but some of my male friends are refusing to talk to me now.
AITA?
-
#104740: https://www.nuswhispers.com/confession/104740",,7757953894275004,35,184,57,2022-08-04 22:52:26+00:00,2022-11-03 09:43:21+00:00
59536,104937,"Do you know someone who acts differently around guys and girls? This female hallmate of mine always orders a salad only when we eat tgt with guys, and when they ask, she will be like, ""Oh I very small appetite one, eat a little bit full liao hehe"". However, I have seen her demolish an entire spring chicken alone in her room.
One time, when another girl screamed at a cockroach in her room, she marched in like Ghengis Khan and whacked at it with her broom while letting out a manly roar. A few days later when it was her turn with a cockroach, and a guy happened to be around, she let out the most high-pitched shriek ever and clutched the back of the guy's shirt like a little girl while begging him coquettishly to help her.
I thought she might have split personality disorder, but she also seems to suffer from Parkinson's disease around guys, as she's forever dropping things and bending over in front of them. Should I encourage her to see a doctor or a psychiatrist?
-
#104937: https://www.nuswhispers.com/confession/104937",,7813755722028154,132,121,53,2022-08-17 01:42:03+00:00,2022-11-16 11:07:53+00:00
59594,105058,"Providing insights into life as a saf regular
0745hrs - Arrive at camp
0755hrs - Change into PT attire for IPPT training (this is an important requirement for Regulars)
0900hrs - Training complete but hang around to interact with men. Hope to score 'care for soldiers' points
1000hrs - Clean up and wait for free cookhouse food. Netflix as required
1200hrs - Lunch
1330hrs - Nap
1630hrs - Wakes up and get ready for afternoon IPPT training
1700hrs - Afternoon IPPT training
1800hrs - Finish IPPT training. Gather at mess.
2100hrs - Home sweet home
Singaporeans who wish to have a fulfilling career and defend spore at the same time, please PM.
-
#105058: https://www.nuswhispers.com/confession/105058",,7870939776309748,205,104,52,2022-08-29 00:30:26+00:00,2022-11-27 20:00:40+00:00
59496,104865,"TLDR: Found out fiancé and his fam are planning to get me pregnant
Admin pls don’t filter this, I don’t have anyone to turn to, not even my parents. Trying to keep this short, am in my mid 20s, fiancé in his mid 30s. I enjoy being with him alot. We’ve been tgt for long and l made it clear from the start that I only wanted a child at 30, which he agreed to. Why at such a late age is because I wanted to continue studying after Uni. At present, I’ve gotten my masters and am very contented with my job. Not long after I graduated, fiancé proposed and I noticed some changes. The topic of kids started becoming more frequent. From “see how cute xx’s babies are” to “what will u do if u suddenly got pregnant? You won’t abort the baby right?” Whenever his nephew and niece visited, his parents started joking that I should pop out a playmate for them soon.
A few weeks ago, fiancé drove out to get dinner while I stayed in his room to finish a report on his computer. It’s my fault, I opened his desktop WhatsApp out of curiosity, just wanting to see who he was texting. I totally take the blame at this part. Everything seemed fine until I saw my name mentioned by his dad. I clicked the convo, and it was them exchanging links on how to get a woman pregnant inconspicuously. His dad wrote that he’d done something similar with his mom and she never regretted having more kids than she originally intended so “(my name) will be thankful next time”
I tried to minimise interaction with his fam after that, but still kept things usual. They’ve treated me with a lot of love and kindness, even offering to buy a condo for us when we got engaged. When I brought this issue up with my mom, she echoed the same sentiments that I should have a child as early as possible. She didn’t think there was much to it since fiancé and his fam are generous and well to do, so I’d have a comfortable life. When I talked to my dad, he didn’t support their actions but also advised me it was “dangerous to wait too long”. Right now I’m extremely wary when having sex with fiancé, which he has been requesting more of, in case he tries to pull anything funny. Have hinted and reminded him that I’d like another 4/5 years in the corporate world before having a child, but he brushes it off, jokingly saying that he’s more than ready to be a dad and take care of us, and his family also want to help raise our kids.
I’m not sure how to feel about this situation. I’m furious that no one is taking me seriously or respects my wishes. But I’m also scared to appear demanding and overreacting, with how people are downplaying the issue. I definitely don’t want to lose my fiancé because I still love him. This issue aside, I’ve always viewed him as my ideal partner in life, from looks, personality, charm and intelligence. It’s just that because of our age difference, while he has scaled the corporate ladder and feels comfortable settling down, I’m only just starting out. I wish I could go back in time to stop myself from going through his messages. Am I being selfish for wanting more time before having a child?
-
#104865: https://www.nuswhispers.com/confession/104865",,7804736926263367,97,175,46,2022-08-15 05:15:34+00:00,2022-11-16 11:07:45+00:00
