no,cid,text,image,pid,likes,comments,shares,post_time,scraped_at
55603,95616,"I am 20 and my bf is 22 and he is currently in NS which means he earns barely enough to support me.
Whenever I request to eat something that is apparently not very comfortable to his wallet (not sure what that means), he will always insist we eat at a nearby foodcourt or hawker?
Firstly, places like that are usually very dirty and hot like why would I even consider dining there? The food's good but he brought me out for a date so I shouldn't even be expecting him to request us to eat there? Like it's a date and I barely get to see him because he only books out on the weekend.
Secondly, I prefer food that looks pretty so I can take Instagram worthy pictures of it and have my bragging rights?
Lastly, I don't want to be seen dressed up in a very cute dress while at a hawker? That doesn't look pretty to me anymore.
Even when eating out at a mall, I was obviously craving for pasta and of course I wanted Hoshino, but he could only offer to dine in at Saizeriya because it was cheaper for him. Wtf? I will never step foot into that restaurant knowing that is where all the poor people go to when they want to eat pasta and try to pretend they are atas, BECAUSE WESTERN IS EXPENSIVE. Eventually we did ended up in Hoshino, but he didn't order his food because mine was already $13 which is double of what is offered at Saizeriya in terms of price. Whatever, at least I got to eat what I wanted :). He then went home and cook Maggie for himself? How broke can anyone be? Don't get a girlfriend if you can't afford it, especially when you're in NS.
I need some advice and or suggestions to open up my bf's wallet like stop being stingy...
-
#95616: https://www.nuswhispers.com/confession/95616",,5103945359675884,129,867,1665,2021-03-07 08:41:54+00:00,2021-04-24 11:16:01+00:00
56710,98669,"hi, I recently found a guy thru a friend. We have been together for roughly 3 months. He is ok, I mean he is nice and all that, skinny arms, tall, specky and those nerdy type. We have nice conversations and sometimes we laugh together. But, I see no future in us. I think I am more into the more muscular type of guys and at least drive. But last week, he did something totally unexpected. omg. You know the durian season is here and the people here are all nuts for this. He suggested we buy some durians and eat at my place. He then chose some durians himself. omg. I never knew he has these skills. He declined the opening of the fruit and insisted to open the fruit at home. woah. once at home, he displayed his opening and cutting skills. You know the part where you needed to bend and push the fruit lips apart to get the seeds? omg, he did with such strength. I admit, I was a bit wet and turned on. omg, such hidden skills. what should I do now?
-
#98669: https://www.nuswhispers.com/confession/98669",,5724615294275551,254,780,1572,2021-07-13 05:34:22+00:00,2022-04-10 10:05:24+00:00
56677,98584,"To those who felt that you are at the stage if talking about settling down instead of breaking up with your boyfriend or girlfriend who doesn't seem to be the right one, trust me, it's never too late. It's better to break it off now instead of marrying the wrong one.
I am a 过来人. I was 28 (F) when I broke off with my then bf of 3 years. We already talked about marriage, applied for BTO, planned for our future wedding dates, etc. Everyone thought that we will definitely get married one day. But others don't see what's really happening between us. He is a smart guy, with high paying job and constantly given praises by people around him. Basically he is like the Mr Perfect in everyone's eye. He was the one who chased me. When we first got together, we felt like we complement each other. Eventually, it started to become me chasing after his perfection. Like because he is this perfect, I need go be as perfect. And no, he didn't tell me it is ok to be who I am cause that's who he really loves, he expects me to be as perfect as him. He finds me watching drama, reading blogs all these as wasting my time away (PS: I only do it once I'm done with my work). He always talk on the phone about work and when I commented that I didnt get enough attention from him, he said at least he is doing something that earns money and not laze around. But I was in love. Afterall, he is the Mr Perfect and everyone tells me how I should not lose him. Then it started to take a toll on my mental health, crying to sleep everynight cause I felt like I was never good enough. I communicated the issues with him and he didn't feel like he has any wrong. Eventually, we decided to go on our separate ways, and gave up on our BTO.
The rs was so painful that it took me 2 years to decide that I need to start opening my heart again. Went on some dates (dating app) and went on a few dates with those I thought we have chemistry when talking via app but ZERO chemistry when we met irl.
At 33 years old, I met a guy via mutual friend. We hit off instantly. I really enjoyed talking to him. He is not perfect.. not well educated, earn less than me, slightly shorter than me, few years younger than me. To put it bluntly, people would say he ""pick until gold"" if I ever agree to be his gf. I shared with my friends that I was interested in him and none of my friends felt that we can work out cause he is too different from my previous Mr Perfect style. But I went ahead to agree to be his gf within one month after knowing him.
And fast forward, I am 37 year old now. He proposed to me after we were together for only 3 months cause he felt like I am the one for him, just as how I also told him I felt like he is the one for me. We got married 10 months after getting together. We are going to celebrate our 3 years wedding anniversary soon and our first son came out just last year.
Couples can be together for 10 years and still breakup while couples who are tgt for 10 days could meant for ever. Length of rs does not determine how successful the rs will be. It could be 10 years old quarrel or 10 months of working towards being one. So it is never too late to break up with the wrong one. I thought I was gonna be single for life but my soul mate appeared when I was no longer looking. It may be late but it's better than suffering all my life being with the wrong one.
Don't ever decide your life based on society norms. Do what you think is best for you and your mental health. Ask yourself what makes you happy and do all the happy things when you are single. Share those happy moments when you meet your future soul mate down the road and eventually share more happy moments when you find the one.
Jiayou!
-
#98584: https://www.nuswhispers.com/confession/98584",,5697454900324924,1635,106,1378,2021-07-07 12:07:38+00:00,2022-04-07 11:51:24+00:00
56278,97257,"I am a 35/M and I went to a top secondary school and JC in Bishan.
I grew up around teenagers who prided themselves on their academic performance, on their CCA performance, and believed strongly that they will become highly successful people in the future. I had 2 classmates in JC, now best friends, who told me that they will hit a million dollars in annual salary by the time they reach 35, both of whom went to Oxbridge. Every single straight-A type that I knew had this air of arrogance around them, because I truly believe that they believed that they were better than the rest of us, that they will unerringly turn out to be more successful than any of us.
There was this girl I met in J1. She was a quiet girl who was from a neighborhood secondary school who happened to be in the same OG and class as I was. She was really timorous, really shy. She didn't have the best grades, and was notorious for skipping CCA. I was always confused by how nonchalant she was about schoolwork, how she always copies my homework, and how I have never once seen her studying. She eventually retained, and I lost contact with her.
I was recently having coffee alone at a cafe. She was fiddling around with the POS system. I recognized her immediately because she looked exactly the same as she did in JC. She did her hair up the same way. I approached her to say hello, and she told a younger girl to make her a flat white, and she came to sit with me at my table.
We started chatting about the old days, and I found out she got BCCC/B at A-levels, and did business at SMU. It also turns out that she owns the cafe, along with 13 other F&B establishments in Singapore and JB. Her share of the profits in 2018? 2.7 million. I was speechless for a while. Meanwhile my friends who went to Oxbridge, one of whom on a PSC scholarship, are now civil servants, both earning just a little between 10-15K a month. That's a good salary, but I was mediocre in JC (ABBC/A) and even I am earning more than 15K as a management consultant.
We have created a system of flawed meritocracy where children are brought up believing that just because you are the best in school, you're always going to be best in life. The logic is flawed because being the best in school just means you're going to be ""good"" in life. In most cases, you're just as likely as anyone to become ""great.""
If we think about it, kids become great in school because they understand the system well, and because there is generally a very clear methodology to become great. As long as you don't challenge the system, as long as you work within the ""rules,"" you'll come out on top. In the real world, there are several lines of work in which it is valuable to be able to work well within a system. The SAF for example. Probably explains why the word ""scholar"" always gets paired up with ""general"" in Singapore.
I think we, as a nation, need more humility when we think that the best people in school deserve more praise than any other student. People are good at different things, and school, being able to follow instructions to the hilt, is just one thing.
-
#97257: https://www.nuswhispers.com/confession/97257",,5356794481057636,1587,300,1306,2021-04-27 19:09:28+00:00,2021-09-21 06:31:03+00:00
55182,94643,"Tldr: Just broke up with my fiance whom I share a joint account with. Am I the asshole for asking for 100% of the money in our joint account because I think he should compensate me for my time wasted on him?
I have been dating my fiance for 3 years and we have been working for 2 years since graduating. He proposed to me last december and since then, I have been asking him to plan for our wedding, which I would prefer to be held as soon as possible because I am tired of working and want to be a housewife.
He told me he would prefer to have the wedding next year because he needs some time to plan the wedding but I want it to be held preferably by end of this year. Since he has agreed to stay at my parents’ house after marriage then there shouldn’t be any issues at all.
I just cannot understand why he wants to wait until next year to have the wedding because actually I was asking for a very simple wedding. I only wanted to invite our friends and relatives to a dinner at a mid-tier hotel like Pan Pacific and to get very affordable wedding bands like Cartier. He certainly can afford them because he has $30k in his personal savings account and he earns $5k a month.
I’m not even asking for much because I know there are way more expensive places to hold a banquet and way more high-end jewellery brands to get wedding bands from. But he thinks that the wedding bands and hotels I chose are too extravagant even though I have offered to help him pay 20% of all expenses. Because of all these issues, we quarrelled a lot and eventually I decided to break up with him because I realise he’s a very selfish person who doesn’t even care about what I want at all. Even the engagement ring he got for me was a small 0.9 carat which cost only $9k although I have specifically told him that I wanted a 1.5 carat.
Now that we have broken up, we are in the midst of discussing how to split our joint account money and he said he will give me half of the money inside, which is only $10k. His excuse for giving me only half of the money is that he was the only one contributing to the joint account. He did contributed to 100% of the joint account but I was the one who encouraged him to save up. Whenever he wanted to buy useless things like Nintendo Switch, I stopped him from buying them. Without me, he wouldn’t even have savings at all. Moreover, I wasted 3 years of my life on him so I think I deserve more than $10k. Honestly, even if he gives me all the money, which is merely $20k, I still don’t think it’s enough to compensate for the 3 years. But he seems reluctant to give me 100% of the money and kept giving me all sorts of lame excuses. Should I continue to ask for $20k or should I just settle for $10k? I’m so tired of fighting over this.
-
#94643: https://www.nuswhispers.com/confession/94643",,4928562493880839,94,713,1072,2021-01-28 08:12:47+00:00,2021-04-24 11:15:59+00:00
56752,98792,"For those who are considering joining the real estate industry as a real estate agent; PLEASE I urge u to think twice. Especially if you’re leaving a stable salaried job to do this.
Don’t be fooled by the posts of your friend posting their awards & fancy cars and shit on social media and think it’s so easy. It’s not.
Don’t get brainwashed by the managers who are trying to recruit you that it’s such good money and that you can also do it. They earn an overriding commission from their team members so of course the more the merrier. My team manager makes $30-60k a month alone on his team overriding commission; and that’s on top of his own sales. Don’t forget that these people are highly skilled salesmen who can sell ice to eskimos.
The reality is that only the TOP 1-5% of ALL agents make good money & the rest are barely making it. I am not exaggerating. The people in the Top 5% are making all the money.
If you’re not in the Top 5%, u can totally forget about it. There’s over 30,000 agents in Singapore- u do the Maths.
In my first 2-3years, I burned through all my hard earned savings on PropertyGuru credits (I think burned about 5k), various training courses (3k here and 6k there), various apps & misc expenses.
Besides PropertyGuru, there’s also EdgeProp & 99.co- also need to buy credits.
Another 20-30k burned on Facebook & Google Ads.
In this industry you will burn a lot of money first (easily 20k or more in your first year) before u even make your first cent.
If you do not have at least 12 months of expenses saved PLUS min $20k for all these necessary expenses, don’t even consider it.
That’s not the worst part. Just because u burn money on PropertyGuru, Facebook & Google Ads doesn’t mean u will get genuine leads.
95% of all your leads are time wasters. They don’t respond when u contact them. Msg never reply. Or they will make appointment with you & then never show up. A lot of people who fill up your lead form on Facebook are just bored and have no genuine intention to sell or buy property. Cold leads from online marketing are almost impossible to close. Most of them are just “look see only”. I spent over $20k to learn this the hard way. Don’t be like me.
I cannot tell u how many times people have flown my plane. I travel down to the location and waited for an hour & the person never show up.
If you’re a woman, you’ll constantly get harassed by nuisance calls and texts by random male strangers. Because our contact number is readily available online, many men will think it’s okay to take your number and abuse it freely. Pretend to be a buyer interested to buy property, and then after wasting your time for hours, ask if you’re single.
Everyday I will get at least one dodgy text or DM from some creepy anonymous male stranger on various platforms. EVERY. SINGLE. DAY.
This year after deducting expenses, not only did I not make any $$, I lost around $15-20k.
It’s depressing to think that the people working in McD & cleaners actually earn more than me.
The truth is- You’ll HATE the job UNLESS you’re a natural salesman who genuinely loves interacting with people. The key words being “GENUINELY LOVES”.
I am an introvert, I hate going out, I hate interacting with people in general and I suffer everyday in this job.
So please take my advice. Don’t do it. It’s very painful & not as lucrative as many people think.
Most agents make around $50-100k a year? Might as well stick to a regular day job with CPF and benefits.
The real perk is the security of knowing u have a fixed paycheck coming in every month.
The dumbest thing one can do is leave a stable salaried job for this fucking “job” where U actually have to pay money to do shit U hate & talk to people u can’t stand, everyday going around for viewing after viewing after viewing like a free fucking tour guide.
People don’t care about wasting your time, cos you’re just an agent.
Nobody will tell u this shit because frankly those who are struggling won’t admit to anyone they’re struggling, and the few who are doing very well won’t understand why you’re struggling.
I just wish somebody had told me this shit years ago.
-
#98792: https://www.nuswhispers.com/confession/98792",,5753716508032096,540,325,1034,2021-07-19 07:41:44+00:00,2022-04-10 10:08:01+00:00
56799,98938,"Dear Prof. Ben,
Since you went to RI, I’m sure you would have gotten to know some classmates/schoolmates who have now become wildly successful in their careers. And by wildly successful, I do mean very wealthy. I also don’t mean the punch-cards who are working upper-middle class jobs, being paid upper-middle class wages. I mean those who are being paid millions a year, or entrepreneurs whose businesses are making millions a year in profit.
Since you were probably at the top of your cohort, do you secretly wish that you “deserve” more success than you have now? Or that they don’t deserve the wealth they’ve accumulated for not being as smart (or as hardworking) as you were in high school or in college?
I ask this question because I went to Hwa Chong and I was among the top of my cohort. I pursued academia at first, because it was what I was really good at (just generally learning stuff deeply). I dragged my ass through grad school and ended up doing dead-end research for 5 years before I started a job in the industry (CS) where I was paid the same as people 10 years my junior, doing work that to me, is in all sense of the word—stupid.
I have some ex-classmates who are now living in detached houses around Bukit Timah, driving luxury cars, one of whom was a middling student who used to copy my homework (he was smart just lazy). Almost every one of my crazy-rich ex-classmates are business owners, none of whom were particularly talented back in Hwa Chong.
Maybe wealth doesn’t mean much to you, but I was hoping you could help me reconcile being one of the smartest person in school and now having to capitulate to the reality there’s little profit in being so academically-inclined.
-
#98938: https://www.nuswhispers.com/confession/98938",,5802345246502555,740,289,1013,2021-07-29 03:14:19+00:00,2022-04-10 10:11:00+00:00
55537,95449,"Idk about u guys but I feel nothing but sadness for the tanjong pagar crash. There was a guy on his knees screaming ""MY FRIENDS ARE INSIDE THERE MY FRIENDS ARE INSIDE THERE!"" as the car burned up. His fiancee ran straight into the flames to try and save him. I might not have the courage to do that.

Life is short. Your family and friends love you. Don't make my heart break any more please.
-
#95449: https://www.nuswhispers.com/confession/95449",https://scontent-iad3-2.xx.fbcdn.net/v/t1.6435-0/cp0/e15/q65/p320x320/148635155_5010346599035761_5197111684344732475_n.jpg?_nc_cat=104&ccb=1-3&_nc_sid=2d5d41&_nc_ohc=qXhdWm_CmfIAX9xmtpA&_nc_ht=scontent-iad3-2.xx&tp=3&oh=250f467fe30ce864fb1a3640fa63c50e&oe=60AAD7AC,5010346589035762,270,149,449,2021-02-16 15:30:52+00:00,2021-04-24 11:16:08+00:00
56743,98761,"I have a very strict and controlling girlfriend whom I met awhile back when studying in NUS, she doesn’t like me playing games, however as I was going for an important boss in maplestory, i secretly played and when she caught me playing, she threatened to destroy my computer unless I left the boss halfway, and as it was the black mage boss, I was determined to finish it regardless, so I ignored her. After I downed it and apologized to her I thought she was ok, however to my horror, she had dropped my valuable 22 star breath of divinity ring, so hence I am thinking if I should break up with her or sue her for compensation as well, any advice please?
-
#98761: https://www.nuswhispers.com/confession/98761",,5753671234703290,63,293,445,2021-07-19 07:26:14+00:00,2022-04-10 10:07:46+00:00
55205,94699,"Should I marry my boyfriend if I’m not physically attracted to him?
I’m 27 years old and my bf is 35. We have been together for 7 years and have just paid the downpayment for our BTO. Our wedding would be held in June this year.
When I first met my bf, I had just gotten out of a two-year relationship with my ex and I only intended to use my bf as a rebound to get over my ex. Since my bf was just a rebound, I didn’t care that he’s ugly. In terms of appearance, he’s at most 5/10 but I’m 8/10. Sadly, he’s also very short and skinny (170cm,62kg). Worst of all, he earns very little ($5k/month). My ideal guy has always been someone who is at least 180cm and earns at least $10k/month.
My bf looks ugly but character wise, he’s the nicest guy I’ve ever seen. Throughout the past 7 years, I have tried dating other men. But the guys I dated were not as nice. Some of them had severe commitment issues and some were assholes who cheated on me. On the contrary, my bf has always been a very loyal and loving bf for the past 7 years. To me, my bf feels like someone I could always depend on and that is why I love him so much.
The only problem that I’m facing is, I am not physically attracted to my bf and I cannot imagine being physically intimate with him. Because of this, I told him that I want to wait until marriage to have sex when in fact I already had sex with those guys I dated in the past 7 years. Up till today, I still feel very guilty for what I have done and this is also one of my biggest regrets.
I feel very guilty that I enjoy getting intimate with other men but I still refuse to get intimate with my bf. Recently, I’m starting to feel very worried about having to get intimate with him after wedding. After so many years, I still feel uncomfortable kissing him and when I kiss him, I always have to imagine I’m kissing my crush. And sometimes I really regret applying for BTO with him. But honestly, I don’t mind dating him. I just don’t know if I should marry him. Has anyone been in my shoes? Has anyone married someone you’re not physically attracted to? Is it possible to have a marriage without physical attraction?
-
#94699: https://www.nuswhispers.com/confession/94699",,4943190145751407,109,465,409,2021-01-31 16:13:39+00:00,2021-04-24 11:15:56+00:00
